method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,passing_encoders,passes_overall
dpp_subspace,3,28,4,28,0.7857142857142857,0.4404761904761904,0.0010800310957204665,0.039149761095857924,-0.0006960472890308897,0.8571428571428571,0,False
facility_subspace,3,28,4,28,0.10714285714285714,0.32142857142857145,0.004336455646867701,0.15143639924914193,0.0027527830430439542,0.8571428571428571,0,False
full_merged_rank,3,28,4,28,0.8214285714285714,0.5119047619047619,0.0012852479183441778,0.051060000360063466,-0.0003076800278254866,0.8571428571428571,0,False
kcenter_subspace,3,28,4,28,0.5357142857142857,0.3095238095238095,0.0022921766931266324,0.08791940029083531,0.0035374530724116737,0.8571428571428571,1,False
pool_vendi_subspace,3,28,4,28,0.5357142857142857,0.3095238095238095,0.0022921766931266324,0.08791940029083531,0.0035374530724116737,0.8571428571428571,1,False
random,3,2800,4,28,0.1425,0.1407142857142857,0.0072500351361403466,0.24275422039565192,0.006914868261132919,0.8571428571428571,0,False
rank_only,3,28,4,28,0.75,0.5238095238095238,0.0019603643352467,0.07503736448788202,0.0014269620180129997,0.8571428571428571,0,False
dpp_subspace,5,28,4,28,0.8571428571428571,0.5119047619047619,0.000665172857802759,0.020782764746127343,-1.7832858221867943e-05,0.7619047619047619,0,False
facility_subspace,5,28,4,28,0.25,0.4642857142857143,0.0027883449848124303,0.0904891011913571,0.0029009631701878147,0.7619047619047619,0,False
full_merged_rank,5,28,4,28,0.9285714285714286,0.7380952380952381,0.0007391545107332373,0.026633848683359832,-0.00022321428571428492,0.7619047619047619,2,True
kcenter_subspace,5,28,4,28,0.5357142857142857,0.32142857142857145,0.002091845139873929,0.08067664139361884,0.0034816495009831016,0.7619047619047619,1,False
pool_vendi_subspace,5,28,4,28,0.6428571428571429,0.39285714285714285,0.001688432862430361,0.0657250119853456,0.002582722902297982,0.7619047619047619,1,False
random,5,2800,4,28,0.24535714285714286,0.24142857142857144,0.00500973534867848,0.1671895403410488,0.004955266965287072,0.7619047619047618,0,False
rank_only,5,28,4,28,0.9285714285714286,0.7380952380952381,0.0007391545107332373,0.026633848683359832,-0.00022321428571428492,0.7619047619047619,2,True
dpp_subspace,10,28,4,28,0.9642857142857143,0.7857142857142857,0.0003315831966642567,0.011059902742144528,-0.0005580357142857143,0.5238095238095238,3,True
facility_subspace,10,28,4,28,0.2857142857142857,0.5595238095238095,0.002480419622531958,0.07735193855420343,0.0022606206791741523,0.5238095238095238,0,False
full_merged_rank,10,28,4,28,0.9642857142857143,0.8333333333333333,0.0003315831966642567,0.011059902742144528,-0.0005580357142857143,0.5238095238095238,3,True
kcenter_subspace,10,28,4,28,0.6785714285714286,0.5595238095238095,0.0008618688606293155,0.04478074383905089,0.0016582501786095816,0.5238095238095238,1,False
pool_vendi_subspace,10,28,4,28,0.8214285714285714,0.5476190476190476,0.0006928046908033522,0.03300978724667379,0.0007634171417781352,0.5238095238095238,1,False
random,10,2800,4,28,0.4667857142857143,0.47464285714285714,0.0026804879877081944,0.08760739432133695,0.002722534977963994,0.5238095238095238,0,False
rank_only,10,28,4,28,0.9642857142857143,0.8333333333333333,0.0003315831966642567,0.011059902742144528,-0.0005580357142857143,0.5238095238095238,3,True
