shortlist_size,encoder_target_pairs,best_recall_delta_mean,validation_regret_delta_mean,shortlist_jaccard_mean,recall_wins,recall_ties,recall_losses,regret_wins,regret_ties,regret_losses
3,28,0.03571428571428571,-0.0008803332395262332,0.625,3,23,2,4,21,3
5,28,-0.07142857142857142,-7.398165293047829e-05,0.6666666666666666,1,24,3,2,23,3
10,28,0.0,0.0,0.7803030303030303,0,28,0,0,28,0
