readout,metric,method,shortlist_size,absolute_gap_threshold,failure_rate,worst_domain_failure_rate,domain_count
logistic,error_rate,target_a,10,0.01,0.4166666666666667,0.625,6
logistic,error_rate,target_a,10,0.02,0.20833333333333334,0.5,6
logistic,error_rate,target_a,25,0.005,0.1875,0.375,6
logistic,error_rate,target_a,25,0.01,0.16666666666666666,0.375,6
logistic,error_rate,target_a,25,0.02,0.041666666666666664,0.125,6
logistic,error_rate,target_a,50,0.005,0.08333333333333333,0.25,6
logistic,error_rate,target_a,50,0.01,0.0625,0.25,6
logistic,error_rate,target_a,50,0.02,0.0,0.0,6
logistic,error_rate,target_a,100,0.005,0.020833333333333332,0.125,6
logistic,error_rate,target_a,100,0.01,0.0,0.0,6
logistic,error_rate,target_a,100,0.02,0.0,0.0,6
logistic,error_rate,target_a,227,0.005,0.0,0.0,6
logistic,error_rate,target_a,227,0.01,0.0,0.0,6
logistic,error_rate,target_a,227,0.02,0.0,0.0,6
logistic,nll,exhaustive,455,0.01,0.0,0.0,6
logistic,nll,exhaustive,455,0.05,0.0,0.0,6
logistic,nll,exhaustive,455,0.1,0.0,0.0,6
logistic,nll,random,10,0.01,0.9302083333333333,0.975,6
logistic,nll,random,10,0.05,0.8093749999999998,0.94375,6
logistic,nll,random,10,0.1,0.5937499999999999,0.90625,6
logistic,nll,random,25,0.01,0.8718750000000001,0.975,6
logistic,nll,random,25,0.05,0.6281249999999999,0.8375,6
logistic,nll,random,25,0.1,0.3510416666666667,0.6437499999999999,6
logistic,nll,random,50,0.01,0.7718750000000001,0.85,6
logistic,nll,random,50,0.05,0.421875,0.7124999999999999,6
logistic,nll,random,50,0.1,0.21145833333333333,0.4375,6
logistic,nll,random,100,0.01,0.6427083333333333,0.7625,6
logistic,nll,random,100,0.05,0.234375,0.5,6
logistic,nll,random,100,0.1,0.08124999999999999,0.25,6
logistic,nll,random,227,0.01,0.325,0.4,6
logistic,nll,random,227,0.05,0.052083333333333336,0.14375000000000002,6
logistic,nll,random,227,0.1,0.012500000000000002,0.05,6
logistic,nll,second_moment_mmd,10,0.01,0.6458333333333334,1.0,6
logistic,nll,second_moment_mmd,10,0.05,0.22916666666666666,0.625,6
logistic,nll,second_moment_mmd,10,0.1,0.0625,0.25,6
logistic,nll,second_moment_mmd,25,0.01,0.3333333333333333,0.875,6
logistic,nll,second_moment_mmd,25,0.05,0.020833333333333332,0.125,6
logistic,nll,second_moment_mmd,25,0.1,0.020833333333333332,0.125,6
logistic,nll,second_moment_mmd,50,0.01,0.08333333333333333,0.125,6
logistic,nll,second_moment_mmd,50,0.05,0.020833333333333332,0.125,6
logistic,nll,second_moment_mmd,50,0.1,0.0,0.0,6
logistic,nll,second_moment_mmd,100,0.01,0.0,0.0,6
logistic,nll,second_moment_mmd,100,0.05,0.0,0.0,6
logistic,nll,second_moment_mmd,100,0.1,0.0,0.0,6
logistic,nll,second_moment_mmd,227,0.01,0.0,0.0,6
logistic,nll,second_moment_mmd,227,0.05,0.0,0.0,6
logistic,nll,second_moment_mmd,227,0.1,0.0,0.0,6
logistic,nll,target_a,10,0.01,0.5416666666666666,1.0,6
logistic,nll,target_a,10,0.05,0.20833333333333334,0.5,6
logistic,nll,target_a,10,0.1,0.041666666666666664,0.25,6
logistic,nll,target_a,25,0.01,0.3541666666666667,1.0,6
logistic,nll,target_a,25,0.05,0.0625,0.25,6
logistic,nll,target_a,25,0.1,0.0,0.0,6
logistic,nll,target_a,50,0.01,0.22916666666666666,0.875,6
logistic,nll,target_a,50,0.05,0.020833333333333332,0.125,6
logistic,nll,target_a,50,0.1,0.0,0.0,6
logistic,nll,target_a,100,0.01,0.10416666666666667,0.625,6
logistic,nll,target_a,100,0.05,0.0,0.0,6
logistic,nll,target_a,100,0.1,0.0,0.0,6
logistic,nll,target_a,227,0.01,0.0,0.0,6
logistic,nll,target_a,227,0.05,0.0,0.0,6
logistic,nll,target_a,227,0.1,0.0,0.0,6
ridge,brier_score,exhaustive,455,0.001,0.0,0.0,6
ridge,brier_score,exhaustive,455,0.005,0.0,0.0,6
ridge,brier_score,exhaustive,455,0.01,0.0,0.0,6
ridge,brier_score,random,10,0.001,0.027083333333333334,0.15625,6
ridge,brier_score,random,10,0.005,0.0,0.0,6
ridge,brier_score,random,10,0.01,0.0,0.0,6
ridge,brier_score,random,25,0.001,0.0,0.0,6
ridge,brier_score,random,25,0.005,0.0,0.0,6
ridge,brier_score,random,25,0.01,0.0,0.0,6
ridge,brier_score,random,50,0.001,0.0,0.0,6
ridge,brier_score,random,50,0.005,0.0,0.0,6
ridge,brier_score,random,50,0.01,0.0,0.0,6
ridge,brier_score,random,100,0.001,0.0,0.0,6
ridge,brier_score,random,100,0.005,0.0,0.0,6
ridge,brier_score,random,100,0.01,0.0,0.0,6
ridge,brier_score,random,227,0.001,0.0,0.0,6
ridge,brier_score,random,227,0.005,0.0,0.0,6
ridge,brier_score,random,227,0.01,0.0,0.0,6
ridge,brier_score,second_moment_mmd,10,0.001,0.0,0.0,6
ridge,brier_score,second_moment_mmd,10,0.005,0.0,0.0,6
ridge,brier_score,second_moment_mmd,10,0.01,0.0,0.0,6
ridge,brier_score,second_moment_mmd,25,0.001,0.0,0.0,6
ridge,brier_score,second_moment_mmd,25,0.005,0.0,0.0,6
ridge,brier_score,second_moment_mmd,25,0.01,0.0,0.0,6
ridge,brier_score,second_moment_mmd,50,0.001,0.0,0.0,6
ridge,brier_score,second_moment_mmd,50,0.005,0.0,0.0,6
ridge,brier_score,second_moment_mmd,50,0.01,0.0,0.0,6
ridge,brier_score,second_moment_mmd,100,0.001,0.0,0.0,6
ridge,brier_score,second_moment_mmd,100,0.005,0.0,0.0,6
ridge,brier_score,second_moment_mmd,100,0.01,0.0,0.0,6
ridge,brier_score,second_moment_mmd,227,0.001,0.0,0.0,6
ridge,brier_score,second_moment_mmd,227,0.005,0.0,0.0,6
ridge,brier_score,second_moment_mmd,227,0.01,0.0,0.0,6
ridge,brier_score,target_a,10,0.001,0.0,0.0,6
ridge,brier_score,target_a,10,0.005,0.0,0.0,6
ridge,brier_score,target_a,10,0.01,0.0,0.0,6
ridge,brier_score,target_a,25,0.001,0.0,0.0,6
ridge,brier_score,target_a,25,0.005,0.0,0.0,6
ridge,brier_score,target_a,25,0.01,0.0,0.0,6
ridge,brier_score,target_a,50,0.001,0.0,0.0,6
ridge,brier_score,target_a,50,0.005,0.0,0.0,6
ridge,brier_score,target_a,50,0.01,0.0,0.0,6
ridge,brier_score,target_a,100,0.001,0.0,0.0,6
ridge,brier_score,target_a,100,0.005,0.0,0.0,6
ridge,brier_score,target_a,100,0.01,0.0,0.0,6
ridge,brier_score,target_a,227,0.001,0.0,0.0,6
ridge,brier_score,target_a,227,0.005,0.0,0.0,6
ridge,brier_score,target_a,227,0.01,0.0,0.0,6
ridge,error_rate,exhaustive,455,0.005,0.0,0.0,6
ridge,error_rate,exhaustive,455,0.01,0.0,0.0,6
ridge,error_rate,exhaustive,455,0.02,0.0,0.0,6
ridge,error_rate,random,10,0.005,0.828125,0.95,6
ridge,error_rate,random,10,0.01,0.7687499999999999,0.94375,6
ridge,error_rate,random,10,0.02,0.6291666666666665,0.8624999999999999,6
ridge,error_rate,random,25,0.005,0.7416666666666667,0.9125,6
ridge,error_rate,random,25,0.01,0.6666666666666666,0.90625,6
ridge,error_rate,random,25,0.02,0.4916666666666667,0.78125,6
