readout,metric,method,shortlist_size,comparator,comparator_budget,target_domain,paired_loss_difference
logistic,brier_score,second_moment_mmd,100,random,227,sketch,-0.00022561067341277108
logistic,brier_score,second_moment_mmd,227,exhaustive,455,clipart,0.0
logistic,brier_score,second_moment_mmd,227,exhaustive,455,infograph,0.0
logistic,brier_score,second_moment_mmd,227,exhaustive,455,painting,0.0
logistic,brier_score,second_moment_mmd,227,exhaustive,455,quickdraw,-9.725778866581658e-05
logistic,brier_score,second_moment_mmd,227,exhaustive,455,real,0.0
logistic,brier_score,second_moment_mmd,227,exhaustive,455,sketch,0.0
logistic,brier_score,second_moment_mmd,227,random,227,clipart,-0.001835111228047609
logistic,brier_score,second_moment_mmd,227,random,227,infograph,-0.0007675529350286564
logistic,brier_score,second_moment_mmd,227,random,227,painting,-0.0017164914658933383
logistic,brier_score,second_moment_mmd,227,random,227,quickdraw,-0.0008847613437792667
logistic,brier_score,second_moment_mmd,227,random,227,real,-0.006309427342752
logistic,brier_score,second_moment_mmd,227,random,227,sketch,-5.57954851056891e-05
logistic,brier_score,target_a,10,exhaustive,455,clipart,0.006422932623181485
logistic,brier_score,target_a,10,exhaustive,455,infograph,0.007363251476103658
logistic,brier_score,target_a,10,exhaustive,455,painting,0.0024806330977803354
logistic,brier_score,target_a,10,exhaustive,455,quickdraw,0.0033608207740861706
logistic,brier_score,target_a,10,exhaustive,455,real,0.0
logistic,brier_score,target_a,10,exhaustive,455,sketch,0.003715911789914844
logistic,brier_score,target_a,10,random,10,clipart,-0.017763300647773095
logistic,brier_score,target_a,10,random,10,infograph,-0.0038347372840294436
logistic,brier_score,target_a,10,random,10,painting,-0.027880135532275085
logistic,brier_score,target_a,10,random,10,quickdraw,2.525016324936291e-05
logistic,brier_score,target_a,10,random,10,real,-0.03367501898950946
logistic,brier_score,target_a,10,random,10,sketch,-0.01070990408267003
logistic,brier_score,target_a,10,random,227,clipart,0.004587821395133876
logistic,brier_score,target_a,10,random,227,infograph,0.006595698541075001
logistic,brier_score,target_a,10,random,227,painting,0.000764141631886997
logistic,brier_score,target_a,10,random,227,quickdraw,0.0025733172189727205
logistic,brier_score,target_a,10,random,227,real,-0.006309427342752
logistic,brier_score,target_a,10,random,227,sketch,0.003660116304809155
logistic,brier_score,target_a,25,exhaustive,455,clipart,0.001245753312811182
logistic,brier_score,target_a,25,exhaustive,455,infograph,0.0028566501098857
logistic,brier_score,target_a,25,exhaustive,455,painting,0.0
logistic,brier_score,target_a,25,exhaustive,455,quickdraw,0.002819550890783354
logistic,brier_score,target_a,25,exhaustive,455,real,0.0
logistic,brier_score,target_a,25,exhaustive,455,sketch,0.003481176345912995
logistic,brier_score,target_a,25,random,25,clipart,-0.015482372751688261
logistic,brier_score,target_a,25,random,25,infograph,-0.003627628659830892
logistic,brier_score,target_a,25,random,25,painting,-0.01368663103460993
logistic,brier_score,target_a,25,random,25,quickdraw,0.00035320859517680436
logistic,brier_score,target_a,25,random,25,real,-0.02383006673181423
logistic,brier_score,target_a,25,random,25,sketch,-0.005685061892841792
logistic,brier_score,target_a,25,random,227,clipart,-0.000589357915236427
logistic,brier_score,target_a,25,random,227,infograph,0.0020890971748570436
logistic,brier_score,target_a,25,random,227,painting,-0.0017164914658933383
logistic,brier_score,target_a,25,random,227,quickdraw,0.0020320473356699037
logistic,brier_score,target_a,25,random,227,real,-0.006309427342752
logistic,brier_score,target_a,25,random,227,sketch,0.003425380860807306
logistic,brier_score,target_a,50,exhaustive,455,clipart,0.0
logistic,brier_score,target_a,50,exhaustive,455,infograph,0.0006995785470255561
logistic,brier_score,target_a,50,exhaustive,455,painting,0.0
logistic,brier_score,target_a,50,exhaustive,455,quickdraw,0.001875871623978273
logistic,brier_score,target_a,50,exhaustive,455,real,0.0
logistic,brier_score,target_a,50,exhaustive,455,sketch,-0.00021446024938255592
logistic,brier_score,target_a,50,random,50,clipart,-0.01101538287241012
