encoder,target_domain,method,repeat,shortlist_size,historical_selection,revision_selection
resnet50,quickdraw,merged_effective_rank,-1,50,clipart__clip_pc1_low|painting__clip_pc1_high|real__clip_pc1_low,real__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low
dinov2_b14,clipart,random,5,100,sketch__clip_pc1_high|sketch__clip_pc1_low|sketch__clip_pc1_middle,real__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low
dinov2_b14,quickdraw,domain_balance,-1,100,clipart__clip_pc1_low|infograph__clip_pc1_high|sketch__clip_pc1_low,clipart__clip_pc1_high|real__clip_pc1_low|sketch__clip_pc1_low
dinov2_b14,quickdraw,merged_effective_rank,-1,227,clipart__clip_pc1_middle|real__clip_pc1_middle|sketch__clip_pc1_low,clipart__clip_pc1_middle|painting__clip_pc1_low|sketch__clip_pc1_low
dinov2_b14,quickdraw,target_energy,-1,25,clipart__clip_pc1_low|clipart__clip_pc1_middle|sketch__clip_pc1_low,clipart__clip_pc1_high|clipart__clip_pc1_middle|sketch__clip_pc1_low
dinov2_b14,real,random,0,50,clipart__clip_pc1_middle|painting__clip_pc1_low|sketch__clip_pc1_low,clipart__clip_pc1_low|painting__clip_pc1_high|painting__clip_pc1_low
dinov2_b14,real,random,15,227,clipart__clip_pc1_middle|painting__clip_pc1_low|sketch__clip_pc1_low,clipart__clip_pc1_low|painting__clip_pc1_high|painting__clip_pc1_low
