budget,method,task_units,brier_score_mean,oracle_brier_mean,normalized_brier_regret_mean,normalized_brier_regret_median,combination_rank_mean,top_q_recall,exact_oracle_recall
1,bayesian_d,8,0.8455612419835938,0.8410654799495465,0.006412809394389089,0.003445561325493347,2.625,1.0,0.5
1,collapse_4s,8,0.8663506575857779,0.8410654799495465,0.03723930664088497,0.0068802975025311535,4.4375,0.9375,0.3125
1,domain_balance,8,0.8654034182932273,0.8410654799495465,0.03606101736018757,0.0021750839743256267,4.0,0.9375,0.375
1,dpp_subspace,8,0.8663506575857779,0.8410654799495465,0.03723930664088497,0.0068802975025311535,4.4375,0.9375,0.3125
1,effective_rank,8,0.8663506575857779,0.8410654799495465,0.03723930664088497,0.0068802975025311535,4.4375,0.9375,0.3125
1,facility_subspace,8,0.8618929904539829,0.8410654799495465,0.030018801321244078,0.007803719007885479,5.75,0.875,0.0625
1,kcenter_subspace,8,0.8663506575857779,0.8410654799495465,0.03723930664088497,0.0068802975025311535,4.4375,0.9375,0.3125
1,random,8,0.8590843421965924,0.8410654799495465,0.02579162469579023,0.015184436893524618,6.6875,0.809375,0.08125
1,second_moment_mmd,8,0.847775825022215,0.8410654799495465,0.00916022857403627,0.0027991325436126026,4.875,1.0,0.125
1,size,8,0.8654034182932273,0.8410654799495465,0.03606101736018757,0.0021750839743256267,4.0,0.9375,0.375
1,spectrum_rank_l,8,0.849049712852236,0.8410654799495465,0.01125067448833441,0.003163428401507181,4.0,0.9375,0.3125
1,target_a,8,0.8429729743064226,0.8410654799495465,0.002743179657522732,0.0010542919626941307,1.9375,1.0,0.5
1,target_energy,8,0.8515699877868108,0.8410654799495465,0.014265145235260882,0.0051824649537725725,5.75,0.875,0.125
3,bayesian_d,8,0.8293152572560627,0.8237941795165599,0.007751886782100228,0.006248740967899293,67.0625,0.3125,0.0625
3,collapse_4s,8,0.8306516080056552,0.8237941795165599,0.009973973881993578,0.003790305813124402,67.5625,0.25,0.0
3,domain_balance,8,0.8299331688758325,0.8237941795165599,0.009131837166076264,0.005515794325955885,66.1875,0.0625,0.0
3,dpp_subspace,8,0.8291622482685062,0.8237941795165599,0.008104910935874272,0.0037247832292723526,51.8125,0.1875,0.0625
3,effective_rank,8,0.8293296478287138,0.8237941795165599,0.008135518916669401,0.0036912040187158913,65.375,0.25,0.0
3,facility_subspace,8,0.8304602136301809,0.8237941795165599,0.010023084555220796,0.005256105135500297,76.4375,0.0625,0.0
3,kcenter_subspace,8,0.8303752275979428,0.8237941795165599,0.009879223065918052,0.004679210481888276,72.5625,0.0625,0.0
3,random,8,0.8363777082092657,0.8237941795165599,0.018747167854848493,0.009636068713777576,113.30000000000001,0.034375,0.003125
3,second_moment_mmd,8,0.828719207562557,0.8237941795165599,0.007006701951464328,0.004890116569185595,55.9375,0.25,0.0
3,size,8,0.8596828787321458,0.8237941795165599,0.054888442763462886,0.0075720089293422705,139.625,0.0,0.0
3,spectrum_rank_l,8,0.8293889434993369,0.8237941795165599,0.008257891860736962,0.005092390631491889,58.9375,0.125,0.0
3,target_a,8,0.8267687419582119,0.8237941795165599,0.004432275556382684,0.0022979399596054387,32.5625,0.625,0.125
3,target_energy,8,0.8426308359287569,0.8237941795165599,0.027427388527883265,0.008644869704794438,162.1875,0.0625,0.0625
5,bayesian_d,8,0.8238569886121239,0.8208436238620194,0.00438289497694537,0.004105894845662879,228.75,0.25,0.125
5,collapse_4s,8,0.8269122156872667,0.8208436238620194,0.00892946518358798,0.0026495722964442444,280.5,0.0,0.0
5,domain_balance,8,0.8275034482826049,0.8208436238620194,0.01024267588230838,0.003051408558712995,321.25,0.0,0.0
5,dpp_subspace,8,0.8252266526361651,0.8208436238620194,0.006521849866148365,0.0036450856912708025,255.4375,0.0,0.0
5,effective_rank,8,0.8257931513238422,0.8208436238620194,0.00719792652937204,0.0052309560481655455,316.875,0.0625,0.0
5,facility_subspace,8,0.8266163698919293,0.8208436238620194,0.008450610416272085,0.006102459494348492,362.1875,0.0,0.0
5,kcenter_subspace,8,0.8266167609010067,0.8208436238620194,0.008408654414766509,0.005830264720880049,347.0625,0.0,0.0
5,random,8,0.8289533685566766,0.8208436238620193,0.012177343180727511,0.00613620004888533,415.546875,0.0125,0.003125
5,second_moment_mmd,8,0.8251375032352035,0.8208436238620194,0.006388746252146124,0.002791655792690088,213.5625,0.1875,0.0
5,size,8,0.8415677023661773,0.8208436238620194,0.03234803226904542,0.004241115082778792,557.625,0.0,0.0
5,spectrum_rank_l,8,0.8254478063119878,0.8208436238620194,0.006608949659453607,0.004398751533893905,290.125,0.0,0.0
5,target_a,8,0.8238542951621616,0.8208436238620194,0.004584747616204831,0.0012182010447432381,134.875,0.3125,0.125
5,target_energy,8,0.8307828453110462,0.8208436238620194,0.014887851382635332,0.0038426479844265032,571.125,0.0,0.0
