dataset,target_domain,budget,baseline,baseline_brier,target_a_brier,oracle_brier,oracle_relative_headroom_from_baseline,target_a_normalized_regret,target_a_fraction_of_oracle_gain_captured,target_a_combination_rank,target_a_in_top_q,parent_envelope_brier,oracle_relative_headroom_from_parent_envelope,mean_within_encoder_proxy_brier_spearman,cross_encoder_brier_spearman
office_home,Art,3,dpp_subspace,0.964933035422334,0.9642115897559846,0.964164161909997,0.0007968154100978491,4.919063356773563e-05,0.9383151516775503,5.0,1.0,0.9642115897559846,4.932329604409278e-05,0.9266117444199635,0.8804257788947555
office_home,Clipart,3,dpp_subspace,0.970773771633747,0.9709552476005114,0.9705764703234527,0.00020324128654838759,0.00039026010689551893,-0.9197909861508918,72.0,0.0,0.970622210235095,4.696309788916592e-05,0.6613665947267882,0.6535097456934685
office_home,Product,3,dpp_subspace,0.9607180340237251,0.9596290733297062,0.9596133087835272,0.001149895391857096,1.6428019531006023e-05,0.9857298940901493,2.0,1.0,0.9596290733297062,1.6418119116303963e-05,0.9169843854775361,0.9059161628057679
office_home,Real World,3,dpp_subspace,0.95940473275747,0.9590716512870965,0.9589998293035054,0.0004220361231707167,7.489259267469025e-05,0.8226194840081454,3.0,1.0,0.9590716512870965,7.480247634103548e-05,0.8093675864828161,0.9319779334283766
pacs,art_painting,3,dpp_subspace,0.6769851861238476,0.6796213946077783,0.6676553576460444,0.013781436682864686,0.017922475757436485,-0.28255701486929974,85.5,0.0,0.6695713972087863,0.00294872814541598,0.8345784755132055,0.6352141009675256
pacs,cartoon,3,dpp_subspace,0.7019490323775421,0.702801215421452,0.6979374240719252,0.005714956671468619,0.006968807205021901,-0.21242927499094863,49.5,0.5,0.6985766758815977,0.0010013824943680065,0.8629832697520046,0.728822346066504
pacs,photo,3,dpp_subspace,0.6571595971953466,0.6381541798034487,0.6349708092060972,0.03376468681876919,0.005013412508413863,0.8565324704128101,6.5,1.0,0.6357709700381645,0.0011980767564332344,0.8360875224694726,0.8257653708096899
pacs,sketch,3,dpp_subspace,0.741374596614037,0.7397055838597184,0.7364360748879301,0.006661304216062852,0.004439637170525491,0.3379579653351671,37.0,0.5,0.737621829902529,0.0016162605421944872,0.7603506082958138,0.8600666054332452
