dataset,target_domain,budget,oracle_brier,worst_brier,target_a_brier,target_a_brier_rank,target_a_in_top_q,target_a_normalized_brier_regret,proxy_best_brier,proxy_best_brier_rank,proxy_best_normalized_brier_regret,parent_envelope_brier,oracle_relative_headroom_from_parent_envelope,spearman_target_a_proxy_vs_brier,mean_probe_half_relative_difference,max_probe_half_relative_difference
office_home,Art,1,0.9677635682064036,0.9727639281199336,0.9677635682064036,1.0,1.0,0.0,0.9677635682064036,1.0,0.0,0.9677635682064036,0.0,0.9090909090909092,0.018537837776701573,0.038867195930700045
office_home,Art,3,0.964164161909997,0.9692986399480774,0.9642115897559846,5.0,1.0,4.932816209917784e-05,0.9642115897559846,5.0,4.932816209917784e-05,0.9642115897559846,4.932329604409278e-05,0.9266117444199635,0.013056335094879305,0.03207451158900971
office_home,Art,5,0.9631158482761157,0.9664965973431802,0.9631684490633086,7.0,0.5,5.4741329744402596e-05,0.9631684490633086,7.0,5.4741329744402596e-05,0.9631447236130295,3.0035458820988628e-05,0.8634349353919935,0.010105315262179983,0.026750368570852293
office_home,Clipart,1,0.9731932345265447,0.9762511350118668,0.9732061543530468,1.5,1.0,1.3237976110456964e-05,0.9732061543530468,1.5,1.3237976110456964e-05,0.9731932345265447,0.0,0.8356643356643356,0.010710697729943092,0.03894856117920306
office_home,Clipart,3,0.9705764703234527,0.9729864254689666,0.9709552476005114,72.0,0.0,0.00039117300842471755,0.9709552476005114,72.0,0.00039117300842471755,0.970622210235095,4.696309788916592e-05,0.6613665947267882,0.008478352873789627,0.0292397261169952
office_home,Clipart,5,0.9698548285517479,0.9712871941986208,0.9703340452327228,439.5,0.0,0.0004948902022912693,0.9703340452327228,439.5,0.0004948902022912693,0.9699827801512431,0.00013189755288925558,0.2656187325416979,0.00757453228239162,0.02334958202796419
office_home,Product,1,0.9639948157258282,0.9725702410463628,0.9640101706497128,1.5,1.0,1.588718916813489e-05,0.9640101706497128,1.5,1.588718916813489e-05,0.9640101706497128,1.5886684378614936e-05,0.9125874125874126,0.026367645233001287,0.04567823308951865
office_home,Product,3,0.9596133087835272,0.9665170326493749,0.9596290733297062,2.0,1.0,1.641840275053311e-05,0.9599076961701628,4.5,0.0003060251330327539,0.9596290733297062,1.6418119116303963e-05,0.9169843854775361,0.024779841892265425,0.052697822138032
office_home,Product,5,0.9584666900186899,0.9631757889769077,0.9584979160527527,2.5,1.0,3.266376517676444e-05,0.9584979160527527,2.5,3.266376517676444e-05,0.9584979160527527,3.2661631473042996e-05,0.8970001056538124,0.024243335193941166,0.045323691144603
office_home,Real World,1,0.9652952930334224,0.9699456296087363,0.9652952930334224,1.0,1.0,0.0,0.9652952930334224,1.0,0.0,0.9652952930334224,0.0,0.6818181818181818,0.016153181875862958,0.032638490595816444
office_home,Real World,3,0.9589998293035054,0.9641254283011569,0.9590716512870965,3.0,1.0,7.480970938765144e-05,0.9591366424195195,8.5,0.00014244088095936245,0.9590716512870965,7.480247634103548e-05,0.8093675864828161,0.008114604128327301,0.027958555522490408
office_home,Real World,5,0.9569829820326856,0.9607417713161157,0.957063926062531,4.5,1.0,8.442413590480182e-05,0.9571473366151477,30.0,0.00017142084021340963,0.9570104154838349,2.8611287114200342e-05,0.7307705955246939,0.005749256329995394,0.02156725462837745
pacs,art_painting,1,0.7188410105382054,0.7780327809177625,0.7258116521841889,3.5,1.0,0.00982916002367776,0.7258116521841889,3.5,0.00982916002367776,0.7188410105382054,0.0,0.8286713286713288,0.05924051887139087,0.1250778816900634
pacs,art_painting,3,0.6676553576460444,0.7581808383162578,0.6796213946077783,85.5,0.0,0.017958857090237874,0.6788959488285897,80.0,0.0169430327071134,0.6695713972087863,0.00294872814541598,0.8345784755132055,0.03846147164983964,0.11195278556052266
pacs,art_painting,5,0.6602813754321548,0.7089955842635931,0.6682386509623761,313.5,0.0,0.012127841689029112,0.6682386509623761,313.5,0.012127841689029112,0.6635276951578089,0.004686372320641735,0.5671340603880863,0.03173891650138235,0.06718402302932397
pacs,cartoon,1,0.7294013502037981,0.7909637569248029,0.733513016652028,2.0,1.0,0.006130810536608745,0.733513016652028,2.0,0.006130810536608745,0.7298209355556347,0.0006248521350792645,0.9265734265734266,0.057296438665987215,0.09475468895201922
pacs,cartoon,3,0.6979374240719252,0.7816437054549994,0.702801215421452,49.5,0.5,0.00763437742834867,0.703801881331158,56.5,0.009205057723900647,0.6985766758815977,0.0010013824943680065,0.8629832697520046,0.058078292399736955,0.10135464663789281
pacs,cartoon,5,0.6938843538899302,0.742769139271651,0.6986175227610444,204.0,0.0,0.00724834627662258,0.6986175227610444,204.0,0.00724834627662258,0.6946937891151468,0.0010701439635150403,0.7526102337142524,0.058136839999520365,0.09960038907389639
pacs,photo,1,0.6596813520462441,0.7910993398734637,0.6610011598035465,1.5,1.0,0.0020926967362201268,0.6610011598035465,1.5,0.0020926967362201268,0.6596813520462441,0.0,0.8776223776223777,0.010884975107766644,0.01787379392756472
pacs,photo,3,0.6349708092060972,0.7838594916640415,0.6381541798034487,6.5,1.0,0.0051285337390266856,0.6381541798034487,6.5,0.0051285337390266856,0.6357709700381645,0.0011980767564332344,0.8360875224694726,0.01562135052817331,0.031903568268770284
pacs,photo,5,0.629230621684441,0.7321144757460583,0.6385803356553348,80.0,0.0,0.014693561643674509,0.6385803356553348,80.0,0.014693561643674509,0.6311742670150811,0.0029278920343593726,0.8383747883240124,0.019040622496827968,0.032074985949261364
pacs,sketch,1,0.7503532153159256,0.7974834321391311,0.7531827795690318,3.5,1.0,0.003863644798396634,0.7531827795690318,3.5,0.003863644798396634,0.7503532153159256,0.0,0.8916083916083917,0.19018341727336685,0.2593990496394422
pacs,sketch,3,0.7364360748879301,0.7864550384048559,0.7397055838597184,37.0,0.5,0.00420470691078616,0.7402858267595427,40.5,0.005074592242732765,0.737621829902529,0.0016162605421944872,0.7603506082958138,0.13908456396262459,0.2499922534415032
pacs,sketch,5,0.7349322910103893,0.7654949670211217,0.7363335155072226,28.0,0.0,0.001941511887195207,0.7360687669697793,17.5,0.0015438321119905156,0.7363335155072226,0.0019376130689095087,0.585161175687797,0.11666623970529419,0.24152610611341402
