seed,dimension,candidate_count,budget,target_samples,target_rank,target_moment_relative_error,strategy_id,mode,rank_cap,rank_cap_fraction,rank_schedule,fallback_to_full,selected,full_selected,selection_match,proxy_risk,full_proxy_risk,relative_proxy_risk_vs_full_greedy,true_target_risk,full_true_target_risk,relative_true_risk_vs_full_greedy,transmitted_bytes,dense_full_gram_bytes,packed_full_gram_bytes,byte_ratio_vs_dense,byte_ratio_vs_packed,selection_seconds,decomposition_seconds,certified_steps,certificate_rate,certified_comparisons,total_comparisons,pair_certificate_rate,covered_intervals,total_intervals,interval_coverage_rate,mean_selected_interval_width,sketch_bytes,full_gram_bytes,byte_ratio,uncertified_fallback_steps,mean_refinement_rounds
20260920,16,8,1,32,2,0.16204869773133138,adaptive_cap_l8,adaptive_capped,8,0.5,1|2|4|8,0,pool_00,pool_00,1,0.18409133990675292,0.18409133990675292,0.0,0.20251401092821447,0.20251401092821447,0.0,4544,16384,8704,0.27734375,0.5220588235294118,0.09295626170933247,0.003271114081144333,0,0.0,6,7,0.8571428571428571,8,8,1.0,0.11334009207634402,,,,1,3.0
20260920,16,8,1,32,2,0.16204869773133138,adaptive_fallback_cap_l8,adaptive_full_fallback,8,0.5,1|2|4|8,1,pool_00,pool_00,1,0.18409133990675292,0.18409133990675292,0.0,0.20251401092821447,0.20251401092821447,0.0,6592,16384,8704,0.40234375,0.7573529411764706,0.10951157100498676,0.003271114081144333,1,1.0,7,7,1.0,8,8,1.0,0.0,,,,0,4.0
20260920,16,8,3,32,2,0.16204869773133138,full_gram,full_gram,,,,0,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.06852780277435255,0.06852780277435255,0.0,0.07491436218163885,0.07491436218163885,0.0,8704,16384,8704,0.53125,1.0,0.004784237593412399,0.003271114081144333,,,,,,,,,,,,,,
20260920,16,8,3,32,2,0.16204869773133138,fixed_l1,fixed_rank,1,0.0625,1,0,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.06852780277435255,0.06852780277435255,0.0,0.07491436218163885,0.07491436218163885,0.0,1216,16384,8704,0.07421875,0.13970588235294118,0.0681432131677866,0.003271114081144333,0,0.0,0,18,0.0,21,21,1.0,0.5455759224002589,1216,16384,0.07421875,,
20260920,16,8,3,32,2,0.16204869773133138,fixed_l2,fixed_rank,2,0.125,2,0,pool_00|pool_02|pool_07,pool_00|pool_01|pool_07,0,0.06292535075945621,0.06852780277435255,-0.08175443817079649,0.07194703108668041,0.07491436218163885,-0.039609642377569705,2240,16384,8704,0.13671875,0.25735294117647056,0.0676958579570055,0.003271114081144333,0,0.0,5,18,0.2777777777777778,21,21,1.0,0.20318433255021096,2240,16384,0.13671875,,
20260920,16,8,3,32,2,0.16204869773133138,fixed_l4,fixed_rank,4,0.25,4,0,pool_00|pool_02|pool_07,pool_00|pool_01|pool_07,0,0.06292535075945621,0.06852780277435255,-0.08175443817079649,0.07194703108668041,0.07491436218163885,-0.039609642377569705,4288,16384,8704,0.26171875,0.49264705882352944,0.06761505827307701,0.003271114081144333,0,0.0,5,18,0.2777777777777778,21,21,1.0,0.14048858955064727,4288,16384,0.26171875,,
20260920,16,8,3,32,2,0.16204869773133138,fixed_l8,fixed_rank,8,0.5,8,0,pool_00|pool_02|pool_06,pool_00|pool_01|pool_07,0,0.06559698550031098,0.06852780277435255,-0.04276829484365822,0.07550686848474938,0.07491436218163885,0.007909114966151974,8384,16384,8704,0.51171875,0.9632352941176471,0.06780708953738213,0.003271114081144333,0,0.0,6,18,0.3333333333333333,21,21,1.0,0.0771762092039539,8384,16384,0.51171875,,
20260920,16,8,3,32,2,0.16204869773133138,fixed_l16,fixed_rank,16,1.0,16,0,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.06852780277435255,0.06852780277435255,0.0,0.07491436218163885,0.07491436218163885,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.06770402006804943,0.003271114081144333,3,1.0,18,18,1.0,21,21,1.0,0.0,16576,16384,1.01171875,,
20260920,16,8,3,32,2,0.16204869773133138,adaptive_cap_l1,adaptive_capped,1,0.0625,1,0,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.06852780277435255,0.06852780277435255,0.0,0.07491436218163885,0.07491436218163885,0.0,1216,16384,8704,0.07421875,0.13970588235294118,0.11289538443088531,0.003271114081144333,0,0.0,0,18,0.0,21,21,1.0,0.5455759224002589,,,,3,0.0
20260920,16,8,3,32,2,0.16204869773133138,adaptive_fallback_cap_l1,adaptive_full_fallback,1,0.0625,1,1,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.06852780277435255,0.06852780277435255,0.0,0.07491436218163885,0.07491436218163885,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.1306359674781561,0.003271114081144333,3,1.0,18,18,1.0,21,21,1.0,0.0,,,,0,0.3333333333333333
20260920,16,8,3,32,2,0.16204869773133138,adaptive_cap_l2,adaptive_capped,2,0.125,1|2,0,pool_00|pool_02|pool_07,pool_00|pool_01|pool_07,0,0.06292535075945621,0.06852780277435255,-0.08175443817079649,0.07194703108668041,0.07491436218163885,-0.039609642377569705,2240,16384,8704,0.13671875,0.25735294117647056,0.12879660166800022,0.003271114081144333,0,0.0,5,18,0.2777777777777778,21,21,1.0,0.20318433255021096,,,,3,0.3333333333333333
20260920,16,8,3,32,2,0.16204869773133138,adaptive_fallback_cap_l2,adaptive_full_fallback,2,0.125,1|2,1,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.06852780277435255,0.06852780277435255,0.0,0.07491436218163885,0.07491436218163885,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.16046718880534172,0.003271114081144333,3,1.0,18,18,1.0,21,21,1.0,0.0,,,,0,1.0
20260920,16,8,3,32,2,0.16204869773133138,adaptive_cap_l4,adaptive_capped,4,0.25,1|2|4,0,pool_00|pool_02|pool_07,pool_00|pool_01|pool_07,0,0.06292535075945621,0.06852780277435255,-0.08175443817079649,0.07194703108668041,0.07491436218163885,-0.039609642377569705,4288,16384,8704,0.26171875,0.49264705882352944,0.1594780571758747,0.003271114081144333,0,0.0,5,18,0.2777777777777778,21,21,1.0,0.14048858955064727,,,,3,1.0
20260920,16,8,3,32,2,0.16204869773133138,adaptive_fallback_cap_l4,adaptive_full_fallback,4,0.25,1|2|4,1,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.06852780277435255,0.06852780277435255,0.0,0.07491436218163885,0.07491436218163885,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.1912440750747919,0.003271114081144333,3,1.0,18,18,1.0,21,21,1.0,0.0,,,,0,1.6666666666666667
20260920,16,8,3,32,2,0.16204869773133138,adaptive_cap_l8,adaptive_capped,8,0.5,1|2|4|8,0,pool_00|pool_02|pool_06,pool_00|pool_01|pool_07,0,0.06559698550031098,0.06852780277435255,-0.04276829484365822,0.07550686848474938,0.07491436218163885,0.007909114966151974,8384,16384,8704,0.51171875,0.9632352941176471,0.19080020673573017,0.003271114081144333,0,0.0,6,18,0.3333333333333333,21,21,1.0,0.0771762092039539,,,,3,1.6666666666666667
20260920,16,8,3,32,2,0.16204869773133138,adaptive_fallback_cap_l8,adaptive_full_fallback,8,0.5,1|2|4|8,1,pool_00|pool_01|pool_07,pool_00|pool_01|pool_07,1,0.06852780277435255,0.06852780277435255,0.0,0.07491436218163885,0.07491436218163885,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.23433416336774826,0.003271114081144333,3,1.0,18,18,1.0,21,21,1.0,0.0,,,,0,2.6666666666666665
20260920,16,8,1,32,4,0.31369144750930206,full_gram,full_gram,,,,0,pool_00,pool_00,1,0.22533504773561217,0.22533504773561217,0.0,0.25146779566775274,0.25146779566775274,0.0,8704,16384,8704,0.53125,1.0,0.003523854538798332,0.0029721707105636597,,,,,,,,,,,,,,
20260920,16,8,1,32,4,0.31369144750930206,fixed_l1,fixed_rank,1,0.0625,1,0,pool_01,pool_00,0,0.27588040562283855,0.22533504773561217,0.2243120118026724,0.3087529262048595,0.25146779566775274,0.22780304883569943,1216,16384,8704,0.07421875,0.13970588235294118,0.025292493402957916,0.0029721707105636597,0,0.0,0,7,0.0,8,8,1.0,2.6327329352919566,1216,16384,0.07421875,,
20260920,16,8,1,32,4,0.31369144750930206,fixed_l2,fixed_rank,2,0.125,2,0,pool_01,pool_00,0,0.27588040562283855,0.22533504773561217,0.2243120118026724,0.3087529262048595,0.25146779566775274,0.22780304883569943,2240,16384,8704,0.13671875,0.25735294117647056,0.02556571364402771,0.0029721707105636597,0,0.0,0,7,0.0,8,8,1.0,1.5701466679071503,2240,16384,0.13671875,,
20260920,16,8,1,32,4,0.31369144750930206,fixed_l4,fixed_rank,4,0.25,4,0,pool_00,pool_00,1,0.22533504773561217,0.22533504773561217,0.0,0.25146779566775274,0.25146779566775274,0.0,4288,16384,8704,0.26171875,0.49264705882352944,0.025717874988913536,0.0029721707105636597,0,0.0,5,7,0.7142857142857143,8,8,1.0,0.19263518468080545,4288,16384,0.26171875,,
20260920,16,8,1,32,4,0.31369144750930206,fixed_l8,fixed_rank,8,0.5,8,0,pool_00,pool_00,1,0.22533504773561217,0.22533504773561217,0.0,0.25146779566775274,0.25146779566775274,0.0,8384,16384,8704,0.51171875,0.9632352941176471,0.02563844807446003,0.0029721707105636597,0,0.0,6,7,0.8571428571428571,8,8,1.0,0.12131920003387683,8384,16384,0.51171875,,
20260920,16,8,1,32,4,0.31369144750930206,fixed_l16,fixed_rank,16,1.0,16,0,pool_00,pool_00,1,0.22533504773561217,0.22533504773561217,0.0,0.25146779566775274,0.25146779566775274,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.025926707312464714,0.0029721707105636597,1,1.0,7,7,1.0,8,8,1.0,0.0,16576,16384,1.01171875,,
20260920,16,8,1,32,4,0.31369144750930206,adaptive_cap_l1,adaptive_capped,1,0.0625,1,0,pool_01,pool_00,0,0.27588040562283855,0.22533504773561217,0.2243120118026724,0.3087529262048595,0.25146779566775274,0.22780304883569943,1216,16384,8704,0.07421875,0.13970588235294118,0.04495095647871494,0.0029721707105636597,0,0.0,0,7,0.0,8,8,1.0,2.6327329352919566,,,,1,0.0
20260920,16,8,1,32,4,0.31369144750930206,adaptive_fallback_cap_l1,adaptive_full_fallback,1,0.0625,1,1,pool_00,pool_00,1,0.22533504773561217,0.22533504773561217,0.0,0.25146779566775274,0.25146779566775274,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.06217047572135925,0.0029721707105636597,1,1.0,7,7,1.0,8,8,1.0,0.0,,,,0,1.0
20260920,16,8,1,32,4,0.31369144750930206,adaptive_cap_l2,adaptive_capped,2,0.125,1|2,0,pool_01,pool_00,0,0.27588040562283855,0.22533504773561217,0.2243120118026724,0.3087529262048595,0.25146779566775274,0.22780304883569943,2240,16384,8704,0.13671875,0.25735294117647056,0.06173175573348999,0.0029721707105636597,0,0.0,0,7,0.0,8,8,1.0,1.5701466679071503,,,,1,1.0
20260920,16,8,1,32,4,0.31369144750930206,adaptive_fallback_cap_l2,adaptive_full_fallback,2,0.125,1|2,1,pool_00,pool_00,1,0.22533504773561217,0.22533504773561217,0.0,0.25146779566775274,0.25146779566775274,0.0,16576,16384,8704,1.01171875,1.9044117647058822,0.07883883453905582,0.0029721707105636597,1,1.0,7,7,1.0,8,8,1.0,0.0,,,,0,2.0
20260920,16,8,1,32,4,0.31369144750930206,adaptive_cap_l4,adaptive_capped,4,0.25,1|2|4,0,pool_00,pool_00,1,0.22533504773561217,0.22533504773561217,0.0,0.25146779566775274,0.25146779566775274,0.0,4288,16384,8704,0.26171875,0.49264705882352944,0.07846447080373764,0.0029721707105636597,0,0.0,5,7,0.7142857142857143,8,8,1.0,0.19263518468080545,,,,1,2.0
20260920,16,8,1,32,4,0.31369144750930206,adaptive_fallback_cap_l4,adaptive_full_fallback,4,0.25,1|2|4,1,pool_00,pool_00,1,0.22533504773561217,0.22533504773561217,0.0,0.25146779566775274,0.25146779566775274,0.0,8896,16384,8704,0.54296875,1.0220588235294117,0.09513036347925663,0.0029721707105636597,1,1.0,7,7,1.0,8,8,1.0,0.0,,,,0,3.0
