encoder,configurations,rank_reff_mean,collapse_minus_rank_mean,collapse_relative_gain_mean,collapse_win_count,collapse_tie_count,collapse_loss_count,collapse_win_rate,dpp_minus_rank_mean,dpp_relative_gain_mean,dpp_win_count,dpp_tie_count,dpp_loss_count,dpp_win_rate
clip_b32,240,268.7064971402767,-0.016699396588130237,-0.00032794505787871024,107,60,73,0.44583333333333336,8.377990343353927,0.033136390862809145,235,0,5,0.9791666666666666
dinov2_b14,240,589.2329873261168,4.289319959217099,0.006181053373728524,120,102,18,0.5,20.49683531077323,0.03713462998178511,240,0,0,1.0
resnet50,240,852.6163111434056,8.139621386718577,0.005624600403042812,80,136,24,0.3333333333333333,72.67843367435765,0.1095059686019796,231,0,9,0.9625
vit_b16,240,554.6518243422411,-11.287355487930391,-0.02172091759467909,121,13,106,0.5041666666666667,17.328409748931495,0.03810713270576474,227,0,13,0.9458333333333333
