encoder,method,budget,configurations,merged_reff_mean,merged_reff_std,unique_lineages_mean,lineage_duplicate_count_mean,unique_datasets_mean,selected_alias_parent_pairs_mean,max_selected_sample_overlap_mean,selection_seconds_for_max_budget_mean,metric_seconds_mean
clip_b32,collapse_sketch,3,60,241.58886808678372,10.473631994814598,2.3333333333333335,0.6666666666666666,1.0,0.6666666666666666,0.3334,0.08373236150170366,0.03450295788546403
clip_b32,collapse_sketch,5,60,262.7745422189123,3.0498260919014712,4.0,1.0,1.0,1.0,0.43333333333333335,0.08373236150170366,0.03615898086378972
clip_b32,collapse_sketch,8,60,283.04909011623374,1.65764330565685,6.95,1.05,3.0,1.05,0.43333333333333335,0.08373236150170366,0.03842394379898906
clip_b32,collapse_sketch,10,60,287.34669055282467,1.317643013688127,8.716666666666667,1.2833333333333334,3.0,1.2833333333333334,0.43333333333333335,0.08373236150170366,0.040086408890783784
clip_b32,dpp_subspace,3,60,258.12801897230696,0.8917451173148769,3.0,0.0,3.0,0.0,0.0,0.008345655382921298,0.03469837565595905
clip_b32,dpp_subspace,5,60,277.0620537807527,0.6990851622586064,4.933333333333334,0.06666666666666667,3.0,0.06666666666666667,0.0,0.008345655382921298,0.03606463450317581
clip_b32,dpp_subspace,8,60,285.3713213837034,0.6603497566964632,7.65,0.35,3.0,0.35,0.018266666666666667,0.008345655382921298,0.03833838229378064
clip_b32,dpp_subspace,10,60,287.77655579775967,0.7635663968815974,9.516666666666667,0.48333333333333334,3.0,0.48333333333333334,0.025733333333333334,0.008345655382921298,0.040246521960943936
clip_b32,facility_subspace,3,60,202.83533407904173,1.2021185127728524,3.0,0.0,3.0,0.0,0.0,0.0016090708784759044,0.03480380152662595
clip_b32,facility_subspace,5,60,254.93803427779568,1.2190528573466672,5.0,0.0,5.0,0.0,0.0,0.0016090708784759044,0.0363085365233322
clip_b32,facility_subspace,8,60,272.1405397767023,1.7066187059806468,7.833333333333333,0.16666666666666666,5.0,0.16666666666666666,0.008333333333333333,0.0016090708784759044,0.038422437477856876
clip_b32,facility_subspace,10,60,278.97924873780045,2.4652266915881844,9.583333333333334,0.4166666666666667,5.0,0.4166666666666667,0.02493333333333333,0.0016090708784759044,0.03988373000174761
