encoder,overlap,budget,seeds,collapse_minus_rank_mean,collapse_minus_rank_std,collapse_win_count,collapse_tie_count,collapse_loss_count,collapse_win_rate,dpp_minus_rank_mean,dpp_minus_rank_std,dpp_win_count,dpp_tie_count,dpp_loss_count,dpp_win_rate
clip_b32,0.0,3,10,-0.18512523768073663,0.33358810686978796,1,5,4,0.1,7.674937836930539,0.8002024263194675,10,0,0,1.0
clip_b32,0.0,5,10,0.0012708971838776505,0.006075451520458871,2,6,2,0.2,11.032618741873085,1.0544625072635792,10,0,0,1.0
clip_b32,0.0,8,10,-0.16376311414414318,0.5829093040426205,2,0,8,0.2,0.7788614421332113,0.6820885064976354,9,0,1,0.9
clip_b32,0.0,10,10,1.2825567496421342,0.3714426477995904,10,0,0,1.0,0.8450411598596247,0.6339059125217504,9,0,1,0.9
clip_b32,0.1,3,10,-0.6201456813218187,1.0967827881583516,0,6,4,0.0,8.372061305008845,1.4236586775806925,10,0,0,1.0
clip_b32,0.1,5,10,0.002658105681132383,0.004984371779228423,3,6,1,0.3,11.758907195344886,0.8807547221639369,10,0,0,1.0
clip_b32,0.1,8,10,-0.006834919734507139,0.5791718052235564,3,0,7,0.3,1.0423922773025596,0.6449741493989399,10,0,0,1.0
clip_b32,0.1,10,10,1.3397544372929757,0.37330620799529657,10,0,0,1.0,0.5822698935775577,0.8464607412153894,7,0,3,0.7
clip_b32,0.25,3,10,-1.3900246538788708,2.547534558787058,1,4,5,0.1,10.300002827399869,3.119608598525973,10,0,0,1.0
clip_b32,0.25,5,10,0.0016274061398462436,0.004121806239988526,3,6,1,0.3,12.605411116881816,0.9235755748436398,10,0,0,1.0
clip_b32,0.25,8,10,0.1317518330170458,0.6155745695679089,4,0,6,0.4,1.4522856828826889,0.7293034707726548,10,0,0,1.0
clip_b32,0.25,10,10,1.7000611798165495,0.3153393708697881,10,0,0,1.0,1.3149877965244798,0.6102794359693373,10,0,0,1.0
clip_b32,0.5,3,10,-1.2134830508196643,3.839008230060656,1,6,3,0.1,13.392931486944505,6.648544940790153,10,0,0,1.0
clip_b32,0.5,5,10,0.00027827025456304,0.004026470048609336,2,7,1,0.2,14.687289247095162,0.9032161645206612,10,0,0,1.0
clip_b32,0.5,8,10,0.15490034575759068,0.8821489162365665,5,0,5,0.5,2.6265903141417937,0.8227436508016662,10,0,0,1.0
clip_b32,0.5,10,10,2.091936873070762,0.2560903156912495,10,0,0,1.0,2.5549011083475706,0.23704144277829978,10,0,0,1.0
clip_b32,0.75,3,10,-10.011284366904116,10.368817554122423,1,2,7,0.1,15.396320925589317,9.901391846840804,10,0,0,1.0
clip_b32,0.75,5,10,0.001985445635591532,0.006278073396255071,5,3,2,0.5,16.854570561461873,0.7373358900274536,10,0,0,1.0
clip_b32,0.75,8,10,0.5783079023892526,1.7550152227180997,5,0,5,0.5,4.149661788595717,1.4929253824701652,10,0,0,1.0
clip_b32,0.75,10,10,2.2302926612468412,0.6458199399575465,10,0,0,1.0,3.575840195377714,0.1906227874683817,10,0,0,1.0
clip_b32,1.0,3,10,-0.09303906984413288,0.283363082679095,0,5,5,0.0,30.585548870817366,12.271837838020238,10,0,0,1.0
clip_b32,1.0,5,10,-0.003532444261230694,0.0050574255258894404,1,4,5,0.1,18.7905601890193,0.9044593322973687,10,0,0,1.0
clip_b32,1.0,8,10,1.5667720447868363,1.6948881139682577,8,0,2,0.8,6.144730191833759,1.849165022943085,10,0,0,1.0
clip_b32,1.0,10,10,2.2022928685590957,0.9416057815255469,10,0,0,1.0,4.553046085551012,0.27497332202228086,10,0,0,1.0
dinov2_b14,0.0,3,10,-5.684341886080802e-14,1.797546735911271e-13,0,10,0,0.0,8.420157947535518,1.4264478314498865,10,0,0,1.0
dinov2_b14,0.0,5,10,-4.792145841747697e-06,8.205191089902226e-06,0,10,0,0.0,15.813025997758677,0.38016971558940016,10,0,0,1.0
dinov2_b14,0.0,8,10,10.226103328794636,0.2913625878826458,10,0,0,1.0,10.02959282259692,0.27822799928662467,10,0,0,1.0
dinov2_b14,0.0,10,10,13.23996315907334,0.36191294338369595,10,0,0,1.0,13.58109745402022,0.2184579070398913,10,0,0,1.0
dinov2_b14,0.1,3,10,-2.5411736710101422,5.080644687837443,0,6,4,0.0,9.026352653057018,4.075647288143649,10,0,0,1.0
dinov2_b14,0.1,5,10,-2.799177855195012e-06,9.016922746732285e-06,0,10,0,0.0,17.643994709531206,0.9741753171967739,10,0,0,1.0
dinov2_b14,0.1,8,10,10.364475800466277,0.3338299660288019,10,0,0,1.0,10.351944730085757,0.44620068301285665,10,0,0,1.0
dinov2_b14,0.1,10,10,13.580110409380245,0.37542347221320715,10,0,0,1.0,13.995424453544421,0.37633937721248567,10,0,0,1.0
dinov2_b14,0.25,3,10,-8.775763059518658,14.132002522798105,0,7,3,0.0,11.454335634705757,9.26827639545201,10,0,0,1.0
dinov2_b14,0.25,5,10,-4.778324523613264e-06,1.156044821165258e-05,0,10,0,0.0,21.800825082299603,0.46511339249017747,10,0,0,1.0
dinov2_b14,0.25,8,10,10.48522465484101,0.7437913724942603,10,0,0,1.0,10.880239322965826,1.0452653860961807,10,0,0,1.0
dinov2_b14,0.25,10,10,14.076208616303882,0.9107432988185235,10,0,0,1.0,14.934767707585706,0.374218548716071,10,0,0,1.0
dinov2_b14,0.5,3,10,-18.86429155715797,30.01952627506376,0,5,5,0.0,21.5715376556416,26.15744445746292,10,0,0,1.0
dinov2_b14,0.5,5,10,-3.973992693317996e-06,1.3441983178047206e-05,0,10,0,0.0,28.663549080479346,0.5548676037858263,10,0,0,1.0
dinov2_b14,0.5,8,10,10.97715010280433,1.4126079059363714,10,0,0,1.0,15.711243162049652,1.4724573232269589,10,0,0,1.0
dinov2_b14,0.5,10,10,14.816986601651967,2.0949949008445796,10,0,0,1.0,16.49878195584415,0.39074930844073325,10,0,0,1.0
dinov2_b14,0.75,3,10,-19.640732734783874,41.07245699931787,1,5,4,0.1,38.12319273632096,46.40612307315117,10,0,0,1.0
dinov2_b14,0.75,5,10,-2.800843390105001e-07,1.132352150211432e-05,0,10,0,0.0,35.796455574723474,0.6737153135106059,10,0,0,1.0
dinov2_b14,0.75,8,10,10.615959311069968,0.4940329887140726,10,0,0,1.0,20.675800288601625,3.4245762759533993,10,0,0,1.0
dinov2_b14,0.75,10,10,15.567408277941627,2.8005752694743267,10,0,0,1.0,18.15036790673214,2.3484670381553086,10,0,0,1.0
dinov2_b14,1.0,3,10,-0.12692644352435423,0.33107095422062655,1,7,2,0.1,49.203198150140494,64.77373591048949,10,0,0,1.0
dinov2_b14,1.0,5,10,-3.2236856327472196e-06,1.4134249746990336e-05,0,10,0,0.0,43.74818650729475,0.42079132944296715,10,0,0,1.0
