encoder,target_domain,metric,test_sample_count,top_q,exact_ties_at_boundary,mean,p_lower,p_upper
dinov2_b14,clipart,brier_score,2048,10,1,0.8442000000000002,0.7,1.0
dinov2_b14,clipart,squared_loss,2048,10,1,0.8078500000000002,0.6,0.9
dinov2_b14,clipart,nll,2048,10,1,0.8790500000000002,0.7,1.0
dinov2_b14,clipart,error_rate,2048,10,2,0.8373500000000001,0.7,1.0
dinov2_b14,infograph,brier_score,2048,10,1,0.8525000000000001,0.7,1.0
dinov2_b14,infograph,squared_loss,2048,10,1,0.7182000000000001,0.5,0.9
dinov2_b14,infograph,nll,2048,10,1,0.8042,0.6,1.0
dinov2_b14,infograph,error_rate,2048,10,2,0.6705999999999999,0.4,0.9
dinov2_b14,painting,brier_score,2048,10,1,0.9189,0.8,1.0
dinov2_b14,painting,squared_loss,2048,10,1,0.8690500000000002,0.8,1.0
dinov2_b14,painting,nll,2048,10,1,0.9515500000000002,0.8,1.0
dinov2_b14,painting,error_rate,2048,10,1,0.8275500000000002,0.6,1.0
dinov2_b14,quickdraw,brier_score,2048,10,1,0.9078500000000002,0.7,1.0
dinov2_b14,quickdraw,squared_loss,2048,10,1,0.95275,0.8,1.0
dinov2_b14,quickdraw,nll,2048,10,1,0.9120500000000001,0.8,1.0
dinov2_b14,quickdraw,error_rate,2048,10,3,0.68085,0.5,0.9
dinov2_b14,real,brier_score,2048,10,1,0.8143,0.6,1.0
dinov2_b14,real,squared_loss,2048,10,1,0.7944000000000001,0.6,0.9
dinov2_b14,real,nll,2048,10,1,0.7863000000000001,0.6,0.9
dinov2_b14,real,error_rate,2048,10,2,0.75305,0.5,0.9
dinov2_b14,sketch,brier_score,2048,10,1,0.9055000000000002,0.7,1.0
dinov2_b14,sketch,squared_loss,2048,10,1,0.8677000000000001,0.7,1.0
dinov2_b14,sketch,nll,2048,10,1,0.8728500000000001,0.7,0.9
dinov2_b14,sketch,error_rate,2048,10,2,0.7809,0.6,0.9
