target_domain,method,shortlist_size,shortlist_reduction,true_top_q_recall,selected_normalized_regret,best_shortlist_normalized_regret,screen_spearman_vs_test_brier
clipart,bayesian_d,10,0.978021978021978,0.05,0.00037715383911218693,0.00037715383911218693,0.5070657837409518
clipart,bayesian_d,25,0.945054945054945,0.1,0.00018859098893082835,0.00018859098893082835,0.5070657837409518
clipart,bayesian_d,50,0.8901098901098901,0.2,0.0001071507531992894,0.0001071507531992894,0.5070657837409518
clipart,bayesian_d,100,0.7802197802197802,0.35,7.899581023895228e-05,7.899581023895228e-05,0.5070657837409518
clipart,bayesian_d,227,0.5010989010989011,0.95,1.236511522321154e-05,0.0,0.5070657837409518
clipart,domain_balance,10,0.978021978021978,0.0,0.0005310410908081335,0.0005310410908081335,-0.10400240265183461
clipart,domain_balance,25,0.945054945054945,0.0,0.000481580008545703,0.000481580008545703,-0.10400240265183461
clipart,domain_balance,50,0.8901098901098901,0.05,0.0002253407088155537,0.0002253407088155537,-0.10400240265183461
clipart,domain_balance,100,0.7802197802197802,0.05,0.0002253407088155537,0.0002253407088155537,-0.10400240265183461
clipart,domain_balance,227,0.5010989010989011,0.15000000000000002,0.00018181344368213632,0.00018181344368213632,-0.10400240265183461
clipart,dpp_subspace,10,0.978021978021978,0.0,0.0007594280389710169,0.0007594280389710169,-0.004864096024541187
clipart,dpp_subspace,25,0.945054945054945,0.0,0.0006130512076996601,0.0006130512076996601,-0.004864096024541187
clipart,dpp_subspace,50,0.8901098901098901,0.0,0.0005778124115721155,0.0005778124115721155,-0.004864096024541187
clipart,dpp_subspace,100,0.7802197802197802,0.05,0.0004088738660306034,0.0004088738660306034,-0.004864096024541187
clipart,dpp_subspace,227,0.5010989010989011,0.2,0.0001071507531992894,0.0001071507531992894,-0.004864096024541187
clipart,merged_effective_rank,10,0.978021978021978,0.05,0.00037715383911218693,0.00037715383911218693,0.5049507239804017
clipart,merged_effective_rank,25,0.945054945054945,0.1,0.00018859098893082835,0.00018859098893082835,0.5049507239804017
clipart,merged_effective_rank,50,0.8901098901098901,0.2,0.0001071507531992894,0.0001071507531992894,0.5049507239804017
