encoder,target_domain,method,shortlist_size,shortlist_reduction,true_top_q_recall,selected_normalized_regret,best_shortlist_normalized_regret,screen_spearman_vs_test_brier
dinov2_b14,clipart,bayesian_d,10,0.978021978021978,0.0,0.000591427206761296,0.000591427206761296,0.4909365501180943
dinov2_b14,clipart,bayesian_d,25,0.945054945054945,0.1,0.0002143015063985788,0.0002143015063985788,0.4909365501180943
dinov2_b14,clipart,bayesian_d,50,0.8901098901098901,0.1,0.0002143015063985788,0.0002143015063985788,0.4909365501180943
dinov2_b14,clipart,bayesian_d,100,0.7802197802197802,0.2,0.00015799162047790456,0.00015799162047790456,0.4909365501180943
dinov2_b14,clipart,bayesian_d,227,0.5010989010989011,1.0,0.0,0.0,0.4909365501180943
dinov2_b14,clipart,domain_balance,10,0.978021978021978,0.0,0.0006057176861575659,0.0006057176861575659,-0.11468458506483083
dinov2_b14,clipart,domain_balance,25,0.945054945054945,0.0,0.0006057176861575659,0.0006057176861575659,-0.11468458506483083
dinov2_b14,clipart,domain_balance,50,0.8901098901098901,0.0,0.00033175506236265837,0.00033175506236265837,-0.11468458506483083
dinov2_b14,clipart,domain_balance,100,0.7802197802197802,0.0,0.00033175506236265837,0.00033175506236265837,-0.11468458506483083
dinov2_b14,clipart,domain_balance,227,0.5010989010989011,0.1,0.0002545881605132659,0.0002545881605132659,-0.11468458506483083
dinov2_b14,clipart,dpp_subspace,10,0.978021978021978,0.0,0.0010112370063491039,0.0010112370063491039,-0.07627833562217981
dinov2_b14,clipart,dpp_subspace,25,0.945054945054945,0.0,0.0009374813152838836,0.0009374813152838836,-0.07627833562217981
dinov2_b14,clipart,dpp_subspace,50,0.8901098901098901,0.0,0.0008670037230287946,0.0008670037230287946,-0.07627833562217981
dinov2_b14,clipart,dpp_subspace,100,0.7802197802197802,0.0,0.0008177477320612068,0.0008177477320612068,-0.07627833562217981
dinov2_b14,clipart,dpp_subspace,227,0.5010989010989011,0.2,0.0002143015063985788,0.0002143015063985788,-0.07627833562217981
dinov2_b14,clipart,merged_effective_rank,10,0.978021978021978,0.0,0.000591427206761296,0.000591427206761296,0.4874064609167786
dinov2_b14,clipart,merged_effective_rank,25,0.945054945054945,0.1,0.0002143015063985788,0.0002143015063985788,0.4874064609167786
dinov2_b14,clipart,merged_effective_rank,50,0.8901098901098901,0.1,0.0002143015063985788,0.0002143015063985788,0.4874064609167786
dinov2_b14,clipart,merged_effective_rank,100,0.7802197802197802,0.2,0.00015799162047790456,0.00015799162047790456,0.4874064609167786
dinov2_b14,clipart,merged_effective_rank,227,0.5010989010989011,1.0,0.0,0.0,0.4874064609167786
dinov2_b14,clipart,random,10,0.9780219780219779,0.025,0.0005389401437780651,0.0005304397858771004,0.011460101456623597
dinov2_b14,clipart,random,25,0.945054945054945,0.049999999999999996,0.0003735026949386106,0.00036995626890499344,0.011460101456623597
dinov2_b14,clipart,random,50,0.8901098901098902,0.09500000000000001,0.00025480885740447937,0.0002484370404730298,0.011460101456623597
dinov2_b14,clipart,random,100,0.7802197802197803,0.18,0.00015296163781928986,0.00015179899229679643,0.011460101456623597
dinov2_b14,clipart,random,227,0.5010989010989011,0.49000000000000005,6.990200957502259e-05,6.640843406691802e-05,0.011460101456623597
dinov2_b14,clipart,second_moment_mmd,10,0.978021978021978,0.1,0.00029038932488229327,0.00029038932488229327,0.5476001508345585
dinov2_b14,clipart,second_moment_mmd,25,0.945054945054945,0.4,0.0,0.0,0.5476001508345585
