excluded_encoder,scope,method,primary_shortlist_sizes,rows,encoder_target_domain_units,encoders,targets,excluded_domains,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
clip_b32,all_lodo,dpp_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.7023809523809523,0.6944444444444444,0.0009584638015822338,0.0408945268473909,-0.00042830492768969,0.5073529411764706,0.7738095238095238,0.7916666666666666,6.583333333333333,0.47624771062271065,False
clip_b32,all_lodo,facility_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.4166666666666667,0.4841269841269841,0.002350887137515119,0.08929999857352791,0.0018170961311885277,0.5073529411764706,0.47619047619047616,0.617063492063492,7.75,0.39079670329670335,False
clip_b32,all_lodo,full_merged_rank,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.7857142857142857,0.7579365079365079,0.00087680902215685,0.03706438110375728,-7.83063116527977e-06,0.5073529411764706,0.7976190476190477,0.7718253968253967,6.0,0.5274725274725275,False
clip_b32,all_lodo,kcenter_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.7142857142857143,0.4841269841269841,0.00034804578146270857,0.019428794964265878,0.00028745248204185706,0.5073529411764706,0.7857142857142857,0.5992063492063492,7.583333333333333,0.402415293040293,False
clip_b32,all_lodo,pool_vendi_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.7619047619047619,0.5119047619047619,0.000378593334375654,0.02010361241901812,0.00044378070604233447,0.5073529411764706,0.8214285714285714,0.6091269841269841,7.666666666666667,0.39600503663003667,False
clip_b32,all_lodo,rank_only,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.7380952380952381,0.7380952380952381,0.001093817263512638,0.04395952422124102,-0.00010450837158021817,0.5073529411764706,0.7380952380952381,0.746031746031746,5.5,0.5609546703296703,False
dinov2_b14,all_lodo,dpp_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.8095238095238095,0.742063492063492,0.0008689648632471693,0.030402010410699537,-0.00036763307594117546,0.5073529411764706,0.8690476190476191,0.8511904761904762,6.916666666666667,0.4482600732600733,False
dinov2_b14,all_lodo,facility_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.4523809523809524,0.5158730158730158,0.0018875324212434164,0.06983339832947098,0.0013365789538338079,0.5073529411764706,0.4880952380952381,0.6507936507936508,7.75,0.39079670329670335,False
dinov2_b14,all_lodo,full_merged_rank,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.8690476190476191,0.8134920634920635,0.0008152138368990961,0.02978237264708981,-7.948194231305725e-05,0.5073529411764706,0.8809523809523809,0.8353174603174603,6.333333333333333,0.5034913003663003,False
dinov2_b14,all_lodo,kcenter_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.6428571428571429,0.5079365079365079,0.0009950434113635911,0.04416772873857039,0.0011136907906759373,0.5073529411764706,0.6785714285714286,0.6071428571428571,7.583333333333333,0.402415293040293,False
dinov2_b14,all_lodo,pool_vendi_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.7142857142857143,0.5476190476190477,0.0009846289379052409,0.04240558392734256,0.0009716568958191688,0.5073529411764706,0.7380952380952381,0.611111111111111,7.666666666666667,0.39600503663003667,False
dinov2_b14,all_lodo,rank_only,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.8333333333333334,0.7896825396825397,0.0009969722413937436,0.034812514694723455,-0.0002635459105173744,0.5073529411764706,0.8333333333333334,0.7956349206349206,5.666666666666667,0.549793956043956,False
resnet50,all_lodo,dpp_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.8095238095238095,0.7579365079365079,0.00022432017935784611,0.01656549396455102,-0.0001506121385665171,0.5073529411764706,0.8809523809523809,0.875,6.833333333333333,0.4586767399267399,False
resnet50,all_lodo,facility_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.44047619047619047,0.492063492063492,0.0018608810328707387,0.08506506805906852,0.0026594978003274803,0.5073529411764706,0.5,0.6507936507936508,7.75,0.39079670329670335,False
resnet50,all_lodo,full_merged_rank,digits_characters:8|general_vision:8|medical:5|rendered_text:10,84,84,3,7,4,0.8809523809523809,0.8253968253968254,0.00018937652109624853,0.01419137009713409,0.00042129882744380246,0.5073529411764706,0.8809523809523809,0.8551587301587301,6.333333333333333,0.5034913003663003,False
