scope,method,primary_shortlist_sizes,rows,encoder_target_domain_units,encoders,targets,excluded_domains,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal
exclude_digits_characters,dpp_subspace,digits_characters:8,28,28,4,7,1,0.8571428571428571,0.8571428571428571,0.0006124175069721746,0.021451249981214206,-0.0003754956381661583,0.5294117647058824,0.8928571428571429,0.8928571428571429,6.5,0.5357142857142857,False
exclude_digits_characters,facility_subspace,digits_characters:8,28,28,4,7,1,0.35714285714285715,0.5238095238095238,0.00245051724181134,0.08140688906770778,0.0016026254211153296,0.5294117647058824,0.35714285714285715,0.5714285714285714,8.0,0.42857142857142855,False
exclude_digits_characters,full_merged_rank,digits_characters:8,28,28,4,7,1,0.8928571428571429,0.869047619047619,0.0005247529944419785,0.01790862499774507,-0.0004096388816833512,0.5294117647058824,0.8928571428571429,0.880952380952381,6.25,0.5535714285714286,False
exclude_digits_characters,kcenter_subspace,digits_characters:8,28,28,4,7,1,0.6071428571428571,0.5595238095238095,0.0006965730802567595,0.03182239520376322,0.001205816013472422,0.5294117647058824,0.6428571428571429,0.5833333333333333,8.0,0.42857142857142855,False
exclude_digits_characters,pool_vendi_subspace,digits_characters:8,28,28,4,7,1,0.7857142857142857,0.5595238095238095,0.0003864753256189814,0.014845653267720178,0.00016953306538718523,0.5294117647058824,0.7857142857142857,0.5714285714285714,8.0,0.42857142857142855,False
exclude_digits_characters,random,digits_characters:8,2800,28,4,7,1,0.46,0.4660714285714286,0.0028412802908081855,0.09494487921739107,0.0020412631567035397,0.5294117647058824,0.5028571428571429,0.5604166666666666,7.258928571428571,0.48150510204081637,False
exclude_digits_characters,rank_only,digits_characters:8,28,28,4,7,1,0.8928571428571429,0.8571428571428571,0.0006076488741734046,0.020464719252539915,-0.00013062102454049405,0.5294117647058824,0.8928571428571429,0.8571428571428571,5.25,0.625,False
exclude_general_vision,dpp_subspace,general_vision:8,28,28,4,7,1,0.5357142857142857,0.6071428571428571,0.0014662034084934922,0.063522289070494,0.0005285756928580164,0.5,0.6428571428571429,0.744047619047619,7.25,0.44230769230769235,False
exclude_general_vision,facility_subspace,general_vision:8,28,28,4,7,1,0.7142857142857143,0.5595238095238095,0.0006282283892080512,0.02991865378419889,0.0019533587353570098,0.5,0.8571428571428571,0.8273809523809524,8.0,0.3846153846153846,False
exclude_general_vision,full_merged_rank,general_vision:8,28,28,4,7,1,0.6428571428571429,0.6666666666666667,0.0013644709975622219,0.06011143137876286,0.0010748037270137242,0.5,0.6785714285714286,0.7202380952380952,6.5,0.5,False
exclude_general_vision,kcenter_subspace,general_vision:8,28,28,4,7,1,0.5714285714285714,0.4404761904761904,0.000877170265460426,0.042008688814554045,0.0008062154054641653,0.5,0.75,0.744047619047619,7.75,0.4038461538461538,False
exclude_general_vision,pool_vendi_subspace,general_vision:8,28,28,4,7,1,0.6428571428571429,0.5119047619047619,0.0009899901194247282,0.04839862637868196,0.0014073163270950254,0.5,0.7857142857142857,0.7321428571428571,8.0,0.3846153846153846,False
exclude_general_vision,random,general_vision:8,2800,28,4,7,1,0.5160714285714286,0.506547619047619,0.0014550572499333362,0.0646176463224501,0.0008153852969408003,0.5,0.6282142857142857,0.6569642857142857,7.171428571428572,0.44835164835164837,False
exclude_general_vision,rank_only,general_vision:8,28,28,4,7,1,0.5357142857142857,0.6666666666666667,0.0018543094987947162,0.07405358192632368,0.000784770505768909,0.5,0.5357142857142857,0.6904761904761905,6.0,0.5384615384615384,False
exclude_medical,dpp_subspace,medical:5,28,28,4,7,1,0.8214285714285714,0.6428571428571429,0.0007850047491779834,0.029695658621474618,-0.0012570538691111938,0.5,0.9285714285714286,0.8392857142857143,4.75,0.40625,False
exclude_medical,facility_subspace,medical:5,28,28,4,7,1,0.2857142857142857,0.42857142857142855,0.002859347081785057,0.11210131482776388,0.0023221590689250387,0.5,0.32142857142857145,0.6011904761904762,5.0,0.375,False
exclude_medical,full_merged_rank,medical:5,28,28,4,7,1,0.8928571428571429,0.7976190476190476,0.0008496818648327084,0.034512476280507326,-0.0005580357142857143,0.5,0.8928571428571429,0.8035714285714286,4.0,0.5,False
exclude_medical,kcenter_subspace,medical:5,28,28,4,7,1,0.6428571428571429,0.4642857142857143,0.001531811732657076,0.07551156269597326,0.0018408494336264558,0.5,0.6428571428571429,0.5178571428571429,5.0,0.375,False
exclude_medical,pool_vendi_subspace,medical:5,28,28,4,7,1,0.6428571428571429,0.4642857142857143,0.001531811732657076,0.07551156269597326,0.0018408494336264558,0.5,0.6428571428571429,0.5178571428571429,5.0,0.375,False
exclude_medical,random,medical:5,2800,28,4,7,1,0.5092857142857142,0.5001190476190476,0.002437501982264797,0.09463948160417605,0.0016937708024467755,0.5,0.5535714285714286,0.6023214285714286,4.570357142857143,0.4287053571428571,False
exclude_medical,rank_only,medical:5,28,28,4,7,1,0.8928571428571429,0.7976190476190476,0.0008496818648327084,0.034512476280507326,-0.0005580357142857143,0.5,0.8928571428571429,0.8035714285714286,4.0,0.5,False
exclude_rendered_text,dpp_subspace,rendered_text:10,28,28,4,7,1,0.8571428571428571,0.8214285714285714,0.00015649033054080226,0.013765775890365083,-0.0002080849238804456,0.5,0.8571428571428571,0.8630952380952381,8.5,0.46875,False
exclude_rendered_text,facility_subspace,rendered_text:10,28,28,4,7,1,0.32142857142857145,0.4880952380952381,0.0026173826497299995,0.1176698326822155,0.0025296109063284683,0.5,0.35714285714285715,0.5833333333333333,10.0,0.375,False
exclude_rendered_text,full_merged_rank,rendered_text:10,28,28,4,7,1,0.8928571428571429,0.8452380952380952,7.343135463858912e-05,0.008389666582290482,0.00031580754688807577,0.5,0.8928571428571429,0.8630952380952381,8.25,0.484375,False
exclude_rendered_text,kcenter_subspace,rendered_text:10,28,28,4,7,1,0.7857142857142857,0.5238095238095238,0.00023735091522527778,0.012325230614866923,0.0006662262337548389,0.5,0.8214285714285714,0.613095238095238,9.75,0.390625,False
exclude_rendered_text,pool_vendi_subspace,rendered_text:10,28,28,4,7,1,0.8214285714285714,0.5714285714285714,0.0004142766099625201,0.017038380325807272,0.000640267559460234,0.5,0.8571428571428571,0.619047619047619,9.75,0.390625,False
exclude_rendered_text,random,rendered_text:10,2800,28,4,7,1,0.4953571428571429,0.496547619047619,0.002233843951640904,0.09815278810667612,0.002396610647439954,0.5,0.535,0.6121428571428571,8.908214285714285,0.4432366071428571,False
exclude_rendered_text,rank_only,rendered_text:10,28,28,4,7,1,0.8571428571428571,0.7857142857142857,0.00015172169774203232,0.012576851132386048,3.6789689745218646e-05,0.5,0.8571428571428571,0.7976190476190476,7.25,0.546875,False
all_lodo,dpp_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,112,112,4,7,4,0.7678571428571429,0.7321428571428571,0.0007550289987961131,0.03210874339088698,-0.00032801468457494535,0.5073529411764706,0.8303571428571429,0.8348214285714286,6.75,0.4632554945054945,False
all_lodo,facility_subspace,digits_characters:8|general_vision:8|medical:5|rendered_text:10,112,112,4,7,4,0.41964285714285715,0.5,0.002138868840633612,0.08527417259047151,0.0021019385329314614,0.5073529411764706,0.4732142857142857,0.6458333333333333,7.75,0.3907967032967033,False
