scope,readout,metric,shortlist_size,method,domain_count,repeated_task_count,evaluated_candidates_mean,validation_loss_mean,test_loss_mean,delta_vs_mmd_mean,delta_vs_matched_mmd_mean,gap_to_full_validation_mean,recall_at_top_q_mean,fractional_recall_at_top_q_mean,absolute_omission_mean,better_than_mmd_tasks,better_than_mmd_rate,worse_than_mmd_tasks,worse_than_mmd_rate,better_than_matched_mmd_tasks,better_than_matched_mmd_rate,worse_than_matched_mmd_tasks,worse_than_matched_mmd_rate,selected_changed_from_mmd_tasks,selected_changed_from_mmd_rate,selected_outside_mmd_tasks,selected_outside_mmd_rate,selected_from_a_only_tasks,selected_from_a_only_rate,any_test_oracle_retained_tasks,any_test_oracle_retained_rate,delta_vs_mmd_domains_better,delta_vs_mmd_domains_worse,delta_vs_matched_mmd_domains_better,delta_vs_matched_mmd_domains_worse
base_seed_control,logistic,brier_score,10,a_opt,6,12,10.0,0.864762261299927,0.8670489387389705,-0.0003331102827718683,0.002086823977697901,0.003291825671839036,0.26666666666666666,0.26666666666666666,0.003938414023348121,3,0.25,5,0.4166666666666667,2,0.16666666666666666,7,0.5833333333333334,8,0.6666666666666666,5,0.4166666666666667,5,0.4166666666666667,4,0.3333333333333333,2,2,0,5
base_seed_control,logistic,brier_score,10,interleave_a_first,6,12,10.0,0.8652467321583989,0.8673137949231232,-6.825409861905644e-05,0.002351680161850713,0.003556681855991848,0.26666666666666666,0.26666666666666666,0.004245260356419413,3,0.25,2,0.16666666666666666,1,0.08333333333333333,6,0.5,5,0.4166666666666667,3,0.25,3,0.25,4,0.3333333333333333,2,1,1,4
base_seed_control,logistic,brier_score,10,interleave_mmd_first,6,12,10.0,0.8652467321583989,0.8673137949231232,-6.825409861905644e-05,0.002351680161850713,0.003556681855991848,0.26666666666666666,0.26666666666666666,0.004245260356419413,3,0.25,2,0.16666666666666666,1,0.08333333333333333,6,0.5,5,0.4166666666666667,3,0.25,3,0.25,4,0.3333333333333333,2,1,1,4
base_seed_control,logistic,brier_score,10,mmd,6,12,10.0,0.8652492019042336,0.8673820490217423,0.0,0.0024199342604697693,0.003624935954610905,0.2833333333333333,0.2833333333333333,0.0038697542304059565,0,0.0,0,0.0,0,0.0,6,0.5,0,0.0,0,0.0,0,0.0,4,0.3333333333333333,0,0,0,4
base_seed_control,logistic,brier_score,10,mmd_2s_then_a,6,12,10.0,0.8641281116974991,0.8659416715020333,-0.0014403775197090833,0.000979556740760686,0.0021845584349018212,0.27499999999999997,0.27499999999999997,0.002830589217909333,6,0.5,1,0.08333333333333333,1,0.08333333333333333,2,0.16666666666666666,7,0.5833333333333334,5,0.4166666666666667,0,0.0,5,0.4166666666666667,4,1,1,2
base_seed_control,logistic,brier_score,10,mmd_matched_union_size,6,12,16.666666666666668,0.863100692181841,0.8649621147612726,-0.0024199342604697693,0.0,0.0012050016941411352,0.40833333333333327,0.40833333333333327,0.0013753141060219576,6,0.5,0,0.0,0,0.0,0,0.0,6,0.5,6,0.5,0,0.0,8,0.6666666666666666,4,0,0,0
base_seed_control,logistic,brier_score,10,union,6,12,16.666666666666668,0.8632145520033628,0.8652027859111203,-0.0021792631106218687,0.00024067114984790047,0.0014456728439890358,0.38333333333333336,0.38333333333333336,0.0017594248786097961,3,0.25,0,0.0,2,0.16666666666666666,5,0.4166666666666667,3,0.25,3,0.25,3,0.25,5,0.4166666666666667,3,0,2,3
base_seed_control,logistic,brier_score,25,a_opt,6,12,25.0,0.8632145693262051,0.8650840701469242,0.0003677947343365036,0.0007858251792309904,0.001326957079792875,0.4583333333333333,0.4583333333333333,0.0019774000613414964,3,0.25,5,0.4166666666666667,2,0.16666666666666666,6,0.5,8,0.6666666666666666,7,0.5833333333333334,7,0.5833333333333334,5,0.4166666666666667,1,3,0,4
base_seed_control,logistic,brier_score,25,interleave_a_first,6,12,25.0,0.8628611131859741,0.8646874867096321,-2.8788702955695467e-05,0.0003892417419387913,0.0009303736425006759,0.48333333333333334,0.48333333333333334,0.001347447571383359,2,0.16666666666666666,3,0.25,3,0.25,3,0.25,5,0.4166666666666667,3,0.25,3,0.25,7,0.5833333333333334,2,2,2,2
base_seed_control,logistic,brier_score,25,interleave_mmd_first,6,12,25.0,0.8628611131859741,0.8646874867096321,-2.8788702955695467e-05,0.0003892417419387913,0.0009303736425006759,0.48333333333333334,0.48333333333333334,0.001347447571383359,2,0.16666666666666666,3,0.25,3,0.25,3,0.25,5,0.4166666666666667,3,0.25,3,0.25,7,0.5833333333333334,2,2,2,2
base_seed_control,logistic,brier_score,25,mmd,6,12,25.0,0.8628018430711477,0.8647162754125878,0.0,0.00041803044489448676,0.0009591623454563714,0.525,0.525,0.0011294747573371937,0,0.0,0,0.0,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0,0.0,0,0.0,9,0.75,0,0,1,1
base_seed_control,logistic,brier_score,25,mmd_2s_then_a,6,12,25.0,0.8627003080084815,0.8639273400474848,-0.000788935365102957,-0.0003709049202084702,0.00017022698035341435,0.47500000000000003,0.47500000000000003,0.0008969289392216084,3,0.25,3,0.25,2,0.16666666666666666,3,0.25,6,0.5,4,0.3333333333333333,2,0.16666666666666666,6,0.5,3,1,2,2
base_seed_control,logistic,brier_score,25,mmd_matched_union_size,6,12,38.5,0.862289524911022,0.8642982449676934,-0.00041803044489448676,0.0,0.0005411319005618845,0.6583333333333333,0.6583333333333333,0.00043454557952491796,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0,0.0,2,0.16666666666666666,2,0.16666666666666666,0,0.0,10,0.8333333333333334,1,1,0,0
base_seed_control,logistic,brier_score,25,union,6,12,38.5,0.8619746252648652,0.8636006730958011,-0.0011156023167866551,-0.0006975718718921683,-0.00015643997133028367,0.7000000000000001,0.7000000000000001,0.0001464659898883595,3,0.25,0,0.0,3,0.25,1,0.08333333333333333,3,0.25,3,0.25,3,0.25,10,0.8333333333333334,3,0,2,1
base_seed_control,logistic,brier_score,50,a_opt,6,12,50.0,0.8620793998642416,0.8641040157672383,0.0001531580232783288,0.00025794728429072894,0.00034690270010684365,0.6333333333333333,0.6333333333333333,0.0003870780717673272,2,0.16666666666666666,2,0.16666666666666666,1,0.08333333333333333,2,0.16666666666666666,4,0.3333333333333333,3,0.25,3,0.25,8,0.6666666666666666,2,1,1,1
