scope,readout,metric,shortlist_size,domain_count,repeated_task_count,overlap_count_mean,union_size_mean,jaccard_mean,mmd_missed_top_q_mean,a_missed_top_q_mean,a_rescued_top_q_mean,mmd_rescued_top_q_mean,a_rescued_fractional_top_q_mean,mmd_rescued_fractional_top_q_mean,omission_reduction_from_union_mean,a_only_better_than_mmd_choice_mean,top_q_boundary_ties_mean,has_a_rescue_tasks,has_a_rescue_rate,has_mmd_rescue_tasks,has_mmd_rescue_rate,a_rescues_any_oracle_tasks,a_rescues_any_oracle_rate,mmd_rescues_any_oracle_tasks,mmd_rescues_any_oracle_rate,union_selects_a_only_tasks,union_selects_a_only_rate,union_better_than_mmd_tasks,union_better_than_mmd_rate,union_worse_than_mmd_tasks,union_worse_than_mmd_rate,union_better_than_matched_mmd_tasks,union_better_than_matched_mmd_rate,union_worse_than_matched_mmd_tasks,union_worse_than_matched_mmd_rate,a_rescue_reaches_final_improvement_tasks,a_rescue_reaches_final_improvement_rate
base_seed_control,logistic,brier_score,10,6,12,3.3333333333333335,16.666666666666668,0.26436672489304064,7.166666666666667,7.333333333333333,1.0,1.1666666666666667,1.0,1.1666666666666667,0.0021103293517961605,0.6666666666666666,1.0,6,0.5,8,0.6666666666666666,1,0.08333333333333333,1,0.08333333333333333,3,0.25,3,0.25,0,0.0,2,0.16666666666666666,5,0.4166666666666667,3,0.25
base_seed_control,logistic,brier_score,25,6,12,11.5,38.5,0.33567343256227544,4.75,5.416666666666667,1.75,2.4166666666666665,1.75,2.4166666666666665,0.0009830087674488341,0.5,1.0,10,0.8333333333333334,10,0.8333333333333334,1,0.08333333333333333,5,0.4166666666666667,3,0.25,3,0.25,0,0.0,3,0.25,1,0.08333333333333333,3,0.25
base_seed_control,logistic,brier_score,50,6,12,29.916666666666668,70.08333333333333,0.4539002158186203,2.5833333333333335,3.6666666666666665,1.25,2.3333333333333335,1.25,2.3333333333333335,0.00019374467682851484,0.4166666666666667,1.0,7,0.5833333333333334,7,0.5833333333333334,1,0.08333333333333333,3,0.25,2,0.16666666666666666,2,0.16666666666666666,0,0.0,1,0.08333333333333333,0,0.0,2,0.16666666666666666
base_seed_control,logistic,brier_score,100,6,12,74.66666666666667,125.33333333333333,0.6062072524573452,1.1666666666666667,1.5,0.9166666666666666,1.25,0.9166666666666666,1.25,1.1555598767744776e-05,0.25,1.0,4,0.3333333333333333,5,0.4166666666666667,1,0.08333333333333333,2,0.16666666666666666,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0,0.0,0,0.0,1,0.08333333333333333
base_seed_control,logistic,brier_score,227,6,12,204.41666666666666,249.58333333333334,0.8312517530670545,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.0,1.0,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,error_rate,10,6,12,3.3333333333333335,16.666666666666668,0.26436672489304064,8.666666666666666,8.166666666666666,1.1666666666666667,0.6666666666666666,1.1666666666666667,0.7222222222222222,0.0103759765625,1.3333333333333333,1.4166666666666667,7,0.5833333333333334,4,0.3333333333333333,3,0.25,0,0.0,5,0.4166666666666667,4,0.3333333333333333,1,0.08333333333333333,4,0.3333333333333333,3,0.25,4,0.3333333333333333
base_seed_control,logistic,error_rate,25,6,12,11.5,38.5,0.33567343256227544,6.75,6.5,1.5833333333333333,1.3333333333333333,1.5833333333333333,1.2916666666666667,0.0062255859375,1.0,1.4166666666666667,8,0.6666666666666666,7,0.5833333333333334,4,0.3333333333333333,0,0.0,5,0.4166666666666667,5,0.4166666666666667,0,0.0,5,0.4166666666666667,0,0.0,5,0.4166666666666667
base_seed_control,logistic,error_rate,50,6,12,29.916666666666668,70.08333333333333,0.4539002158186203,4.583333333333333,4.25,1.75,1.4166666666666667,1.7222222222222223,1.4166666666666667,0.003946940104166667,1.6666666666666667,1.4166666666666667,10,0.8333333333333334,8,0.6666666666666666,5,0.4166666666666667,0,0.0,7,0.5833333333333334,6,0.5,1,0.08333333333333333,2,0.16666666666666666,2,0.16666666666666666,6,0.5
base_seed_control,logistic,error_rate,100,6,12,74.66666666666667,125.33333333333333,0.6062072524573452,2.1666666666666665,2.1666666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7083333333333334,4.0690104166666664e-05,2.0,1.4166666666666667,3,0.25,5,0.4166666666666667,1,0.08333333333333333,0,0.0,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0,0.0,0,0.0,1,0.08333333333333333
base_seed_control,logistic,error_rate,227,6,12,204.41666666666666,249.58333333333334,0.8312517530670545,0.75,0.5,0.25,0.0,0.25,0.0,0.0,1.1666666666666667,1.4166666666666667,2,0.16666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,logistic,nll,10,6,12,3.3333333333333335,16.666666666666668,0.26436672489304064,7.75,7.583333333333333,1.0833333333333333,0.9166666666666666,1.0833333333333333,0.9166666666666666,0.010777513944272066,0.5833333333333334,1.0,8,0.6666666666666666,7,0.5833333333333334,2,0.16666666666666666,2,0.16666666666666666,5,0.4166666666666667,4,0.3333333333333333,1,0.08333333333333333,2,0.16666666666666666,3,0.25,4,0.3333333333333333
base_seed_control,logistic,nll,25,6,12,11.5,38.5,0.33567343256227544,5.833333333333333,5.583333333333333,1.75,1.5,1.75,1.5,0.004185606698531112,0.3333333333333333,1.0,9,0.75,9,0.75,3,0.25,4,0.3333333333333333,5,0.4166666666666667,3,0.25,2,0.16666666666666666,2,0.16666666666666666,1,0.08333333333333333,3,0.25
base_seed_control,logistic,nll,50,6,12,29.916666666666668,70.08333333333333,0.4539002158186203,3.75,3.6666666666666665,1.6666666666666667,1.5833333333333333,1.6666666666666667,1.5833333333333333,0.004888888537277425,0.25,1.0,7,0.5833333333333334,6,0.5,3,0.25,3,0.25,3,0.25,2,0.16666666666666666,1,0.08333333333333333,1,0.08333333333333333,1,0.08333333333333333,2,0.16666666666666666
base_seed_control,logistic,nll,100,6,12,74.66666666666667,125.33333333333333,0.6062072524573452,1.5833333333333333,2.0833333333333335,0.5833333333333334,1.0833333333333333,0.5833333333333334,1.0833333333333333,0.0009781606690638285,0.08333333333333333,1.0,3,0.25,5,0.4166666666666667,1,0.08333333333333333,1,0.08333333333333333,2,0.16666666666666666,1,0.08333333333333333,1,0.08333333333333333,1,0.08333333333333333,0,0.0,1,0.08333333333333333
base_seed_control,logistic,nll,227,6,12,204.41666666666666,249.58333333333334,0.8312517530670545,0.25,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.0,1.0,1,0.08333333333333333,2,0.16666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,ridge,brier_score,10,6,12,3.3333333333333335,16.666666666666668,0.26436672489304064,7.25,7.583333333333333,0.9166666666666666,1.25,0.9166666666666666,1.25,1.6882017995304793e-05,0.3333333333333333,1.0,6,0.5,9,0.75,0,0.0,4,0.3333333333333333,3,0.25,2,0.16666666666666666,1,0.08333333333333333,3,0.25,2,0.16666666666666666,2,0.16666666666666666
base_seed_control,ridge,brier_score,25,6,12,11.5,38.5,0.33567343256227544,5.333333333333333,5.5,1.8333333333333333,2.0,1.8333333333333333,2.0,1.5518281695714453e-05,0.4166666666666667,1.0,10,0.8333333333333334,9,0.75,1,0.08333333333333333,4,0.3333333333333333,2,0.16666666666666666,2,0.16666666666666666,0,0.0,3,0.25,0,0.0,2,0.16666666666666666
base_seed_control,ridge,brier_score,50,6,12,29.916666666666668,70.08333333333333,0.4539002158186203,2.9166666666666665,3.6666666666666665,1.1666666666666667,1.9166666666666667,1.1666666666666667,1.9166666666666667,1.207250800476049e-06,0.25,1.0,4,0.3333333333333333,8,0.6666666666666666,1,0.08333333333333333,3,0.25,2,0.16666666666666666,2,0.16666666666666666,0,0.0,2,0.16666666666666666,0,0.0,2,0.16666666666666666
base_seed_control,ridge,brier_score,100,6,12,74.66666666666667,125.33333333333333,0.6062072524573452,1.3333333333333333,2.0,0.75,1.4166666666666667,0.75,1.4166666666666667,0.0,0.16666666666666666,1.0,3,0.25,6,0.5,0,0.0,2,0.16666666666666666,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0,0.0,0,0.0,1,0.08333333333333333
base_seed_control,ridge,brier_score,227,6,12,204.41666666666666,249.58333333333334,0.8312517530670545,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base_seed_control,ridge,error_rate,10,6,12,3.3333333333333335,16.666666666666668,0.26436672489304064,8.416666666666666,8.416666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.008382161458333334,1.5,1.8333333333333333,5,0.4166666666666667,5,0.4166666666666667,3,0.25,0,0.0,6,0.5,5,0.4166666666666667,1,0.08333333333333333,5,0.4166666666666667,2,0.16666666666666666,4,0.3333333333333333
base_seed_control,ridge,error_rate,25,6,12,11.5,38.5,0.33567343256227544,6.75,7.083333333333333,1.0833333333333333,1.4166666666666667,1.0833333333333333,1.4166666666666667,0.004923502604166667,1.5,1.8333333333333333,7,0.5833333333333334,9,0.75,3,0.25,1,0.08333333333333333,5,0.4166666666666667,4,0.3333333333333333,1,0.08333333333333333,3,0.25,1,0.08333333333333333,2,0.16666666666666666
