encoder,target,shortlist_size,oracle_source_family,dpp_best_candidate_recall,rank_best_candidate_recall,dpp_validation_regret,rank_validation_regret,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,dpp_minus_rank_test_regret,shortlist_jaccard,dpp_best_candidate_family_recall,rank_best_candidate_family_recall,dpp_minus_rank_best_family_recall
clip_b32,beans,3,cifar10,0.0,0.0,0.005093484060138542,0.005093484060138542,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
clip_b32,beans,5,cifar10,1.0,0.0,0.0,0.005093484060138542,1.0,0.0,-0.005093484060138542,-0.20519460553968547,-0.012500000000000067,0.6666666666666666,1.0,0.0,1.0
clip_b32,beans,8,cifar10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
clip_b32,dtd,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
clip_b32,dtd,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
clip_b32,dtd,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
clip_b32,eurosat,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
clip_b32,eurosat,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
clip_b32,eurosat,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
clip_b32,flowers102,3,cifar100_shared_images,0.0,0.0,0.004052288532257031,0.004052288532257031,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
clip_b32,flowers102,5,cifar100_shared_images,0.0,1.0,0.004052288532257031,0.0,-1.0,-0.33333333333333337,0.004052288532257031,0.07740326548164214,-0.0007600307464599165,0.6666666666666666,1.0,1.0,0.0
clip_b32,flowers102,8,cifar100_shared_images,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
clip_b32,food101,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
clip_b32,food101,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
clip_b32,food101,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
clip_b32,gtsrb,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
clip_b32,gtsrb,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
clip_b32,gtsrb,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
clip_b32,oxford_pets,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
clip_b32,oxford_pets,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
clip_b32,oxford_pets,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
dinov2_b14,beans,3,organmnist_views,0.0,0.0,0.00038685071168598206,0.0018052868386533305,0.0,0.3333333333333333,-0.0014184361269673484,-0.17741882383973273,-0.015625,0.5,0.0,0.0,0.0
dinov2_b14,beans,5,organmnist_views,0.0,0.0,0.00038685071168598206,0.00038685071168598206,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0
dinov2_b14,beans,8,organmnist_views,0.0,1.0,0.00038685071168598206,0.0,-1.0,-0.33333333333333337,0.00038685071168598206,0.048387514223592824,-0.009375000000000022,0.7777777777777778,1.0,1.0,0.0
dinov2_b14,dtd,3,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0
dinov2_b14,dtd,5,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
dinov2_b14,dtd,8,tiny_imagenet,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
