method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
dpp_subspace,3,beans,4,0.25,0.25,0.006318503541380693,0.21598004422368872,-0.008593749999999983,0.8235294117647058,0.25,0.25,3.0,0.7857142857142857
dpp_subspace,3,dtd,4,0.75,0.5833333333333333,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.8235294117647058,1.0,0.8333333333333333,3.0,0.7857142857142857
dpp_subspace,3,eurosat,4,0.5,0.41666666666666663,0.0003400028540691269,0.026631613353413804,0.000333333015441889,0.8235294117647058,0.5,0.5833333333333333,3.0,0.7857142857142857
dpp_subspace,3,flowers102,4,0.5,0.5833333333333333,0.0012581680218378688,0.0479766665893136,-0.0002500087022781483,0.8235294117647058,0.5,0.75,3.0,0.7857142857142857
dpp_subspace,3,food101,4,0.75,0.5,0.00010333350102109673,0.0029467724918582046,0.00037999749183655063,0.8235294117647058,1.0,0.7916666666666666,3.0,0.7857142857142857
dpp_subspace,3,gtsrb,4,1.0,0.41666666666666663,0.0,0.0,0.0,0.8235294117647058,1.0,0.5833333333333333,3.0,0.7857142857142857
dpp_subspace,3,oxford_pets,4,1.0,0.5,0.0,0.0,0.0,0.8235294117647058,1.0,0.75,3.0,0.7857142857142857
dpp_subspace,5,beans,4,0.5,0.5,0.004110251852268515,0.13585434947219077,-0.00390625,0.7058823529411764,0.75,0.6666666666666666,5.0,0.6428571428571428
dpp_subspace,5,dtd,4,0.75,0.6666666666666666,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.7058823529411764,1.0,1.0,5.0,0.6428571428571428
dpp_subspace,5,eurosat,4,0.5,0.41666666666666663,0.0003400028540691269,0.026631613353413804,0.000333333015441889,0.7058823529411764,0.5,0.6666666666666666,5.0,0.6428571428571428
dpp_subspace,5,flowers102,4,0.75,0.6666666666666666,0.0010130721330642578,0.019350816370410535,-0.00019000768661497913,0.7058823529411764,1.0,0.9166666666666666,5.0,0.6428571428571428
dpp_subspace,5,food101,4,0.75,0.6666666666666666,0.00010333350102109673,0.0029467724918582046,0.00037999749183655063,0.7058823529411764,1.0,1.0,5.0,0.6428571428571428
