encoder,method,budget,configurations,merged_reff_mean,merged_reff_std,unique_lineages_mean,lineage_duplicate_count_mean,unique_datasets_mean,selected_alias_parent_pairs_mean,max_selected_sample_overlap_mean,selection_seconds_for_max_budget_mean,metric_seconds_mean
clip_b32,agglomerative_subspace,3,18,239.67298518128007,1.2765818478068587,2.888888888888889,0.1111111111111111,1.0,0.2222222222222222,0.011111111111111112,0.05859970053037008,0.042910023178491324
clip_b32,agglomerative_subspace,5,18,257.96907614361743,1.1124883928356257,4.888888888888889,0.1111111111111111,1.7777777777777777,0.2777777777777778,0.011111111111111112,0.05859970053037008,0.039183710908724204
clip_b32,agglomerative_subspace,8,18,283.3709491018659,1.537736806765294,7.888888888888889,0.1111111111111111,3.0,0.2777777777777778,0.011111111111111112,0.05859970053037008,0.04342056872944037
clip_b32,agglomerative_subspace,10,18,280.65480118818715,1.533827172107317,9.88888888888889,0.1111111111111111,5.0,0.2777777777777778,0.011111111111111112,0.05859970053037008,0.04820327926427126
clip_b32,collapse_sketch,3,18,241.98199050425168,10.249700600647914,2.5,0.5,1.0,0.5555555555555556,0.31133333333333335,0.19246015997810495,0.04269487824704912
clip_b32,collapse_sketch,5,18,262.6211879007822,2.989062496410793,4.166666666666667,0.8333333333333334,1.0,1.0,0.43333333333333335,0.19246015997810495,0.03906295427845584
clip_b32,collapse_sketch,8,18,282.654565338108,1.3231132168647455,7.166666666666667,0.8333333333333334,3.0,1.0,0.43333333333333335,0.19246015997810495,0.043651447631418705
clip_b32,collapse_sketch,10,18,286.90976942212524,0.9252432973018208,9.166666666666666,0.8333333333333334,3.0,1.0555555555555556,0.43333333333333335,0.19246015997810495,0.04850467749767833
clip_b32,dpp_subspace,3,18,257.95717944877856,0.7170742291077739,3.0,0.0,3.0,0.0,0.0,0.008506407340367636,0.04300385444528527
clip_b32,dpp_subspace,5,18,276.64956272745917,0.5782115682936736,5.0,0.0,3.0,0.0,0.0,0.008506407340367636,0.03907158370647165
clip_b32,dpp_subspace,8,18,285.11492662465537,0.5286143635875225,7.944444444444445,0.05555555555555555,3.0,0.16666666666666666,0.005555555555555556,0.008506407340367636,0.04374921528829469
clip_b32,dpp_subspace,10,18,287.25151639862435,0.34285551217848204,9.88888888888889,0.1111111111111111,3.0,0.3333333333333333,0.011111111111111112,0.008506407340367636,0.04860691829688019
clip_b32,exact_merged_rank_greedy,3,18,259.596415215879,0.47548368535783553,3.0,0.0,2.0,0.0,0.0,7.106613511426581,0.04294213145557377
clip_b32,exact_merged_rank_greedy,5,18,277.2356523328968,0.48081925034838424,5.0,0.0,3.0,0.0,0.0,7.106613511426581,0.0388228375878599
clip_b32,exact_merged_rank_greedy,8,18,285.75588530779277,0.3426942544106705,7.944444444444445,0.05555555555555555,3.0,0.16666666666666666,0.005555555555555556,7.106613511426581,0.04330709162685606
clip_b32,exact_merged_rank_greedy,10,18,287.66799505212333,0.5093946318762833,9.722222222222221,0.2777777777777778,3.0,0.5,0.044222222222222225,7.106613511426581,0.04792860781566964
clip_b32,facility_subspace,3,18,203.82915112338893,1.2426442795138224,3.0,0.0,3.0,0.0,0.0,0.0016195947925249736,0.04295693006780413
clip_b32,facility_subspace,5,18,254.66055211602645,0.9037308321419794,5.0,0.0,5.0,0.0,0.0,0.0016195947925249736,0.03874948848452833
clip_b32,facility_subspace,8,18,273.091432950127,2.545049613649965,8.0,0.0,5.0,0.1111111111111111,0.0,0.0016195947925249736,0.04303030907693836
