encoder,primary_method,configurations,selected_interval_coverage_rate,selected_absolute_log_error_mean,selected_absolute_log_error_max,selected_log_error_bound_mean,selected_log_error_bound_min,selected_log_error_bound_max,max_budget,max_budget_runs,certified_steps_total,evaluated_steps_total,all_steps_certified_run_rate,exact_greedy_prefix_match_rate
clip_b32,rank_l_gram,72,1.0,1.5789061095966508,2.025971631044795,4.604116948667277,4.443024143747133,4.846756827898653,10,18,0,180,0.0,0.0
dinov2_b14,rank_l_gram,72,1.0,1.8100342360275765,2.251326181841571,5.691018392827819,5.454725530065508,5.834485919333162,10,18,0,180,0.0,0.0
resnet50,rank_l_gram,72,1.0,2.3094191139131603,2.3841719460951314,6.151314989516968,5.496217414701986,6.593946904860443,10,18,0,180,0.0,0.0
vit_b16,rank_l_gram,72,1.0,1.8087965372512318,2.2594289654964137,5.568895294374601,5.400834408246877,5.71842058389283,10,18,0,180,0.0,0.0
