encoder,primary_method,overlap,budget,seeds,primary_minus_rank_mean,primary_minus_rank_std,primary_win_count,primary_tie_count,primary_loss_count,primary_win_rate,dpp_minus_rank_mean,dpp_minus_rank_std,dpp_win_count,dpp_tie_count,dpp_loss_count,dpp_win_rate
clip_b32,rank_l_gram,0.0,3,3,5.552304301085741,0.9424932831614052,3,0,0,1.0,7.768509933526417,0.7358508367440654,3,0,0,1.0
clip_b32,rank_l_gram,0.0,5,3,0.6983085077625333,0.8316067017425479,2,0,1,0.6666666666666666,10.58389033202377,0.16106001505103779,3,0,0,1.0
clip_b32,rank_l_gram,0.0,8,3,-6.522970989531776,0.15946707822960765,0,0,3,0.0,1.3031878176438074,0.5786488662612786,3,0,0,1.0
clip_b32,rank_l_gram,0.0,10,3,-4.68217177654185,0.2515790400050936,0,0,3,0.0,0.9700898426526313,0.671323992508369,3,0,0,1.0
clip_b32,rank_l_gram,0.1,3,3,6.621605368719419,0.8969763405425425,3,0,0,1.0,8.42535548799708,1.5985580736527565,3,0,0,1.0
clip_b32,rank_l_gram,0.1,5,3,1.6313271674376704,0.9850789950437726,3,0,0,1.0,11.294475602832316,0.19844518084317575,3,0,0,1.0
clip_b32,rank_l_gram,0.1,8,3,-6.212625006167627,0.2688144785157403,0,0,3,0.0,1.4787834289718564,0.5275435880727415,3,0,0,1.0
clip_b32,rank_l_gram,0.1,10,3,-4.076582326479676,0.6887676621149132,0,0,3,0.0,1.1156575885721811,0.28350105244200224,3,0,0,1.0
clip_b32,rank_l_gram,0.25,3,3,7.783847846911253,2.088936416938248,3,0,0,1.0,9.509001480702759,3.3964856145052402,3,0,0,1.0
clip_b32,rank_l_gram,0.25,5,3,3.033065669822008,0.7410175460263368,3,0,0,1.0,12.960755285754544,0.08751634979093759,3,0,0,1.0
clip_b32,rank_l_gram,0.25,8,3,-5.655800802693553,0.048762101988292714,0,0,3,0.0,1.4647994422459572,0.8553787520287581,3,0,0,1.0
clip_b32,rank_l_gram,0.25,10,3,-3.5441075785325893,0.3585276419661823,0,0,3,0.0,1.6515548070124926,0.33827763635594543,3,0,0,1.0
clip_b32,rank_l_gram,0.5,3,3,13.508066908725311,5.850793265526398,3,0,0,1.0,15.560698440664368,6.34026551869691,3,0,0,1.0
clip_b32,rank_l_gram,0.5,5,3,4.812471878289235,0.29308163049394226,3,0,0,1.0,14.4723748908512,0.3425023535699029,3,0,0,1.0
clip_b32,rank_l_gram,0.5,8,3,-4.984143695146277,0.1670259755370894,0,0,3,0.0,2.6736957815600895,0.6115927020730855,3,0,0,1.0
clip_b32,rank_l_gram,0.5,10,3,-2.0289121932421303,0.666326258594995,0,0,3,0.0,2.745109983222619,0.30428973943577525,3,0,0,1.0
clip_b32,rank_l_gram,0.75,3,3,18.453457235060995,10.155682803707638,3,0,0,1.0,20.154903129678615,11.102840176703884,3,0,0,1.0
clip_b32,rank_l_gram,0.75,5,3,7.078311725212511,0.35127949826186483,3,0,0,1.0,16.15400703603215,0.37825813779638084,3,0,0,1.0
clip_b32,rank_l_gram,0.75,8,3,-4.212098808081843,0.21547883619276376,0,0,3,0.0,3.514781669802725,0.5485823091194523,3,0,0,1.0
clip_b32,rank_l_gram,0.75,10,3,-0.9933904422882733,0.5684941408960894,0,0,3,0.0,3.6228344145281617,0.3269795019617803,3,0,0,1.0
clip_b32,rank_l_gram,1.0,3,3,25.28530742664616,15.343113166290669,3,0,0,1.0,27.089057545923822,16.329013151541634,3,0,0,1.0
clip_b32,rank_l_gram,1.0,5,3,9.3264988637171,0.26160826532762527,3,0,0,1.0,18.70474581231311,0.23843684881768468,3,0,0,1.0
clip_b32,rank_l_gram,1.0,8,3,-3.2339796347346237,0.2420160446369872,0,0,3,0.0,3.9370107568081116,0.46425751095307566,3,0,0,1.0
clip_b32,rank_l_gram,1.0,10,3,0.042957849742644307,0.5611643399651874,1,0,2,0.3333333333333333,4.7509224955477976,0.35925201039562776,3,0,0,1.0
dinov2_b14,rank_l_gram,0.0,3,3,5.608094805610411,2.8584145207141796,3,0,0,1.0,8.831508159226436,2.142470956537372,3,0,0,1.0
dinov2_b14,rank_l_gram,0.0,5,3,14.24495093262567,1.4897062473648293,3,0,0,1.0,16.097289772161275,0.6689736571885798,3,0,0,1.0
dinov2_b14,rank_l_gram,0.0,8,3,9.823271341993935,0.40169557967713704,3,0,0,1.0,10.206680266436061,0.10557540254559186,3,0,0,1.0
dinov2_b14,rank_l_gram,0.0,10,3,8.05080254336167,0.7369153242851975,3,0,0,1.0,13.57950018567893,0.3907695514128978,3,0,0,1.0
dinov2_b14,rank_l_gram,0.1,3,3,9.903561034350446,5.1467726175609405,3,0,0,1.0,12.656343208471943,7.141480063624798,3,0,0,1.0
dinov2_b14,rank_l_gram,0.1,5,3,16.82795486135281,1.4161303304123314,3,0,0,1.0,17.650274918172272,1.7537298349981256,3,0,0,1.0
dinov2_b14,rank_l_gram,0.1,8,3,9.837204443102868,0.525917583151199,3,0,0,1.0,10.208599612408534,0.19279931214317783,3,0,0,1.0
dinov2_b14,rank_l_gram,0.1,10,3,8.56014559439825,0.7974845543851087,3,0,0,1.0,14.129254272876551,0.35040187497479397,3,0,0,1.0
dinov2_b14,rank_l_gram,0.25,3,3,15.895949322381872,15.26981189178549,3,0,0,1.0,18.69858147979204,17.264808689921598,3,0,0,1.0
dinov2_b14,rank_l_gram,0.25,5,3,20.694651063043768,1.7689311975360216,3,0,0,1.0,22.17100586516517,0.8644654531162996,3,0,0,1.0
dinov2_b14,rank_l_gram,0.25,8,3,7.557231355051234,3.6632088851372004,3,0,0,1.0,10.899868456416092,1.1377501981575948,3,0,0,1.0
dinov2_b14,rank_l_gram,0.25,10,3,4.238171391260797,1.1543139408119953,3,0,0,1.0,14.825970727077637,0.36275379776039934,3,0,0,1.0
dinov2_b14,rank_l_gram,0.5,3,3,27.18760757131228,36.157287447907486,3,0,0,1.0,29.4146833692616,36.7713926873117,3,0,0,1.0
dinov2_b14,rank_l_gram,0.5,5,3,27.608240072989663,1.4399395234846208,3,0,0,1.0,28.72037147251687,0.8288200582777838,3,0,0,1.0
dinov2_b14,rank_l_gram,0.5,8,3,10.837398672842482,4.02833931909914,3,0,0,1.0,15.13869994621291,4.759314381561939,3,0,0,1.0
dinov2_b14,rank_l_gram,0.5,10,3,7.377338334779438,0.7216411535193638,3,0,0,1.0,16.32769428686936,0.48175093027666177,3,0,0,1.0
dinov2_b14,rank_l_gram,0.75,3,3,38.017106325792575,55.686266941123236,3,0,0,1.0,41.91673959417263,57.75344399166574,3,0,0,1.0
dinov2_b14,rank_l_gram,0.75,5,3,34.716588308676556,1.3119272646221902,3,0,0,1.0,36.166493755019964,0.6318967212097037,3,0,0,1.0
dinov2_b14,rank_l_gram,0.75,8,3,14.189989363120086,4.384488262554534,3,0,0,1.0,20.231106445128564,3.808743093391711,3,0,0,1.0
dinov2_b14,rank_l_gram,0.75,10,3,10.423058621096743,0.8619149975545853,3,0,0,1.0,17.822016684688453,2.5895193860669523,3,0,0,1.0
dinov2_b14,rank_l_gram,1.0,3,3,51.25634253599088,76.24514371651132,3,0,0,1.0,54.17887423340094,78.7087061667306,3,0,0,1.0
dinov2_b14,rank_l_gram,1.0,5,3,42.40125659905141,1.5482381398688214,3,0,0,1.0,43.898994457554785,0.9967160280260381,3,0,0,1.0
dinov2_b14,rank_l_gram,1.0,8,3,17.658306105506956,4.957512644641403,3,0,0,1.0,23.452442165029804,5.494492282327925,3,0,0,1.0
dinov2_b14,rank_l_gram,1.0,10,3,13.520710952431122,0.8047894897693835,3,0,0,1.0,20.78633286011954,2.87043571545781,3,0,0,1.0
resnet50,rank_l_gram,0.0,3,3,5.575587061002504,4.943248549488442,2,0,1,0.6666666666666666,29.972465603166597,1.403736548473315,3,0,0,1.0
resnet50,rank_l_gram,0.0,5,3,59.56936174599131,4.316164950686634,3,0,0,1.0,67.29021425610604,5.160659342704932,3,0,0,1.0
resnet50,rank_l_gram,0.0,8,3,-26.961694028380027,2.047794145832341,0,0,3,0.0,7.292522918954243,0.7500282484694597,3,0,0,1.0
resnet50,rank_l_gram,0.0,10,3,-24.745396300112816,2.3971567626263663,0,0,3,0.0,0.03983621991127014,1.1784912921918371,2,0,1,0.6666666666666666
resnet50,rank_l_gram,0.1,3,3,15.841053234391438,7.789519888381483,3,0,0,1.0,39.993526216413706,7.387321962072943,3,0,0,1.0
resnet50,rank_l_gram,0.1,5,3,71.28687469399192,4.239527936708136,3,0,0,1.0,79.09234337861501,5.082343196345368,3,0,0,1.0
resnet50,rank_l_gram,0.1,8,3,-20.595152976525622,9.027099631343999,0,0,3,0.0,15.615773585501225,8.173226713681482,3,0,0,1.0
resnet50,rank_l_gram,0.1,10,3,-21.132430084152855,2.1680597461505213,0,0,3,0.0,4.783764758909911,0.4964708728390236,3,0,0,1.0
resnet50,rank_l_gram,0.25,3,3,19.922185221971137,16.836413973368842,3,0,0,1.0,43.46686697259448,21.18307070018582,3,0,0,1.0
resnet50,rank_l_gram,0.25,5,3,89.09413397079648,4.386926338595526,3,0,0,1.0,95.21424492737492,9.121001308755464,3,0,0,1.0
resnet50,rank_l_gram,0.25,8,3,-1.2154520169150753,14.074708204064367,1,0,2,0.3333333333333333,32.80891921407632,13.466915096195713,3,0,0,1.0
resnet50,rank_l_gram,0.25,10,3,-15.838541818139978,0.8624530423663909,0,0,3,0.0,9.509012706625299,1.3990865893968323,3,0,0,1.0
resnet50,rank_l_gram,0.5,3,3,33.230970038594,36.652653029727055,3,0,0,1.0,56.09243412119215,42.98451852331426,3,0,0,1.0
resnet50,rank_l_gram,0.5,5,3,118.48328549060182,7.223283547532828,3,0,0,1.0,126.57855016058856,5.613222839045888,3,0,0,1.0
resnet50,rank_l_gram,0.5,8,3,28.1081524952621,30.015574625198024,3,0,0,1.0,62.209841259368964,28.65188160141445,3,0,0,1.0
resnet50,rank_l_gram,0.5,10,3,14.50532982782253,19.153347908634846,2,0,1,0.6666666666666666,38.95701787195268,14.625113231945065,3,0,0,1.0
resnet50,rank_l_gram,0.75,3,3,82.77042139528822,64.47323291146847,3,0,0,1.0,106.76870187401526,65.26585094600904,3,0,0,1.0
resnet50,rank_l_gram,0.75,5,3,148.25876502515845,6.9082871477260905,3,0,0,1.0,155.98962871119753,5.271439262033407,3,0,0,1.0
resnet50,rank_l_gram,0.75,8,3,59.81649962789762,44.291547900478946,3,0,0,1.0,93.97153557819497,44.95638217205946,3,0,0,1.0
resnet50,rank_l_gram,0.75,10,3,51.03328125091525,3.0281846972351008,3,0,0,1.0,75.48279992187084,1.4252171159132334,3,0,0,1.0
resnet50,rank_l_gram,1.0,3,3,108.40053594007354,86.59068911223187,3,0,0,1.0,131.49357420790747,86.58413546463373,3,0,0,1.0
resnet50,rank_l_gram,1.0,5,3,178.23161253264402,5.974315868045884,3,0,0,1.0,185.85945975886764,5.712779760026328,3,0,0,1.0
resnet50,rank_l_gram,1.0,8,3,91.63678415306542,60.96756166245117,3,0,0,1.0,125.03283397020634,60.197912814133865,3,0,0,1.0
resnet50,rank_l_gram,1.0,10,3,81.38846470527794,2.97856440403619,3,0,0,1.0,105.27742365434877,1.1005161843530105,3,0,0,1.0
vit_b16,rank_l_gram,0.0,3,3,8.915778999191161,16.39320620879087,2,0,1,0.6666666666666666,12.557341304443602,14.743428625987896,3,0,0,1.0
vit_b16,rank_l_gram,0.0,5,3,-4.470351078625185,5.312010056585914,1,0,2,0.3333333333333333,7.626024077035709,5.708874932183955,3,0,0,1.0
vit_b16,rank_l_gram,0.0,8,3,-4.553573402176615,7.209278047602336,0,0,3,0.0,0.11068529825126916,0.9392878598824546,2,0,1,0.6666666666666666
vit_b16,rank_l_gram,0.0,10,3,-7.75105331765648,0.47718768335125034,0,0,3,0.0,0.9695787783436268,0.3773379573359866,3,0,0,1.0
vit_b16,rank_l_gram,0.1,3,3,14.19758996733564,20.40617780380877,3,0,0,1.0,17.209525052302563,19.03488802753701,3,0,0,1.0
vit_b16,rank_l_gram,0.1,5,3,-2.987232421423679,6.114022188766199,1,0,2,0.3333333333333333,8.475038222376838,6.700978891486989,3,0,0,1.0
vit_b16,rank_l_gram,0.1,8,3,-4.163903559215707,7.013588218496246,1,0,2,0.3333333333333333,0.7374601982596687,1.288497708868771,2,0,1,0.6666666666666666
vit_b16,rank_l_gram,0.1,10,3,-6.4684244282887375,0.5270023830777045,0,0,3,0.0,1.520226462181654,0.41704549691593856,3,0,0,1.0
