encoder,primary_method,configurations,rank_reff_mean,primary_minus_rank_mean,primary_relative_gain_mean,primary_win_count,primary_tie_count,primary_loss_count,primary_win_rate,dpp_minus_rank_mean,dpp_relative_gain_mean,dpp_win_count,dpp_tie_count,dpp_loss_count,dpp_win_rate
clip_b32,rank_l_gram,72,268.3305378412598,2.4033644789871818,0.011152694015158025,36,0,36,0.5,8.412758458619525,0.033309728501358334,72,0,0,1.0
dinov2_b14,rank_l_gram,72,589.1316266813685,17.76816383967183,0.03312523588976513,72,0,0,1.0,21.583721924744097,0.03956470183225359,72,0,0,1.0
resnet50,rank_l_gram,72,856.1714065703649,47.77769296610497,0.07596177481012147,53,0,19,0.7361111111111112,70.36638716033167,0.10439085534244684,71,0,1,0.9861111111111112
vit_b16,rank_l_gram,72,555.1493367388152,10.532535854169444,0.02560395124852608,39,0,33,0.5416666666666666,17.293803900393716,0.037541950048257194,70,0,2,0.9722222222222222
