readout,method,shortlist_size,task_count,score_seconds,resident_seconds,median_resident_seconds,feature_seconds,raw_additive_seconds,resident_vs_full_seconds,raw_vs_full_seconds,test_brier_score,test_nll,test_error_rate,paired_test_brier_score,paired_test_nll,paired_test_error_rate,cached_two_encoder_batch_seconds,batch_preparation_seconds
logistic,exhaustive,455,12,0.00031375553872850206,42.82830051912202,42.80182032473385,34.54799352337917,77.37629404250119,0.0,0.0,0.8629920182713765,3.3965429412617625,0.62939453125,0.0,0.0,0.0,515.1238990152875,1.1842927858233452
logistic,random,10,12,0.0005138336370388666,0.938886288760437,0.945041681950291,30.94178018118772,31.880666469948157,-41.88941423036158,-45.495627572553026,0.8810443768328505,3.5398297531156424,0.6611870659722222,0.018052358561474257,0.14328681185388048,0.03179253472222223,12.450928250948587,1.1842927858233452
logistic,random,25,12,0.0005138336370388666,2.331114584993985,2.337303513661027,34.40382085844046,36.73493544343445,-40.49718593412803,-40.64135859906674,0.872300860717893,3.467380932621919,0.649197048611111,0.009308842446516771,0.07083799136015663,0.019802517361111115,29.157667805751164,1.1842927858233452
logistic,random,50,12,0.0005138336370388666,4.668189285116063,4.660759640857577,34.54799352337917,39.21618280849523,-38.16011123400596,-38.16011123400596,0.869764130505624,3.448104868218632,0.6471625434027778,0.006772112234247479,0.05156192695686949,0.017768012152777773,57.202564207216106,1.1842927858233452
logistic,random,100,12,0.0005138336370388666,9.316029413499766,9.291708711534739,34.54799352337917,43.86402293687893,-33.51227110562225,-33.512271105622254,0.8675357992308562,3.4292466857629087,0.6405707465277778,0.004543780959479891,0.03270374450114596,0.01117621527777779,112.97664574782054,1.1842927858233452
logistic,random,227,12,0.0005138336370388666,21.225816551182003,21.225228825584054,34.54799352337917,55.77381007456117,-21.602483967940014,-21.602483967940014,0.8642412016827711,3.4035662810778455,0.6357150607638888,0.0012491834113947757,0.00702333981608357,0.006320529513888905,255.8940914000074,1.1842927858233452
logistic,second_moment_mmd,10,12,0.0371960484319263,0.8900977311034998,0.886979523425301,39.055234207461275,39.94533193856478,-41.93820278801852,-37.430962103936416,0.8655442987421805,3.4325673924155446,0.6410319010416666,0.0025522804708041544,0.03602445115378198,0.011637369791666666,13.582622446119785,2.9014496728777885
logistic,second_moment_mmd,25,12,0.0371960484319263,2.164008329518967,2.1694048326462507,39.055234207461275,41.219242536980246,-40.66429218960305,-36.15705150552095,0.8640414689261839,3.4093825823389388,0.6336263020833334,0.0010494506548076876,0.012839641077176204,0.004231770833333333,28.869549627105396,2.9014496728777885
logistic,second_moment_mmd,50,12,0.0371960484319263,4.310701283315817,4.297567217300336,39.055234207461275,43.3659354907771,-38.5175992358062,-34.010358551724096,0.8631102546327872,3.396544589911374,0.630126953125,0.00011823636141096901,1.6486496113114295e-06,0.000732421875,54.6298650726676,2.9014496728777885
logistic,second_moment_mmd,100,12,0.0371960484319263,8.676449765140811,8.6685330675294,39.055234207461275,47.73168397260209,-34.15185075398121,-29.6446100698991,0.8629920182713765,3.3965429412617625,0.62939453125,0.0,0.0,0.0,107.01884685456753,2.9014496728777885
logistic,second_moment_mmd,227,12,0.0371960484319263,20.31532984827128,20.29998475002746,39.055234207461275,59.37056405573256,-22.512970670850738,-18.005729986768632,0.8629920182713765,3.3965429412617625,0.62939453125,0.0,0.0,0.0,246.68540785213312,2.9014496728777885
logistic,target_a,10,12,0.35445170332160264,1.1615517240845494,1.1595915953318279,39.055234207461275,40.21678593154583,-41.66674879503747,-37.159508110955365,0.866030227969634,3.423913620005692,0.634765625,0.0030382096982575955,0.027370678743929327,0.00537109375,16.84007036189238,2.9014496728777885
logistic,target_a,25,12,0.35445170332160264,2.3786950370089874,2.37309395087262,39.055234207461275,41.433929244470264,-40.44960548211303,-35.94236479803092,0.8646079127470377,3.4089592984654824,0.6290690104166666,0.0016158944756612763,0.012416357203719808,-0.0003255208333333333,31.44579011698564,2.9014496728777885
