excluded_encoder,method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
clip_b32,dpp_subspace,3,21,3,21,0.6666666666666666,0.38095238095238093,0.0004954116701468095,0.053612056765742065,-0.0016622214090256501,0.8499999999999999,0.7619047619047619,0.6190476190476191,3.0,0.8125,0,False
clip_b32,facility_subspace,3,21,3,21,0.09523809523809523,0.30158730158730157,0.004216592096706336,0.183264271727945,0.0025476234299795903,0.8499999999999999,0.14285714285714285,0.35714285714285715,3.0,0.8125,0,False
clip_b32,full_merged_rank,3,21,3,21,0.7142857142857143,0.47619047619047616,0.0004358195950402327,0.031023833048385557,-0.0011443983940851127,0.8499999999999999,0.8095238095238095,0.6349206349206349,3.0,0.8125,0,False
clip_b32,kcenter_subspace,3,21,3,21,0.5714285714285714,0.30158730158730157,0.0009089279599677228,0.07657977430007122,0.0011846809160141628,0.8499999999999999,0.5714285714285714,0.3253968253968254,3.0,0.8125,0,False
clip_b32,pool_vendi_subspace,3,21,3,21,0.6666666666666666,0.3492063492063492,0.000501551844888389,0.0640027193132556,0.00019789763859339753,0.8499999999999999,0.6666666666666666,0.373015873015873,3.0,0.8125,0,False
clip_b32,rank_only,3,21,3,21,0.6666666666666666,0.5238095238095238,0.0011136929532943106,0.0771983764963933,0.0005741704077947592,0.8499999999999999,0.6666666666666666,0.5238095238095238,2.0,0.875,0,False
clip_b32,dpp_subspace,5,21,3,21,0.7142857142857143,0.4603174603174603,0.0002706542296037327,0.023079848544230258,-0.0001626974060421893,0.75,0.8095238095238095,0.7380952380952381,5.0,0.6875,0,False
clip_b32,facility_subspace,5,21,3,21,0.19047619047619047,0.39682539682539675,0.0031618559821946896,0.14861543136039665,0.001200041884467709,0.75,0.23809523809523808,0.4523809523809524,5.0,0.6875,0,False
clip_b32,full_merged_rank,5,21,3,21,0.8095238095238095,0.6825396825396824,0.0002821213271303046,0.022627231325427672,-0.0005461851755778069,0.75,0.8095238095238095,0.6825396825396824,4.0,0.75,1,False
clip_b32,kcenter_subspace,5,21,3,21,0.6666666666666666,0.39682539682539675,0.0002492891772941811,0.02352116298951153,0.00043063674654279067,0.75,0.7142857142857143,0.42857142857142855,5.0,0.6875,0,False
clip_b32,pool_vendi_subspace,5,21,3,21,0.7142857142857143,0.4126984126984127,0.0003443392742525443,0.027550324803951604,-0.001055554548899329,0.75,0.7142857142857143,0.43650793650793646,5.0,0.6875,0,False
clip_b32,rank_only,5,21,3,21,0.8095238095238095,0.6825396825396824,0.0002821213271303046,0.022627231325427672,-0.0005461851755778069,0.75,0.8095238095238095,0.6825396825396824,4.0,0.75,1,False
clip_b32,dpp_subspace,10,21,3,21,0.8095238095238095,0.7777777777777777,0.00020865377405440304,0.018354367853820112,-0.0002774465651739275,0.5,0.8095238095238095,0.8174603174603176,8.333333333333334,0.4791666666666667,1,False
clip_b32,facility_subspace,10,21,3,21,0.3333333333333333,0.5079365079365079,0.002701191606591602,0.11893058286482361,0.0020621441659473207,0.5,0.38095238095238093,0.5793650793650793,10.0,0.375,0,False
clip_b32,full_merged_rank,10,21,3,21,0.8571428571428571,0.8095238095238095,9.790847285145217e-05,0.011186222109720641,0.00042107672918410106,0.5,0.8571428571428571,0.8174603174603176,8.0,0.5,1,False
clip_b32,kcenter_subspace,10,21,3,21,0.7619047619047619,0.5238095238095238,0.00012350176638336886,0.01274777103498246,0.0009244935853140668,0.5,0.8095238095238095,0.611111111111111,9.666666666666666,0.3958333333333333,0,False
clip_b32,pool_vendi_subspace,10,21,3,21,0.8571428571428571,0.5873015873015872,7.080260338546008e-05,0.007405512063196587,0.0007410724957784011,0.5,0.9047619047619048,0.6190476190476191,9.666666666666666,0.3958333333333333,1,False
clip_b32,rank_only,10,21,3,21,0.8095238095238095,0.7777777777777777,0.0002022955969893764,0.016769134843181398,4.905291966029153e-05,0.5,0.8095238095238095,0.7857142857142857,7.0,0.5625,1,False
dinov2_b14,dpp_subspace,3,21,3,21,0.7142857142857143,0.4126984126984127,0.001021668201268044,0.04262593198513786,-0.001307575475601915,0.8499999999999999,0.8571428571428571,0.6746031746031745,3.0,0.8125,0,False
dinov2_b14,facility_subspace,3,21,3,21,0.14285714285714285,0.2857142857142857,0.004191679561429341,0.16780001122246865,0.002768108390626451,0.8499999999999999,0.14285714285714285,0.38095238095238093,3.0,0.8125,0,False
dinov2_b14,full_merged_rank,3,21,3,21,0.7142857142857143,0.4126984126984127,0.001021668201268044,0.04262593198513786,-0.001307575475601915,0.8499999999999999,0.8571428571428571,0.6746031746031745,3.0,0.8125,0,False
dinov2_b14,kcenter_subspace,3,21,3,21,0.6190476190476191,0.3492063492063492,0.001171146550826079,0.04335474903073986,-9.75779124668661e-05,0.8499999999999999,0.6190476190476191,0.40476190476190477,3.0,0.8125,0,False
dinov2_b14,pool_vendi_subspace,3,21,3,21,0.7142857142857143,0.39682539682539675,0.0007637704357467452,0.030777694043924247,-0.0010843611898876313,0.8499999999999999,0.7142857142857143,0.4523809523809524,3.0,0.8125,0,False
dinov2_b14,rank_only,3,21,3,21,0.7142857142857143,0.5079365079365079,0.0016007892830051,0.06341368128173562,0.0001286114965166354,0.8499999999999999,0.7619047619047619,0.611111111111111,2.3333333333333335,0.8541666666666666,0,False
dinov2_b14,dpp_subspace,5,21,3,21,0.7619047619047619,0.47619047619047616,0.0003707827788877011,0.014054518218302892,-0.00011709928512572872,0.75,0.9047619047619048,0.753968253968254,5.0,0.6875,0,False
dinov2_b14,facility_subspace,5,21,3,21,0.2857142857142857,0.36507936507936506,0.0028324546205172225,0.12092318793381374,0.00035606452396937566,0.75,0.2857142857142857,0.4603174603174603,5.0,0.6875,0,False
dinov2_b14,full_merged_rank,5,21,3,21,0.9047619047619048,0.6984126984126984,0.0002083313575834266,0.012353862622988997,-0.0005243607929774736,0.75,0.9047619047619048,0.7063492063492063,4.0,0.75,2,True
dinov2_b14,kcenter_subspace,5,21,3,21,0.7142857142857143,0.42857142857142855,0.0006532421526979558,0.02535255431902128,-0.0007123373803638219,0.75,0.7142857142857143,0.4841269841269841,5.0,0.6875,0,False
dinov2_b14,pool_vendi_subspace,5,21,3,21,0.7142857142857143,0.42857142857142855,0.0007269274550095263,0.029293448523565396,-0.001307575475601915,0.75,0.7142857142857143,0.4841269841269841,5.0,0.6875,0,False
dinov2_b14,rank_only,5,21,3,21,0.9047619047619048,0.6984126984126984,0.0002083313575834266,0.012353862622988997,-0.0005243607929774736,0.75,0.9047619047619048,0.7063492063492063,4.0,0.75,2,True
dinov2_b14,dpp_subspace,10,21,3,21,0.9047619047619048,0.8571428571428571,0.00013486380450752504,0.008080999151381435,-0.00025562218257359416,0.5,0.9047619047619048,0.888888888888889,8.666666666666666,0.4583333333333333,2,True
dinov2_b14,facility_subspace,10,21,3,21,0.38095238095238093,0.47619047619047616,0.0023749651257896206,0.0916446805837771,0.00134515194665818,0.5,0.38095238095238093,0.5873015873015872,10.0,0.375,0,False
dinov2_b14,full_merged_rank,10,21,3,21,0.9523809523809523,0.8730158730158729,4.2539965765811405e-05,0.0034868794570022286,-3.5274596441380895e-06,0.5,0.9523809523809523,0.888888888888889,8.333333333333334,0.4791666666666667,2,True
dinov2_b14,kcenter_subspace,10,21,3,21,0.8095238095238095,0.5238095238095238,0.000248191653849589,0.007154389960105966,-0.00036919400805518476,0.5,0.8095238095238095,0.611111111111111,9.666666666666666,0.3958333333333333,0,False
dinov2_b14,pool_vendi_subspace,10,21,3,21,0.8095238095238095,0.5714285714285714,0.0005063150627942201,0.0162827621285583,-0.00033678611119587423,0.5,0.8095238095238095,0.626984126984127,9.666666666666666,0.3958333333333333,1,False
dinov2_b14,rank_only,10,21,3,21,0.9047619047619048,0.7936507936507937,0.00014692708990373564,0.009069792190462986,-0.0003755512691679476,0.5,0.9047619047619048,0.8015873015873015,7.333333333333333,0.5416666666666666,2,True
resnet50,dpp_subspace,3,21,3,21,0.6666666666666666,0.39682539682539675,0.000830050389006901,0.05742350289799508,-0.00028119541349864665,0.8499999999999999,0.8095238095238095,0.6587301587301587,3.0,0.8125,0,False
resnet50,facility_subspace,3,21,3,21,0.14285714285714285,0.3333333333333333,0.0033813180602770936,0.15368598053745217,0.004210101422809415,0.8499999999999999,0.19047619047619047,0.4206349206349206,3.0,0.8125,0,False
resnet50,full_merged_rank,3,21,3,21,0.7142857142857143,0.492063492063492,0.000770458313900324,0.034835279180638556,0.00023662760144189083,0.8499999999999999,0.8571428571428571,0.6746031746031745,3.0,0.8125,0,False
resnet50,kcenter_subspace,3,21,3,21,0.5714285714285714,0.3333333333333333,0.0012067247583875357,0.08036566179663608,0.002491302149636398,0.8499999999999999,0.5714285714285714,0.38095238095238093,3.0,0.8125,0,False
resnet50,pool_vendi_subspace,3,21,3,21,0.6666666666666666,0.38095238095238093,0.0007993486433082017,0.06778860680982046,0.0015045188722156327,0.8499999999999999,0.6666666666666666,0.42857142857142855,3.0,0.8125,0,False
resnet50,rank_only,3,21,3,21,0.6666666666666666,0.47619047619047616,0.001334733542378685,0.07493427978311093,0.0012855535461789064,0.8499999999999999,0.7142857142857143,0.5793650793650793,2.3333333333333335,0.8541666666666666,0,False
resnet50,dpp_subspace,5,21,3,21,0.7619047619047619,0.492063492063492,0.00031055254477968796,0.017367503652952754,-0.0005673856962294758,0.75,0.9047619047619048,0.7936507936507937,5.0,0.6875,0,False
resnet50,facility_subspace,5,21,3,21,0.2857142857142857,0.42857142857142855,0.002329348931309739,0.12045097483158852,0.0036782554217747216,0.75,0.3333333333333333,0.5158730158730158,5.0,0.6875,0,False
resnet50,full_merged_rank,5,21,3,21,0.9047619047619048,0.7301587301587301,7.3789969546878e-05,0.010273368702438676,-2.1824382600333342e-05,0.75,0.9047619047619048,0.7380952380952381,4.0,0.75,2,True
resnet50,kcenter_subspace,5,21,3,21,0.6666666666666666,0.42857142857142855,0.0005839282972883455,0.029763699170261653,0.0009188055992126491,0.75,0.7142857142857143,0.4841269841269841,5.0,0.6875,0,False
resnet50,pool_vendi_subspace,5,21,3,21,0.7142857142857143,0.44444444444444436,0.0006052930919351382,0.02985196678015762,2.7852399008622607e-05,0.75,0.7142857142857143,0.492063492063492,5.0,0.6875,0,False
resnet50,rank_only,5,21,3,21,0.9047619047619048,0.7301587301587301,7.3789969546878e-05,0.010273368702438676,-2.1824382600333342e-05,0.75,0.9047619047619048,0.7380952380952381,4.0,0.75,2,True
resnet50,dpp_subspace,10,21,3,21,0.9047619047619048,0.8412698412698413,7.3789969546878e-05,0.010273368702438676,-2.1824382600333342e-05,0.5,0.9047619047619048,0.8968253968253967,8.666666666666666,0.4583333333333333,2,True
resnet50,facility_subspace,10,21,3,21,0.3333333333333333,0.492063492063492,0.002326174050434253,0.12004463368605212,0.003551270280565529,0.5,0.38095238095238093,0.5793650793650793,10.0,0.375,0,False
resnet50,full_merged_rank,10,21,3,21,0.9047619047619048,0.8730158730158729,5.536850708564076e-05,0.007699342652718413,0.00042460418882823915,0.5,0.9047619047619048,0.8968253968253967,8.333333333333334,0.4791666666666667,2,True
resnet50,kcenter_subspace,10,21,3,21,0.7619047619047619,0.5238095238095238,0.00028599120659743624,0.013935554401901886,0.0007719000180562364,0.5,0.8095238095238095,0.6190476190476191,10.0,0.375,0,False
resnet50,pool_vendi_subspace,10,21,3,21,0.7619047619047619,0.5555555555555556,0.0005523688132833602,0.0227178404344097,0.000853690079280312,0.5,0.8095238095238095,0.611111111111111,10.0,0.375,0,False
resnet50,rank_only,10,21,3,21,0.9047619047619048,0.8095238095238095,5.536850708564076e-05,0.007699342652718413,0.00042460418882823915,0.5,0.9047619047619048,0.8253968253968254,7.333333333333333,0.5416666666666666,2,True
vit_b16,dpp_subspace,3,21,3,21,0.6666666666666666,0.38095238095238093,0.001136441850866397,0.07537509518841973,-0.0009513906070164282,0.8499999999999999,0.7142857142857143,0.6428571428571429,3.0,0.8125,0,False
vit_b16,facility_subspace,3,21,3,21,0.047619047619047616,0.31746031746031744,0.004147207230168791,0.1960358835208468,0.0033883338882809435,0.8499999999999999,0.09523809523809523,0.4126984126984127,3.0,0.8125,0,False
vit_b16,full_merged_rank,3,21,3,21,0.7142857142857143,0.47619047619047616,0.0010768497757598203,0.05278687147106321,-0.00043356759207589075,0.8499999999999999,0.7619047619047619,0.6587301587301587,3.0,0.8125,0,False
vit_b16,kcenter_subspace,3,21,3,21,0.6666666666666666,0.3492063492063492,0.0009952121826271878,0.07982885944748237,0.0009831332025073772,0.8499999999999999,0.6666666666666666,0.38888888888888884,3.0,0.8125,0,False
vit_b16,pool_vendi_subspace,3,21,3,21,0.6666666666666666,0.3492063492063492,0.0009952121826271878,0.07982885944748237,0.0009831332025073772,0.8499999999999999,0.6666666666666666,0.38888888888888884,3.0,0.8125,0,False
vit_b16,rank_only,3,21,3,21,0.6666666666666666,0.492063492063492,0.0012892001820525591,0.08424920846800857,0.0005184570948282867,0.8499999999999999,0.7142857142857143,0.5952380952380952,2.3333333333333335,0.8541666666666666,0,False
vit_b16,dpp_subspace,5,21,3,21,0.7619047619047619,0.47619047619047616,0.00043887149729108073,0.02579528457172517,0.0002505143483479807,0.75,0.8095238095238095,0.7619047619047619,5.0,0.6875,0,False
vit_b16,facility_subspace,5,21,3,21,0.09523809523809523,0.38095238095238093,0.0035278641917076098,0.16974428208978218,0.002297774950663232,0.75,0.14285714285714285,0.47619047619047616,5.0,0.6875,0,False
vit_b16,full_merged_rank,5,21,3,21,0.8095238095238095,0.6984126984126984,0.0002821213271303046,0.022627231325427672,-0.0005461851755778069,0.75,0.8095238095238095,0.7063492063492063,4.0,0.75,1,False
vit_b16,kcenter_subspace,5,21,3,21,0.6666666666666666,0.4126984126984127,0.000706106534295761,0.037863057603379456,0.0009926580247424867,0.75,0.7142857142857143,0.4603174603174603,5.0,0.6875,0,False
vit_b16,pool_vendi_subspace,5,21,3,21,0.7142857142857143,0.42857142857142855,0.0008011566312541243,0.04189221941781953,-0.0004935332706996331,0.75,0.7142857142857143,0.4682539682539682,5.0,0.6875,0,False
vit_b16,rank_only,5,21,3,21,0.8095238095238095,0.6984126984126984,0.0002821213271303046,0.022627231325427672,-0.0005461851755778069,0.75,0.8095238095238095,0.7063492063492063,4.0,0.75,1,False
vit_b16,dpp_subspace,10,21,3,21,0.8095238095238095,0.8095238095238095,0.00020865377405440304,0.018354367853820112,-0.0002774465651739275,0.5,0.8095238095238095,0.8492063492063492,8.333333333333334,0.4791666666666667,1,False
vit_b16,facility_subspace,10,21,3,21,0.23809523809523808,0.47619047619047616,0.0030671998161045217,0.14005943359420914,0.0031598772321428433,0.5,0.2857142857142857,0.5873015873015872,10.0,0.375,0,False
vit_b16,full_merged_rank,10,21,3,21,0.8571428571428571,0.8253968253968254,9.790847285145217e-05,0.011186222109720641,0.00042107672918410106,0.5,0.8571428571428571,0.8492063492063492,8.333333333333334,0.4791666666666667,1,False
vit_b16,kcenter_subspace,10,21,3,21,0.8095238095238095,0.5238095238095238,0.00029171903407071697,0.015463207062477375,0.0013377053397042368,0.5,0.8571428571428571,0.611111111111111,9.666666666666666,0.3958333333333333,0,False
vit_b16,pool_vendi_subspace,10,21,3,21,0.8571428571428571,0.5714285714285714,0.0005276199603870401,0.021747406677064512,0.001303093773978097,0.5,0.9047619047619048,0.6190476190476191,9.666666666666666,0.3958333333333333,1,False
vit_b16,rank_only,10,21,3,21,0.8095238095238095,0.7619047619047619,0.0002022955969893764,0.016769134843181398,4.905291966029153e-05,0.5,0.8095238095238095,0.7777777777777777,7.333333333333333,0.5416666666666666,1,False
