method,shortlist_size,target,encoders,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean
facility_subspace,5,oxford_pets,4,0.0,0.41666666666666663,0.002649457805344535,0.17343437244438292,0.002085044980049161,0.75,0.0,0.5416666666666666,5.0,0.6875
facility_subspace,10,beans,4,0.75,0.8333333333333333,0.00024178219006798507,0.03378416110571986,0.006249999999999978,0.5,1.0,1.0,10.0,0.375
facility_subspace,10,dtd,4,0.25,0.41666666666666663,0.0030230494340260927,0.13301298607522027,0.0043085157871246005,0.5,0.25,0.4583333333333333,10.0,0.375
facility_subspace,10,eurosat,4,0.5,0.5,0.001456669196685162,0.10028511090102935,0.001703709363937378,0.5,0.5,0.5833333333333333,10.0,0.375
facility_subspace,10,flowers102,4,0.5,0.41666666666666663,0.0017973852157592562,0.07320606925334977,-0.0011799961328506359,0.5,0.5,0.5833333333333333,10.0,0.375
facility_subspace,10,food101,4,0.25,0.5,0.001253334036469475,0.05803988106221898,0.00022999346256255548,0.5,0.25,0.5416666666666666,10.0,0.375
facility_subspace,10,gtsrb,4,0.0,0.3333333333333333,0.00790000066975749,0.2519262479335873,0.004310008883476241,0.5,0.0,0.375,10.0,0.375
facility_subspace,10,oxford_pets,4,0.0,0.41666666666666663,0.002649457805344535,0.17343437244438292,0.002085044980049161,0.5,0.0,0.5416666666666666,10.0,0.375
full_merged_rank,3,beans,4,0.25,0.08333333333333333,0.004400386244807986,0.23734085068934346,-0.0027343749999999833,0.85,0.25,0.16666666666666666,3.0,0.8125
full_merged_rank,3,dtd,4,0.75,0.5833333333333333,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.85,1.0,0.8333333333333333,3.0,0.8125
full_merged_rank,3,eurosat,4,0.5,0.41666666666666663,0.00024000294486681284,0.020439408163327837,0.0006481528282165361,0.85,0.5,0.5833333333333333,3.0,0.8125
full_merged_rank,3,flowers102,4,0.75,0.5,0.0010130721330642578,0.019350816370410535,-0.00019000768661497913,0.85,1.0,0.6666666666666666,3.0,0.8125
full_merged_rank,3,food101,4,0.75,0.75,0.00010333350102109673,0.004015550233520149,0.00037999749183655063,0.85,1.0,1.0,3.0,0.8125
full_merged_rank,3,gtsrb,4,1.0,0.41666666666666663,0.0,0.0,0.0,0.85,1.0,0.625,3.0,0.8125
full_merged_rank,3,oxford_pets,4,1.0,0.5,0.0,0.0,0.0,0.85,1.0,0.75,3.0,0.8125
full_merged_rank,5,beans,4,0.5,0.25,0.0012411340225672862,0.09835355629516745,-0.003515625000000022,0.75,0.5,0.25,4.0,0.75
full_merged_rank,5,dtd,4,1.0,1.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,0.75
full_merged_rank,5,eurosat,4,0.5,0.5833333333333333,0.00024000294486681284,0.020439408163327837,0.0006481528282165361,0.75,0.5,0.5833333333333333,4.0,0.75
full_merged_rank,5,flowers102,4,1.0,0.6666666666666666,0.0,0.0,0.0,0.75,1.0,0.6666666666666666,4.0,0.75
full_merged_rank,5,food101,4,1.0,1.0,0.0,0.0,0.0,0.75,1.0,1.0,4.0,0.75
full_merged_rank,5,gtsrb,4,1.0,0.5833333333333333,0.0,0.0,0.0,0.75,1.0,0.625,4.0,0.75
full_merged_rank,5,oxford_pets,4,1.0,0.8333333333333333,0.0,0.0,0.0,0.75,1.0,0.8333333333333333,4.0,0.75
full_merged_rank,10,beans,4,0.75,0.75,0.000274016537603311,0.038288257912705535,0.0015624999999999944,0.5,0.75,0.7916666666666666,8.25,0.484375
full_merged_rank,10,dtd,4,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,8.25,0.484375
full_merged_rank,10,eurosat,4,0.5,0.6666666666666666,0.00024000294486681284,0.020439408163327837,0.0006481528282165361,0.5,0.5,0.6666666666666666,8.25,0.484375
full_merged_rank,10,flowers102,4,1.0,0.8333333333333333,0.0,0.0,0.0,0.5,1.0,0.8333333333333333,8.25,0.484375
full_merged_rank,10,food101,4,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,8.25,0.484375
full_merged_rank,10,gtsrb,4,1.0,0.75,0.0,0.0,0.0,0.5,1.0,0.8333333333333333,8.25,0.484375
full_merged_rank,10,oxford_pets,4,1.0,0.9166666666666666,0.0,0.0,0.0,0.5,1.0,0.9166666666666666,8.25,0.484375
kcenter_subspace,3,beans,4,0.0,0.0,0.004948421788169649,0.30573553206993415,0.011718749999999972,0.85,0.0,0.0,3.0,0.8125
kcenter_subspace,3,dtd,4,0.75,0.3333333333333333,2.6597976684583635e-05,0.0010792269925420797,-0.0027393668889999223,0.85,0.75,0.375,3.0,0.8125
kcenter_subspace,3,eurosat,4,0.5,0.41666666666666663,0.0003400028540691269,0.03323802305705397,0.000333333015441889,0.85,0.5,0.5,3.0,0.8125
