seed,target,accuracy,config,construction_seed,overlap,budget,method,selected
6,food101,0.2574257254600525,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
6,gtsrb,0.5674418210983276,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
6,oxford_pets,0.9054054617881775,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
7,beans,0.8557214140892029,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
7,dtd,0.5404255390167236,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
7,eurosat,0.809999942779541,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
7,fgvc_aircraft,0.14000000059604645,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
7,flowers102,0.6764706373214722,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
7,food101,0.24752473831176758,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
7,gtsrb,0.6465116739273071,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
7,oxford_pets,0.9009009599685669,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
8,beans,0.8507462739944458,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
8,dtd,0.5787234306335449,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
8,eurosat,0.8349999785423279,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
8,fgvc_aircraft,0.14000000059604645,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
8,flowers102,0.6519608497619629,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
8,food101,0.24752473831176758,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
8,gtsrb,0.6232557892799377,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
8,oxford_pets,0.8603604435920715,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
9,beans,0.86069655418396,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
9,dtd,0.548936128616333,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
9,eurosat,0.8499999642372131,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
9,fgvc_aircraft,0.14000000059604645,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
9,flowers102,0.6470588445663452,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
9,food101,0.22772276401519775,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
9,gtsrb,0.6372092962265015,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
9,oxford_pets,0.9054054617881775,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
10,beans,0.8308457732200623,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
10,dtd,0.52765953540802,seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025
