seed,target,accuracy,config,construction_seed,overlap,budget,method,selected
3,beans,0.8358209133148193,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
3,dtd,0.5319148302078247,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
3,eurosat,0.8700000047683716,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
3,fgvc_aircraft,0.11999998986721039,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
3,flowers102,0.6519608497619629,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
3,food101,0.2673267126083374,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
3,gtsrb,0.609302282333374,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
3,oxford_pets,0.8558558821678162,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
4,beans,0.8407959938049316,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
4,dtd,0.5234042406082153,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
4,eurosat,0.824999988079071,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
4,fgvc_aircraft,0.1249999925494194,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
4,flowers102,0.7205883264541626,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
4,food101,0.18316830694675446,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
4,gtsrb,0.6465116739273071,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
4,oxford_pets,0.8828828930854797,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
5,beans,0.8457711338996887,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
5,dtd,0.506382942199707,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
5,eurosat,0.8349999785423279,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
5,fgvc_aircraft,0.0949999988079071,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
5,flowers102,0.6568627953529358,seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10
