config,construction_seed,overlap,budget,method,selected,merged_reff,unique_families,duplicate_count,rank_gap_vs_family
seed20260831_overlap0.75_k5,20260831,0.75,5,centroid_ff,tiny_imagenet__overlap_075|rendered_sst2|semeion|retinamnist|pathmnist,435.76812744140625,5,0,361.75091552734375
seed20260831_overlap0.75_k5,20260831,0.75,5,family_rank,tiny_imagenet__overlap_075|stl10__overlap_075|cifar100_coarse__overlap_075|cifar100|cifar10__overlap_075,797.51904296875,5,0,0.0
seed20260831_overlap0.75_k5,20260831,0.75,5,random_0,bloodmnist|breastmnist|cifar100_coarse__overlap_075|stl10|usps,583.9644775390625,5,0,213.5545654296875
seed20260831_overlap0.75_k5,20260831,0.75,5,random_1,cifar100__overlap_075|cifar100_coarse|organcmnist|semeion|tissuemnist,586.4082641601562,5,0,211.11077880859375
seed20260831_overlap0.75_k5,20260831,0.75,5,random_2,cifar10|cifar100|cifar100_coarse__overlap_075|tiny_imagenet__overlap_075|tissuemnist,725.6827392578125,5,0,71.8363037109375
seed20260831_overlap0.75_k5,20260831,0.75,5,random_3,bloodmnist|cifar100_coarse__overlap_075|mnist|organamnist|semeion,535.1177978515625,5,0,262.4012451171875
seed20260831_overlap0.75_k5,20260831,0.75,5,random_4,cifar10|dermamnist|mnist|organcmnist|rendered_sst2,485.29815673828125,5,0,312.22088623046875
seed20260831_overlap1.00_k3,20260831,1.0,3,collapse,tiny_imagenet|stl10|tiny_imagenet__overlap_100,380.86383056640625,2,1,164.50543212890625
seed20260831_overlap1.00_k3,20260831,1.0,3,r_sum,tiny_imagenet|tiny_imagenet__overlap_100|stl10,380.8636474609375,2,1,164.505615234375
seed20260831_overlap1.00_k3,20260831,1.0,3,centroid_ff,tiny_imagenet|rendered_sst2|semeion,297.1535949707031,3,0,248.21566772460938
seed20260831_overlap1.00_k3,20260831,1.0,3,family_rank,tiny_imagenet|stl10|cifar100_coarse,545.3692626953125,3,0,0.0
seed20260831_overlap1.00_k3,20260831,1.0,3,random_0,breastmnist|cifar100_coarse|mnist,376.6007995605469,3,0,168.76846313476562
seed20260831_overlap1.00_k3,20260831,1.0,3,random_1,octmnist|organsmnist|stl10,407.93951416015625,3,0,137.42974853515625
seed20260831_overlap1.00_k3,20260831,1.0,3,random_2,bloodmnist|cifar10|organcmnist__overlap_100,409.5970764160156,3,0,135.77218627929688
seed20260831_overlap1.00_k3,20260831,1.0,3,random_3,bloodmnist|organcmnist|rendered_sst2,262.1243591308594,3,0,283.2449035644531
seed20260831_overlap1.00_k3,20260831,1.0,3,random_4,bloodmnist|cifar10|semeion,358.5677795410156,3,0,186.80148315429688
seed20260831_overlap1.00_k5,20260831,1.0,5,collapse,tiny_imagenet|stl10|tiny_imagenet__overlap_100|cifar100_coarse|stl10__overlap_100,536.8644409179688,3,2,258.31390380859375
seed20260831_overlap1.00_k5,20260831,1.0,5,r_sum,tiny_imagenet|tiny_imagenet__overlap_100|stl10|stl10__overlap_100|cifar100_coarse,536.8639526367188,3,2,258.31439208984375
seed20260831_overlap1.00_k5,20260831,1.0,5,centroid_ff,tiny_imagenet|rendered_sst2|semeion|retinamnist|pathmnist,435.42291259765625,5,0,359.75543212890625
seed20260831_overlap1.00_k5,20260831,1.0,5,family_rank,tiny_imagenet|stl10|cifar100_coarse|cifar100|cifar10,795.1783447265625,5,0,0.0
seed20260831_overlap1.00_k5,20260831,1.0,5,random_0,mnist|organamnist|retinamnist|tiny_imagenet|usps,529.4615478515625,5,0,265.716796875
seed20260831_overlap1.00_k5,20260831,1.0,5,random_1,breastmnist|cifar100_coarse__overlap_100|cifar10__overlap_100|pathmnist|retinamnist,551.776611328125,5,0,243.4017333984375
seed20260831_overlap1.00_k5,20260831,1.0,5,random_2,bloodmnist|breastmnist|cifar100__overlap_100|octmnist|stl10,591.9605712890625,5,0,203.2177734375
seed20260831_overlap1.00_k5,20260831,1.0,5,random_3,breastmnist|cifar10|pneumoniamnist|rendered_sst2|tissuemnist,436.4766540527344,5,0,358.7016906738281
seed20260831_overlap1.00_k5,20260831,1.0,5,random_4,bloodmnist|cifar100_coarse__overlap_100|fashion_mnist|organamnist|stl10__overlap_100,660.36083984375,5,0,134.8175048828125
seed20260832_overlap0.25_k3,20260832,0.25,3,collapse,tiny_imagenet__overlap_025|stl10__overlap_025|tiny_imagenet,513.7681884765625,2,1,33.93719482421875
seed20260832_overlap0.25_k3,20260832,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10__overlap_025,513.7684326171875,2,1,33.93695068359375
seed20260832_overlap0.25_k3,20260832,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion,297.9461364746094,3,0,249.75924682617188
seed20260832_overlap0.25_k3,20260832,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10__overlap_025|cifar100_coarse,547.7053833007812,3,0,0.0
seed20260832_overlap0.25_k3,20260832,0.25,3,random_0,cifar10|cifar100_coarse|semeion,421.6590576171875,3,0,126.04632568359375
seed20260832_overlap0.25_k3,20260832,0.25,3,random_1,cifar100|stl10|tissuemnist,462.13128662109375,3,0,85.5740966796875
seed20260832_overlap0.25_k3,20260832,0.25,3,random_2,pneumoniamnist|tissuemnist|usps,274.5172424316406,3,0,273.1881408691406
seed20260832_overlap0.25_k3,20260832,0.25,3,random_3,bloodmnist|cifar100|svhn,403.85223388671875,3,0,143.8531494140625
seed20260832_overlap0.25_k3,20260832,0.25,3,random_4,fashion_mnist|rendered_sst2|retinamnist,219.58447265625,3,0,328.12091064453125
seed20260832_overlap0.25_k5,20260832,0.25,5,collapse,tiny_imagenet__overlap_025|stl10__overlap_025|tiny_imagenet|cifar100_coarse__overlap_025|stl10,758.2809448242188,3,2,39.01409912109375
seed20260832_overlap0.25_k5,20260832,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10__overlap_025|stl10|cifar100_coarse,758.3001098632812,3,2,38.99493408203125
seed20260832_overlap0.25_k5,20260832,0.25,5,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion|retinamnist|pathmnist,436.8522644042969,5,0,360.4427795410156
seed20260832_overlap0.25_k5,20260832,0.25,5,family_rank,tiny_imagenet__overlap_025|stl10__overlap_025|cifar100_coarse|cifar100__overlap_025|cifar10__overlap_025,797.2950439453125,5,0,0.0
seed20260832_overlap0.25_k5,20260832,0.25,5,random_0,breastmnist|cifar100|octmnist|organamnist|pneumoniamnist,517.2506103515625,5,0,280.04443359375
seed20260832_overlap0.25_k5,20260832,0.25,5,random_1,cifar100|cifar100_coarse|cifar100_coarse__overlap_025|organamnist|organsmnist,649.1768188476562,4,1,148.11822509765625
seed20260832_overlap0.25_k5,20260832,0.25,5,random_2,bloodmnist|cifar10|cifar100|cifar100_coarse__overlap_025|pathmnist,649.682861328125,5,0,147.6121826171875
seed20260832_overlap0.25_k5,20260832,0.25,5,random_3,cifar100|dermamnist|retinamnist|semeion|stl10,559.90673828125,5,0,237.3883056640625
seed20260832_overlap0.25_k5,20260832,0.25,5,random_4,breastmnist|pneumoniamnist|rendered_sst2|stl10|tissuemnist,457.4207763671875,5,0,339.874267578125
seed20260832_overlap0.50_k3,20260832,0.5,3,collapse,tiny_imagenet|stl10__overlap_050|tiny_imagenet__overlap_050,469.98394775390625,2,1,79.60321044921875
seed20260832_overlap0.50_k3,20260832,0.5,3,r_sum,tiny_imagenet|tiny_imagenet__overlap_050|stl10__overlap_050,469.9834899902344,2,1,79.60366821289062
seed20260832_overlap0.50_k3,20260832,0.5,3,centroid_ff,tiny_imagenet|rendered_sst2|semeion,298.08355712890625,3,0,251.50360107421875
seed20260832_overlap0.50_k3,20260832,0.5,3,family_rank,tiny_imagenet|stl10__overlap_050|cifar100_coarse,549.587158203125,3,0,0.0
seed20260832_overlap0.50_k3,20260832,0.5,3,random_0,cifar100_coarse__overlap_050|octmnist|usps,344.87615966796875,3,0,204.71099853515625
seed20260832_overlap0.50_k3,20260832,0.5,3,random_1,organcmnist|tiny_imagenet__overlap_050|tissuemnist,428.1483154296875,3,0,121.4388427734375
seed20260832_overlap0.50_k3,20260832,0.5,3,random_2,cifar100_coarse|fashion_mnist|retinamnist,376.3690185546875,3,0,173.2181396484375
seed20260832_overlap0.50_k3,20260832,0.5,3,random_3,cifar10__overlap_050|octmnist|stl10__overlap_050,440.54168701171875,3,0,109.04547119140625
seed20260832_overlap0.50_k3,20260832,0.5,3,random_4,bloodmnist|cifar10|dermamnist,372.3559875488281,3,0,177.23117065429688
seed20260832_overlap0.50_k5,20260832,0.5,5,collapse,tiny_imagenet|stl10__overlap_050|tiny_imagenet__overlap_050|cifar100_coarse|stl10,687.3814697265625,3,2,111.596923828125
seed20260832_overlap0.50_k5,20260832,0.5,5,r_sum,tiny_imagenet|tiny_imagenet__overlap_050|stl10__overlap_050|stl10|cifar100_coarse,687.3814697265625,3,2,111.596923828125
seed20260832_overlap0.50_k5,20260832,0.5,5,centroid_ff,tiny_imagenet|rendered_sst2|semeion|retinamnist|pathmnist,438.4742431640625,5,0,360.504150390625
seed20260832_overlap0.50_k5,20260832,0.5,5,family_rank,tiny_imagenet|stl10__overlap_050|cifar100_coarse|cifar100__overlap_050|cifar10__overlap_050,798.9783935546875,5,0,0.0
seed20260832_overlap0.50_k5,20260832,0.5,5,random_0,cifar100_coarse|mnist|retinamnist|tiny_imagenet|tissuemnist,598.6192016601562,5,0,200.35919189453125
seed20260832_overlap0.50_k5,20260832,0.5,5,random_1,cifar100_coarse|fashion_mnist|stl10|svhn|usps,632.5980834960938,5,0,166.38031005859375
seed20260832_overlap0.50_k5,20260832,0.5,5,random_2,cifar10|cifar100_coarse__overlap_050|octmnist|organcmnist__overlap_050|pathmnist,601.7931518554688,5,0,197.18524169921875
seed20260832_overlap0.50_k5,20260832,0.5,5,random_3,cifar100|cifar100_coarse__overlap_050|octmnist|organcmnist|pathmnist,599.783203125,5,0,199.1951904296875
seed20260832_overlap0.50_k5,20260832,0.5,5,random_4,organsmnist|pathmnist|rendered_sst2|semeion|stl10,481.8380126953125,5,0,317.140380859375
seed20260832_overlap0.75_k3,20260832,0.75,3,collapse,tiny_imagenet|stl10|tiny_imagenet__overlap_075,424.8442077636719,2,1,124.17013549804688
seed20260832_overlap0.75_k3,20260832,0.75,3,r_sum,tiny_imagenet|tiny_imagenet__overlap_075|stl10,424.8442077636719,2,1,124.17013549804688
seed20260832_overlap0.75_k3,20260832,0.75,3,centroid_ff,tiny_imagenet|rendered_sst2|semeion,298.08355712890625,3,0,250.9307861328125
seed20260832_overlap0.75_k3,20260832,0.75,3,family_rank,tiny_imagenet|stl10|cifar100_coarse__overlap_075,549.0143432617188,3,0,0.0
seed20260832_overlap0.75_k3,20260832,0.75,3,random_0,cifar100_coarse|mnist|usps,362.5437316894531,3,0,186.47061157226562
seed20260832_overlap0.75_k3,20260832,0.75,3,random_1,fashion_mnist|organsmnist|usps,334.22576904296875,3,0,214.78857421875
seed20260832_overlap0.75_k3,20260832,0.75,3,random_2,cifar100__overlap_075|octmnist|rendered_sst2,289.35809326171875,3,0,259.65625
seed20260832_overlap0.75_k3,20260832,0.75,3,random_3,cifar100__overlap_075|pathmnist|tissuemnist,382.3242492675781,3,0,166.69009399414062
seed20260832_overlap0.75_k3,20260832,0.75,3,random_4,octmnist|organamnist|usps,296.2286376953125,3,0,252.78570556640625
seed20260832_overlap0.75_k5,20260832,0.75,5,collapse,tiny_imagenet|stl10|tiny_imagenet__overlap_075|cifar100_coarse__overlap_075|stl10__overlap_075,613.4675903320312,3,2,187.7498779296875
seed20260832_overlap0.75_k5,20260832,0.75,5,r_sum,tiny_imagenet|tiny_imagenet__overlap_075|stl10|stl10__overlap_075|cifar100_coarse__overlap_075,613.4675903320312,3,2,187.7498779296875
seed20260832_overlap0.75_k5,20260832,0.75,5,centroid_ff,tiny_imagenet|rendered_sst2|semeion|retinamnist|pathmnist,438.4742431640625,5,0,362.74322509765625
seed20260832_overlap0.75_k5,20260832,0.75,5,family_rank,tiny_imagenet|stl10|cifar100_coarse__overlap_075|cifar100__overlap_075|cifar10__overlap_075,801.2174682617188,5,0,0.0
seed20260832_overlap0.75_k5,20260832,0.75,5,random_0,fashion_mnist|mnist|octmnist|retinamnist|svhn,456.3053894042969,5,0,344.9120788574219
seed20260832_overlap0.75_k5,20260832,0.75,5,random_1,organamnist|organsmnist|pathmnist|tissuemnist|usps,467.2455139160156,5,0,333.9719543457031
seed20260832_overlap0.75_k5,20260832,0.75,5,random_2,cifar100__overlap_075|cifar10__overlap_075|organamnist|tissuemnist|usps,588.6220092773438,5,0,212.595458984375
seed20260832_overlap0.75_k5,20260832,0.75,5,random_3,cifar100|octmnist|organamnist|pathmnist|stl10__overlap_075,626.1819458007812,5,0,175.0355224609375
seed20260832_overlap0.75_k5,20260832,0.75,5,random_4,organcmnist|organcmnist__overlap_075|organsmnist|tiny_imagenet__overlap_075|usps,520.2991943359375,4,1,280.91827392578125
seed20260832_overlap1.00_k3,20260832,1.0,3,collapse,tiny_imagenet|stl10|tiny_imagenet__overlap_100,381.9444885253906,2,1,166.79006958007812
seed20260832_overlap1.00_k3,20260832,1.0,3,r_sum,tiny_imagenet|tiny_imagenet__overlap_100|stl10,381.9443054199219,2,1,166.79025268554688
seed20260832_overlap1.00_k3,20260832,1.0,3,centroid_ff,tiny_imagenet|rendered_sst2|semeion,298.08355712890625,3,0,250.6510009765625
seed20260832_overlap1.00_k3,20260832,1.0,3,family_rank,tiny_imagenet|stl10|cifar100_coarse,548.7345581054688,3,0,0.0
seed20260832_overlap1.00_k3,20260832,1.0,3,random_0,cifar10|pathmnist|tiny_imagenet,470.11865234375,3,0,78.61590576171875
seed20260832_overlap1.00_k3,20260832,1.0,3,random_1,organcmnist|pneumoniamnist|stl10__overlap_100,420.02960205078125,3,0,128.7049560546875
seed20260832_overlap1.00_k3,20260832,1.0,3,random_2,cifar100_coarse|organcmnist__overlap_100|stl10__overlap_100,492.5088806152344,3,0,56.225677490234375
seed20260832_overlap1.00_k3,20260832,1.0,3,random_3,breastmnist|cifar10__overlap_100|pneumoniamnist,357.98712158203125,3,0,190.7474365234375
seed20260832_overlap1.00_k3,20260832,1.0,3,random_4,breastmnist|cifar100|cifar100_coarse__overlap_100,430.5594482421875,3,0,118.17510986328125
seed20260832_overlap1.00_k5,20260832,1.0,5,collapse,tiny_imagenet|stl10|tiny_imagenet__overlap_100|cifar100_coarse|stl10__overlap_100,540.1419677734375,3,2,259.935546875
seed20260832_overlap1.00_k5,20260832,1.0,5,r_sum,tiny_imagenet|tiny_imagenet__overlap_100|stl10|stl10__overlap_100|cifar100_coarse,540.1422119140625,3,2,259.935302734375
seed20260832_overlap1.00_k5,20260832,1.0,5,centroid_ff,tiny_imagenet|rendered_sst2|semeion|retinamnist|pathmnist,438.4742431640625,5,0,361.603271484375
seed20260832_overlap1.00_k5,20260832,1.0,5,family_rank,tiny_imagenet|stl10|cifar100_coarse|cifar100|cifar10,800.0775146484375,5,0,0.0
seed20260832_overlap1.00_k5,20260832,1.0,5,random_0,organamnist|organcmnist__overlap_100|retinamnist|stl10|usps,539.076171875,5,0,261.0013427734375
seed20260832_overlap1.00_k5,20260832,1.0,5,random_1,bloodmnist|cifar10__overlap_100|organamnist|pathmnist|stl10,634.1268920898438,5,0,165.95062255859375
seed20260832_overlap1.00_k5,20260832,1.0,5,random_2,bloodmnist|mnist|organamnist|semeion|svhn,476.7997741699219,5,0,323.2777404785156
seed20260832_overlap1.00_k5,20260832,1.0,5,random_3,cifar100_coarse|cifar100_coarse__overlap_100|fashion_mnist|octmnist|organcmnist,483.8032531738281,4,1,316.2742614746094
seed20260832_overlap1.00_k5,20260832,1.0,5,random_4,cifar100_coarse|pathmnist|retinamnist|tiny_imagenet|tissuemnist,593.19873046875,5,0,206.8787841796875
seed20260833_overlap0.25_k3,20260833,0.25,3,collapse,tiny_imagenet|stl10|tiny_imagenet__overlap_025,514.6167602539062,2,1,34.61151123046875
seed20260833_overlap0.25_k3,20260833,0.25,3,r_sum,tiny_imagenet|tiny_imagenet__overlap_025|stl10,514.6165161132812,2,1,34.61175537109375
seed20260833_overlap0.25_k3,20260833,0.25,3,centroid_ff,tiny_imagenet|rendered_sst2|semeion,297.60382080078125,3,0,251.62445068359375
seed20260833_overlap0.25_k3,20260833,0.25,3,family_rank,tiny_imagenet|stl10|cifar100_coarse,549.228271484375,3,0,0.0
seed20260833_overlap0.25_k3,20260833,0.25,3,random_0,bloodmnist|cifar100|stl10__overlap_025,471.2379150390625,3,0,77.9903564453125
seed20260833_overlap0.25_k3,20260833,0.25,3,random_1,cifar10|cifar100|mnist,446.2637634277344,3,0,102.96450805664062
seed20260833_overlap0.25_k3,20260833,0.25,3,random_2,bloodmnist|cifar10|octmnist,367.1917724609375,3,0,182.0364990234375
seed20260833_overlap0.25_k3,20260833,0.25,3,random_3,cifar10|retinamnist|tiny_imagenet__overlap_025,436.5130615234375,3,0,112.7152099609375
seed20260833_overlap0.25_k3,20260833,0.25,3,random_4,bloodmnist|mnist|organcmnist,343.1347961425781,3,0,206.09347534179688
seed20260833_overlap0.25_k5,20260833,0.25,5,collapse,tiny_imagenet|stl10|tiny_imagenet__overlap_025|cifar100_coarse|stl10__overlap_025,760.0862426757812,3,2,41.6395263671875
seed20260833_overlap0.25_k5,20260833,0.25,5,r_sum,tiny_imagenet|tiny_imagenet__overlap_025|stl10|stl10__overlap_025|cifar100_coarse,760.0862426757812,3,2,41.6395263671875
seed20260833_overlap0.25_k5,20260833,0.25,5,centroid_ff,tiny_imagenet|rendered_sst2|semeion|retinamnist|pathmnist,438.9520568847656,5,0,362.7737121582031
seed20260833_overlap0.25_k5,20260833,0.25,5,family_rank,tiny_imagenet|stl10|cifar100_coarse|cifar100__overlap_025|cifar10__overlap_025,801.7257690429688,5,0,0.0
seed20260833_overlap0.25_k5,20260833,0.25,5,random_0,bloodmnist|cifar100_coarse|cifar100_coarse__overlap_025|pneumoniamnist|tiny_imagenet__overlap_025,648.1221313476562,4,1,153.6036376953125
seed20260833_overlap0.25_k5,20260833,0.25,5,random_1,cifar100__overlap_025|cifar100_coarse__overlap_025|cifar10__overlap_025|octmnist|retinamnist,608.5501708984375,5,0,193.17559814453125
seed20260833_overlap0.25_k5,20260833,0.25,5,random_2,cifar100|fashion_mnist|mnist|organamnist|tiny_imagenet,664.2864990234375,5,0,137.43927001953125
seed20260833_overlap0.25_k5,20260833,0.25,5,random_3,breastmnist|fashion_mnist|pneumoniamnist|stl10|tissuemnist,547.9258422851562,5,0,253.7999267578125
seed20260833_overlap0.25_k5,20260833,0.25,5,random_4,breastmnist|cifar100_coarse|cifar100_coarse__overlap_025|organcmnist|stl10,651.119384765625,4,1,150.60638427734375
seed20260833_overlap0.50_k3,20260833,0.5,3,collapse,tiny_imagenet|stl10|tiny_imagenet__overlap_050,470.6264343261719,2,1,78.60183715820312
seed20260833_overlap0.50_k3,20260833,0.5,3,r_sum,tiny_imagenet|tiny_imagenet__overlap_050|stl10,470.6264343261719,2,1,78.60183715820312
seed20260833_overlap0.50_k3,20260833,0.5,3,centroid_ff,tiny_imagenet|rendered_sst2|semeion,297.60382080078125,3,0,251.62445068359375
seed20260833_overlap0.50_k3,20260833,0.5,3,family_rank,tiny_imagenet|stl10|cifar100_coarse,549.228271484375,3,0,0.0
seed20260833_overlap0.50_k3,20260833,0.5,3,random_0,bloodmnist|organcmnist|organcmnist__overlap_050,302.828369140625,2,1,246.39990234375
seed20260833_overlap0.50_k3,20260833,0.5,3,random_1,cifar100__overlap_050|organcmnist__overlap_050|pneumoniamnist,408.5934143066406,3,0,140.63485717773438
seed20260833_overlap0.50_k3,20260833,0.5,3,random_2,cifar10|cifar100|svhn,462.5378112792969,3,0,86.69046020507812
seed20260833_overlap0.50_k3,20260833,0.5,3,random_3,cifar10|rendered_sst2|semeion,272.3078308105469,3,0,276.9204406738281
