config,construction_seed,overlap,budget,method,selected,merged_reff,unique_families,duplicate_count,rank_gap_vs_family
seed20260831_overlap0.25_k3,20260831,0.25,3,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet,514.2105712890625,2,1,34.37823486328125
seed20260831_overlap0.25_k3,20260831,0.25,3,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10,514.2105712890625,2,1,34.37823486328125
seed20260831_overlap0.25_k3,20260831,0.25,3,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion,300.0307922363281,3,0,248.55801391601562
seed20260831_overlap0.25_k3,20260831,0.25,3,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025,548.5888061523438,3,0,0.0
seed20260831_overlap0.25_k3,20260831,0.25,3,random_0,dermamnist|mnist|octmnist,294.2501220703125,3,0,254.33868408203125
seed20260831_overlap0.25_k3,20260831,0.25,3,random_1,pathmnist|retinamnist|tiny_imagenet,369.2733459472656,3,0,179.31546020507812
seed20260831_overlap0.25_k3,20260831,0.25,3,random_2,breastmnist|stl10|tiny_imagenet__overlap_025,473.3133239746094,3,0,75.27548217773438
seed20260831_overlap0.25_k3,20260831,0.25,3,random_3,cifar100_coarse|cifar100_coarse__overlap_025|tiny_imagenet,491.927490234375,2,1,56.66131591796875
seed20260831_overlap0.25_k3,20260831,0.25,3,random_4,cifar100_coarse|svhn|usps,374.4768371582031,3,0,174.11196899414062
seed20260831_overlap0.25_k5,20260831,0.25,5,collapse,tiny_imagenet__overlap_025|stl10|tiny_imagenet|cifar100_coarse|stl10__overlap_025,757.5552368164062,3,2,42.7156982421875
seed20260831_overlap0.25_k5,20260831,0.25,5,r_sum,tiny_imagenet__overlap_025|tiny_imagenet|stl10|stl10__overlap_025|cifar100_coarse__overlap_025,758.1189575195312,3,2,42.1519775390625
seed20260831_overlap0.25_k5,20260831,0.25,5,centroid_ff,tiny_imagenet__overlap_025|rendered_sst2|semeion|retinamnist|pathmnist,438.6614074707031,5,0,361.6095275878906
seed20260831_overlap0.25_k5,20260831,0.25,5,family_rank,tiny_imagenet__overlap_025|stl10|cifar100_coarse__overlap_025|cifar100|cifar10__overlap_025,800.2709350585938,5,0,0.0
seed20260831_overlap0.25_k5,20260831,0.25,5,random_0,pneumoniamnist|retinamnist|tiny_imagenet__overlap_025|tissuemnist|usps,493.2035827636719,5,0,307.0673522949219
seed20260831_overlap0.25_k5,20260831,0.25,5,random_1,cifar100_coarse|organcmnist|pathmnist|stl10|tissuemnist,635.5062866210938,5,0,164.7646484375
seed20260831_overlap0.25_k5,20260831,0.25,5,random_2,cifar100|dermamnist|pathmnist|stl10|usps,583.09130859375,5,0,217.17962646484375
seed20260831_overlap0.25_k5,20260831,0.25,5,random_3,cifar100|cifar10__overlap_025|retinamnist|stl10__overlap_025|tiny_imagenet__overlap_025,726.5230102539062,5,0,73.7479248046875
seed20260831_overlap0.25_k5,20260831,0.25,5,random_4,cifar100__overlap_025|cifar100_coarse|rendered_sst2|semeion|usps,482.5634460449219,5,0,317.7074890136719
seed20260831_overlap0.50_k3,20260831,0.5,3,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet,470.6343078613281,2,1,78.72726440429688
seed20260831_overlap0.50_k3,20260831,0.5,3,r_sum,tiny_imagenet__overlap_050|tiny_imagenet|stl10__overlap_050,470.6343078613281,2,1,78.72726440429688
seed20260831_overlap0.50_k3,20260831,0.5,3,centroid_ff,tiny_imagenet__overlap_050|rendered_sst2|semeion,300.3538513183594,3,0,249.00772094726562
seed20260831_overlap0.50_k3,20260831,0.5,3,family_rank,tiny_imagenet__overlap_050|stl10__overlap_050|cifar100_coarse__overlap_050,549.361572265625,3,0,0.0
seed20260831_overlap0.50_k3,20260831,0.5,3,random_0,mnist|retinamnist|tissuemnist,274.5347900390625,3,0,274.8267822265625
seed20260831_overlap0.50_k3,20260831,0.5,3,random_1,mnist|organsmnist|stl10__overlap_050,426.127685546875,3,0,123.23388671875
seed20260831_overlap0.50_k3,20260831,0.5,3,random_2,mnist|organsmnist|svhn,358.97442626953125,3,0,190.38714599609375
seed20260831_overlap0.50_k3,20260831,0.5,3,random_3,organcmnist__overlap_050|organsmnist|pathmnist,349.79925537109375,3,0,199.56231689453125
seed20260831_overlap0.50_k3,20260831,0.5,3,random_4,bloodmnist|mnist|svhn,333.7016906738281,3,0,215.65988159179688
seed20260831_overlap0.50_k5,20260831,0.5,5,collapse,tiny_imagenet__overlap_050|stl10__overlap_050|tiny_imagenet|cifar100_coarse|stl10,685.658203125,3,2,113.82208251953125
seed20260831_overlap0.50_k5,20260831,0.5,5,r_sum,tiny_imagenet__overlap_050|tiny_imagenet|stl10__overlap_050|stl10|cifar100_coarse__overlap_050,685.9878540039062,3,2,113.492431640625
seed20260831_overlap0.50_k5,20260831,0.5,5,centroid_ff,tiny_imagenet__overlap_050|rendered_sst2|semeion|retinamnist|pathmnist,438.1933288574219,5,0,361.2869567871094
seed20260831_overlap0.50_k5,20260831,0.5,5,family_rank,tiny_imagenet__overlap_050|stl10__overlap_050|cifar100_coarse__overlap_050|cifar100|cifar10__overlap_050,799.4802856445312,5,0,0.0
seed20260831_overlap0.50_k5,20260831,0.5,5,random_0,organcmnist__overlap_050|retinamnist|stl10|tiny_imagenet|tissuemnist,630.67138671875,5,0,168.80889892578125
seed20260831_overlap0.50_k5,20260831,0.5,5,random_1,cifar100_coarse__overlap_050|fashion_mnist|semeion|tiny_imagenet|usps,597.9863891601562,5,0,201.493896484375
seed20260831_overlap0.50_k5,20260831,0.5,5,random_2,cifar100__overlap_050|organsmnist|rendered_sst2|tiny_imagenet|usps,556.141357421875,5,0,243.33892822265625
seed20260831_overlap0.50_k5,20260831,0.5,5,random_3,breastmnist|cifar100_coarse|octmnist|organsmnist|pathmnist,523.1098022460938,5,0,276.3704833984375
seed20260831_overlap0.50_k5,20260831,0.5,5,random_4,cifar100_coarse|cifar10__overlap_050|organcmnist|organsmnist|semeion,606.6432495117188,5,0,192.8370361328125
seed20260831_overlap0.75_k3,20260831,0.75,3,collapse,tiny_imagenet__overlap_075|stl10__overlap_075|tiny_imagenet,424.75994873046875,2,1,123.17950439453125
seed20260831_overlap0.75_k3,20260831,0.75,3,r_sum,tiny_imagenet__overlap_075|tiny_imagenet|stl10__overlap_075,424.75994873046875,2,1,123.17950439453125
seed20260831_overlap0.75_k3,20260831,0.75,3,centroid_ff,tiny_imagenet__overlap_075|rendered_sst2|semeion,297.3647766113281,3,0,250.57467651367188
seed20260831_overlap0.75_k3,20260831,0.75,3,family_rank,tiny_imagenet__overlap_075|stl10__overlap_075|cifar100_coarse__overlap_075,547.939453125,3,0,0.0
seed20260831_overlap0.75_k3,20260831,0.75,3,random_0,cifar100|organsmnist|svhn,428.0405578613281,3,0,119.89889526367188
seed20260831_overlap0.75_k3,20260831,0.75,3,random_1,rendered_sst2|stl10__overlap_075|tiny_imagenet,400.5659484863281,3,0,147.37350463867188
seed20260831_overlap0.75_k3,20260831,0.75,3,random_2,dermamnist|fashion_mnist|organcmnist,353.650634765625,3,0,194.288818359375
seed20260831_overlap0.75_k3,20260831,0.75,3,random_3,breastmnist|rendered_sst2|usps,189.3948516845703,3,0,358.5446014404297
seed20260831_overlap0.75_k3,20260831,0.75,3,random_4,bloodmnist|pathmnist|semeion,286.1651306152344,3,0,261.7743225097656
seed20260831_overlap0.75_k5,20260831,0.75,5,collapse,tiny_imagenet__overlap_075|stl10__overlap_075|tiny_imagenet|cifar100_coarse__overlap_075|stl10,611.2513427734375,3,2,186.2677001953125
seed20260831_overlap0.75_k5,20260831,0.75,5,r_sum,tiny_imagenet__overlap_075|tiny_imagenet|stl10__overlap_075|stl10|cifar100_coarse__overlap_075,611.2513427734375,3,2,186.2677001953125
