encoder,target,candidate_sources,primary_oracles,distinct_primary_oracles,shared_tie_optimal_sources,has_shared_tie_optimal_source,primary_oracle_families,distinct_primary_oracle_families,shared_tie_optimal_families,has_shared_tie_optimal_family,pairwise_spearman_mean,pairwise_spearman_min,top1_margin_mean,top1_margin_min,utility_range_mean,source_split_std_mean
resnet50,dtd,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.964935064935065,0.951948051948052,0.004414887426666662,0.003723399660000015,0.06872341314666663,0.0010498008910857846
resnet50,eurosat,21,20260905:tiny_imagenet|20260906:dermamnist|20260907:dermamnist,2,,False,20260905:tiny_imagenet|20260906:dermamnist|20260907:dermamnist,2,,False,0.9584415584415584,0.9441558441558442,0.000839997466666779,0.0003200013600000995,0.012946667113333329,0.000599218175980017
resnet50,flowers102,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.8718614718614718,0.8493506493506493,0.0041830047066666225,0.0007843136999999833,0.03601307948666662,0.003049135023881679
resnet50,food101,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:stl10,2,,False,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:stl10,2,,False,0.9458874458874459,0.938961038961039,0.00045333763999999555,2.4599999814967077e-09,0.06102667259333333,0.001324833382178972
resnet50,gtsrb,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9722943722943723,0.9688311688311688,0.007986669040000005,0.007320004859999951,0.04362666880666666,0.0012628513127432004
resnet50,oxford_pets,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9406926406926407,0.9246753246753247,0.003442034313333379,0.0020652199000000815,0.04478260446000001,0.0007836840061820232
vit_b16,beans,21,20260905:stl10|20260906:stl10|20260907:fashion_mnist,2,,False,20260905:stl10|20260906:stl10|20260907:fashion_mnist,2,,False,0.7103896103896105,0.6454545454545455,0.003675048720000018,0.0005802613800000023,0.028239839333333332,0.002642831665064599
vit_b16,dtd,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:cifar100,2,,False,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:cifar100_shared_images,2,,False,0.9251082251082251,0.9246753246753247,0.0009751717333333539,0.0002127528200001061,0.025886524520000027,0.00114513834852811
vit_b16,eurosat,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9813852813852814,0.9766233766233766,0.0013200117066666979,0.0011600156000000084,0.018920008120000092,0.0005288797586250794
vit_b16,flowers102,21,20260905:stl10|20260906:tiny_imagenet|20260907:stl10,2,,False,20260905:stl10|20260906:tiny_imagenet|20260907:stl10,2,,False,0.7841548035681462,0.7623376623376623,0.002941186406666666,0.00019608018000005778,0.04954249300666665,0.002896738891054202
vit_b16,food101,21,20260905:cifar100|20260906:cifar100|20260907:tiny_imagenet,2,,False,20260905:cifar100_shared_images|20260906:cifar100_shared_images|20260907:tiny_imagenet,2,,False,0.9125541125541125,0.9064935064935065,0.0016133327600000118,0.0003200068399999978,0.03566667021333334,0.0013939508356414544
vit_b16,gtsrb,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.9640692640692641,0.9597402597402598,0.005573328219999969,0.004440000119999898,0.042826664493333354,0.0008462711516448634
vit_b16,oxford_pets,21,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,20260905:tiny_imagenet|20260906:tiny_imagenet|20260907:tiny_imagenet,1,tiny_imagenet,True,0.8987012987012987,0.8792207792207792,0.0016666669999999921,0.0013043516999999838,0.013369568193333384,0.000698395351445656
