encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_examples,target_validation_protocol,target_cv_folds,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
vit_b16,bloodmnist,medical,2,gtsrb,0.6178000110268593,0.006252937972793946,0.6096361876|0.6139303446|0.6213786006|0.6277666092|0.6164802313,5000,stratified_5_fold,5,20260907,0.5069999694824219,500,600,256,128,0.01,1.1910028420388699,0.036373475566506386,npu:6
vit_b16,bloodmnist,medical,2,oxford_pets,0.9103260769306317,0.0032412007831376893,0.9066305161|0.9157608747|0.9103261232|0.9074830413|0.9114440680,3680,stratified_5_fold,5,20260907,0.8964295387268066,500,600,256,128,0.01,1.1910028420388699,0.03571726568043232,npu:6
vit_b16,bloodmnist,medical,3,beans,0.8529980915888596,0.014189357498155138,0.8701924086|0.8357487917|0.8695652485|0.8446601629|0.8446602225,1034,stratified_5_fold,5,20260907,0.8515625,500,600,256,128,0.01,1.1983402762562037,0.0446827057749033,npu:6
vit_b16,bloodmnist,medical,3,dtd,0.5837766289710998,0.009771891699108977,0.5784574747|0.5757979155|0.5904255509|0.5997340679|0.5744681358,3760,stratified_5_fold,5,20260907,0.6058510541915894,500,600,256,128,0.01,1.1983402762562037,0.034976011142134666,npu:6
vit_b16,bloodmnist,medical,3,eurosat,0.8980000066161156,0.0032808906461670537,0.9025844336|0.9001996517|0.8928928971|0.8966901302|0.8975903392,5000,stratified_5_fold,5,20260907,0.897777795791626,500,600,256,128,0.01,1.1983402762562037,0.03455342911183834,npu:6
vit_b16,bloodmnist,medical,3,flowers102,0.6852941989898682,0.01791730081498454,0.7156863213|0.6813726425|0.6911765337|0.6764706969|0.6617648005,1020,stratified_5_fold,5,20260907,0.7026000022888184,500,600,256,128,0.01,1.1983402762562037,0.03343084268271923,npu:6
vit_b16,bloodmnist,medical,3,food101,0.42400002253055574,0.00718579962724219,0.4108911157|0.4287129045|0.4297029972|0.4217821956|0.4291666746,5000,stratified_5_fold,5,20260907,0.45799994468688965,500,600,256,128,0.01,1.1983402762562037,0.03774346970021725,npu:6
vit_b16,bloodmnist,medical,3,gtsrb,0.6184000275492668,0.012934496500382026,0.6066863537|0.6079602242|0.6103896499|0.6287726164|0.6388607025,5000,stratified_5_fold,5,20260907,0.4883999824523926,500,600,256,128,0.01,1.1983402762562037,0.0348955225199461,npu:6
vit_b16,bloodmnist,medical,3,oxford_pets,0.9133152229792398,0.002243288489148395,0.9133964181|0.9171196222|0.9130434990|0.9129252434|0.9100816846,3680,stratified_5_fold,5,20260907,0.899972677230835,500,600,256,128,0.01,1.1983402762562037,0.03326120600104332,npu:6
vit_b16,bloodmnist,medical,4,beans,0.8268859004259571,0.024572238204691232,0.8413462043|0.8309178948|0.8164250851|0.7864077687|0.8592233658,1034,stratified_5_fold,5,20260907,0.78125,500,600,256,128,0.01,1.2037657871842384,0.032736651599407196,npu:6
vit_b16,bloodmnist,medical,4,dtd,0.6007978916168213,0.012682584597831613,0.6090425849|0.5811170340|0.6010638475|0.5944148898|0.6183511019,3760,stratified_5_fold,5,20260907,0.612765908241272,500,600,256,128,0.01,1.2037657871842384,0.03362422436475754,npu:6
vit_b16,bloodmnist,medical,4,eurosat,0.889199983561039,0.006778924983069492,0.8797216415|0.8992016315|0.8888888955|0.8846539259|0.8935742378,5000,stratified_5_fold,5,20260907,0.8925925493240356,500,600,256,128,0.01,1.2037657871842384,0.03452501818537712,npu:6
vit_b16,bloodmnist,medical,4,flowers102,0.6862745881080627,0.033677583212218413,0.7009804845|0.7401961684|0.6862745881|0.6617647409|0.6421569586,1020,stratified_5_fold,5,20260907,0.7067999839782715,500,600,256,128,0.01,1.2037657871842384,0.03626531548798084,npu:6
vit_b16,bloodmnist,medical,4,food101,0.42360001826286314,0.00882109946676492,0.4079208076|0.4297029674|0.4316831827|0.4287129045|0.4197916985,5000,stratified_5_fold,5,20260907,0.45799997448921204,500,600,256,128,0.01,1.2037657871842384,0.038883185014128685,npu:6
vit_b16,bloodmnist,medical,4,gtsrb,0.6167999943614006,0.006040321584667158,0.6096361876|0.6179103851|0.6153846383|0.6136820912|0.6276704073,5000,stratified_5_fold,5,20260907,0.49219998717308044,500,600,256,128,0.01,1.2037657871842384,0.03440407104790211,npu:6
vit_b16,bloodmnist,medical,4,oxford_pets,0.9116847833537537,0.009172803685542217,0.9079836607|0.9103261232|0.9252717495|0.9170068502|0.8978201747,3680,stratified_5_fold,5,20260907,0.8934314250946045,500,600,256,128,0.01,1.2037657871842384,0.03161466121673584,npu:6
vit_b16,breastmnist,medical,0,beans,0.8094777640683047,0.021143825470722917,0.8076922894|0.7777777910|0.7971014380|0.8300971389|0.8349514604,1034,stratified_5_fold,5,20260907,0.859375,500,600,256,128,0.01,1.2040001172572374,0.0317627489566803,npu:6
vit_b16,breastmnist,medical,0,dtd,0.5909574747085571,0.010252302374506637,0.5784574747|0.5797872543|0.6050531864|0.5957447290|0.5957447290,3760,stratified_5_fold,5,20260907,0.5994680523872375,500,600,256,128,0.01,1.2040001172572374,0.03303988464176655,npu:6
vit_b16,breastmnist,medical,0,eurosat,0.8829999934315681,0.00579131495750529,0.8807156086|0.8892216086|0.8898898959|0.8746238947|0.8805220723,5000,stratified_5_fold,5,20260907,0.8822222352027893,500,600,256,128,0.01,1.2040001172572374,0.03264984302222729,npu:6
vit_b16,breastmnist,medical,0,flowers102,0.6725490927696228,0.019460236816804213,0.6862745881|0.6911765337|0.6813726425|0.6666667461|0.6372549534,1020,stratified_5_fold,5,20260907,0.6957999467849731,500,600,256,128,0.01,1.2040001172572374,0.03561203368008137,npu:6
vit_b16,breastmnist,medical,0,food101,0.42080002212524414,0.010791636716893845,0.4079208076|0.4168317020|0.4405940771|0.4178218246|0.4208333492,5000,stratified_5_fold,5,20260907,0.47099998593330383,500,600,256,128,0.01,1.2040001172572374,0.038434211164712906,npu:6
vit_b16,breastmnist,medical,0,gtsrb,0.6148000188469886,0.010852922468976709,0.6037365198|0.6000000238|0.6203796268|0.6257545352|0.6246185303,5000,stratified_5_fold,5,20260907,0.5083999633789062,500,600,256,128,0.01,1.2040001172572374,0.03626311384141445,npu:6
vit_b16,breastmnist,medical,0,oxford_pets,0.9073369604575893,0.005508325143787147,0.9039241672|0.9048913717|0.9116847515|0.9156463146|0.9005449414,3680,stratified_5_fold,5,20260907,0.894794225692749,500,600,256,128,0.01,1.2040001172572374,0.03291252441704273,npu:6
vit_b16,breastmnist,medical,1,beans,0.8365570822121788,0.013731847395438122,0.8317308426|0.8502415419|0.8550724983|0.8252427578|0.8203883171,1034,stratified_5_fold,5,20260907,0.7890625,500,600,256,128,0.01,1.1503787599503994,0.03854341246187687,npu:6
vit_b16,breastmnist,medical,1,dtd,0.5989362120628356,0.0071660760438820486,0.5930851102|0.5957447290|0.5957447290|0.6130319834|0.5970745087,3760,stratified_5_fold,5,20260907,0.6085106134414673,500,600,256,128,0.01,1.1503787599503994,0.034138329327106476,npu:6
vit_b16,breastmnist,medical,1,eurosat,0.889399996316433,0.007527527349894478,0.8906559944|0.9021956325|0.8818818927|0.8816449642|0.8905622363,5000,stratified_5_fold,5,20260907,0.8918518424034119,500,600,256,128,0.01,1.1503787599503994,0.03907277435064316,npu:6
vit_b16,breastmnist,medical,1,flowers102,0.6843137860298156,0.03879679934780272,0.6960784793|0.7107843757|0.6960785389|0.7107843757|0.6078431606,1020,stratified_5_fold,5,20260907,0.6990000009536743,500,600,256,128,0.01,1.1503787599503994,0.04125525429844856,npu:6
vit_b16,breastmnist,medical,1,food101,0.42640002256631854,0.014583291773426757,0.4049504995|0.4217821956|0.4475247860|0.4366336763|0.4208333790,5000,stratified_5_fold,5,20260907,0.4665999710559845,500,600,256,128,0.01,1.1503787599503994,0.03896436654031277,npu:6
vit_b16,breastmnist,medical,1,gtsrb,0.6090000108599662,0.013572249439362938,0.6066863537|0.5870646238|0.6153846383|0.6287726164|0.6073246002,5000,stratified_5_fold,5,20260907,0.5080000162124634,500,600,256,128,0.01,1.1503787599503994,0.0355377122759819,npu:6
vit_b16,breastmnist,medical,1,oxford_pets,0.9114130483211382,0.007341859164586401,0.9106900692|0.9035326242|0.9103261232|0.9251701236|0.9073569179,3680,stratified_5_fold,5,20260907,0.8997001647949219,500,600,256,128,0.01,1.1503787599503994,0.03738150745630264,npu:6
vit_b16,breastmnist,medical,2,beans,0.8423597869144418,0.026938797232682436,0.8750001192|0.8019323945|0.8550724387|0.8203883171|0.8592233062,1034,stratified_5_fold,5,20260907,0.8515625,500,600,256,128,0.01,1.1654160916805267,0.041497332975268364,npu:6
vit_b16,breastmnist,medical,2,dtd,0.5957447171211243,0.008979783215744318,0.5997340679|0.5944149494|0.6103724241|0.5837765932|0.5904255509,3760,stratified_5_fold,5,20260907,0.6085106134414673,500,600,256,128,0.01,1.1654160916805267,0.043005578219890594,npu:6
vit_b16,breastmnist,medical,2,eurosat,0.887999987757206,0.0033765247944031007,0.8896619678|0.8822355270|0.8878878951|0.8876630068|0.8925702572,5000,stratified_5_fold,5,20260907,0.8818519115447998,500,600,256,128,0.01,1.1654160916805267,0.048227109014987946,npu:6
vit_b16,breastmnist,medical,2,flowers102,0.6735294818878174,0.03543002654817206,0.6862745881|0.7107843757|0.6568627954|0.7009804845|0.6127451658,1020,stratified_5_fold,5,20260907,0.6913999319076538,500,600,256,128,0.01,1.1654160916805267,0.04800279438495636,npu:6
vit_b16,breastmnist,medical,2,food101,0.43280001944303514,0.01307140805436276,0.4148514867|0.4207921028|0.4425742924|0.4495049715|0.4364583492,5000,stratified_5_fold,5,20260907,0.47519999742507935,500,600,256,128,0.01,1.1654160916805267,0.04478296637535095,npu:6
vit_b16,breastmnist,medical,2,gtsrb,0.6224000094413757,0.011905444039188712,0.6145526171|0.6089552045|0.6183816195|0.6277666092|0.6429298520,5000,stratified_5_fold,5,20260907,0.5239999890327454,500,600,256,128,0.01,1.1654160916805267,0.03937019594013691,npu:6
vit_b16,breastmnist,medical,2,oxford_pets,0.9133152020204326,0.0067047645785152194,0.9161027670|0.9252717495|0.9089673758|0.9074830413|0.9087193012,3680,stratified_5_fold,5,20260907,0.8988825082778931,500,600,256,128,0.01,1.1654160916805267,0.03638831526041031,npu:6
vit_b16,breastmnist,medical,3,beans,0.8191489621103386,0.022804275578036666,0.8509616256|0.8212560415|0.8357487917|0.7912621498|0.7961165309,1034,stratified_5_fold,5,20260907,0.828125,500,600,256,128,0.01,1.173140786588192,0.044241514056921005,npu:6
vit_b16,breastmnist,medical,3,dtd,0.6000000238418579,0.008634387698648383,0.5837766528|0.6063829660|0.6063830256|0.6050531864|0.5984042883,3760,stratified_5_fold,5,20260907,0.6138297319412231,500,600,256,128,0.01,1.173140786588192,0.05843458138406277,npu:6
vit_b16,breastmnist,medical,3,eurosat,0.8883999807238578,0.005996599556564088,0.8827037215|0.8822355270|0.8878878951|0.8906719685|0.8985943794,5000,stratified_5_fold,5,20260907,0.8822222352027893,500,600,256,128,0.01,1.173140786588192,0.04466469772160053,npu:6
vit_b16,breastmnist,medical,3,flowers102,0.6980392813682557,0.038796788804363574,0.6323530078|0.7303922176|0.7156863213|0.7352942228|0.6764706373,1020,stratified_5_fold,5,20260907,0.7151999473571777,500,600,256,128,0.01,1.173140786588192,0.04600708931684494,npu:6
vit_b16,breastmnist,medical,3,food101,0.4216000167131424,0.010951054929731575,0.4019802213|0.4326732755|0.4287128747|0.4267326891|0.4177083671,5000,stratified_5_fold,5,20260907,0.4657999873161316,500,600,256,128,0.01,1.173140786588192,0.063750971108675,npu:6
vit_b16,breastmnist,medical,3,gtsrb,0.6118000131726264,0.01024424360578792,0.6116027832|0.5940298438|0.6183816195|0.6106640100|0.6246185303,5000,stratified_5_fold,5,20260907,0.5108000040054321,500,600,256,128,0.01,1.173140786588192,0.047835156321525574,npu:6
vit_b16,breastmnist,medical,3,oxford_pets,0.913043502005546,0.009883664305805659,0.9282814264|0.9048913717|0.9076087475|0.9210884571|0.9032697678,3680,stratified_5_fold,5,20260907,0.9016079902648926,500,600,256,128,0.01,1.173140786588192,0.05748515948653221,npu:6
vit_b16,breastmnist,medical,4,beans,0.8239845459419708,0.015318211670751317,0.8269230723|0.8067632914|0.8502415419|0.8106796741|0.8252427578,1034,stratified_5_fold,5,20260907,0.78125,500,600,256,128,0.01,1.289735283702612,0.04397951066493988,npu:6
vit_b16,breastmnist,medical,4,dtd,0.596010684967041,0.010245420050309558,0.5970745087|0.5984042883|0.6117022038|0.5930851698|0.5797872543,3760,stratified_5_fold,5,20260907,0.6042553186416626,500,600,256,128,0.01,1.289735283702612,0.045789169147610664,npu:6
vit_b16,breastmnist,medical,4,eurosat,0.8873999702095985,0.008624043049626013,0.8757454753|0.8932135701|0.8828828931|0.8846539259|0.9006023407,5000,stratified_5_fold,5,20260907,0.8892592787742615,500,600,256,128,0.01,1.289735283702612,0.044692857190966606,npu:6
vit_b16,breastmnist,medical,4,flowers102,0.7147059679031372,0.02947703886377939,0.7205883265|0.7500000596|0.6911765337|0.7401961684|0.6715687513,1020,stratified_5_fold,5,20260907,0.7065999507904053,500,600,256,128,0.01,1.289735283702612,0.0471139345318079,npu:6
vit_b16,breastmnist,medical,4,food101,0.4242000192403793,0.015152220344213816,0.3940594196|0.4306930900|0.4306930900|0.4326732755|0.4333333671,5000,stratified_5_fold,5,20260907,0.4607999920845032,500,600,256,128,0.01,1.289735283702612,0.048958560451865196,npu:6
vit_b16,breastmnist,medical,4,gtsrb,0.6249999874472618,0.013019205592994553,0.6175024509|0.6109452248|0.6213786006|0.6267606020|0.6490335464,5000,stratified_5_fold,5,20260907,0.5091999769210815,500,600,256,128,0.01,1.289735283702612,0.046565450727939606,npu:6
vit_b16,breastmnist,medical,4,oxford_pets,0.9122282533056062,0.007975039143721475,0.9052773118|0.9225543737|0.9116848111|0.9197279215|0.9019073248,3680,stratified_5_fold,5,20260907,0.9018806219100952,500,600,256,128,0.01,1.289735283702612,0.04079207219183445,npu:6
vit_b16,cifar10,general_vision,0,beans,0.8259187801894182,0.025476124982841637,0.8413462639|0.7826086283|0.8212560415|0.8252427578|0.8592233062,1034,stratified_5_fold,5,20260907,0.8203125,500,600,256,128,0.01,1.1957844886928797,0.04729514382779598,npu:6
vit_b16,cifar10,general_vision,0,dtd,0.6034574866294861,0.008510648459209624,0.6050532460|0.5890957713|0.6023936272|0.6050532460|0.6156915426,3760,stratified_5_fold,5,20260907,0.6053191423416138,500,600,256,128,0.01,1.1957844886928797,0.047330912202596664,npu:6
vit_b16,cifar10,general_vision,0,eurosat,0.8847999697208404,0.005126692067166921,0.8866798878|0.8752495050|0.8848848939|0.8866599202|0.8905621767,5000,stratified_5_fold,5,20260907,0.8896296620368958,500,600,256,128,0.01,1.1957844886928797,0.046355949714779854,npu:6
vit_b16,cifar10,general_vision,0,flowers102,0.6666667342185975,0.02593875256761066,0.6813726425|0.6911765337|0.6862745881|0.6519608498|0.6225490570,1020,stratified_5_fold,5,20260907,0.6973999738693237,500,600,256,128,0.01,1.1957844886928797,0.048385417088866234,npu:6
