construction,readout,metric,method,oracle_retained,absolute_omission
original,logistic,brier_score,domain_moment,0.26111111111111107,0.0034002976210408607
original,logistic,brier_score,mean_matching,0.7527777777777778,0.0008283029936657027
original,logistic,brier_score,random,0.45041666666666663,0.0026357948760945423
original,logistic,brier_score,second_moment_mmd,0.7611111111111111,0.0005520783570265006
original,logistic,brier_score,target_a,0.7722222222222221,0.0008124477009998043
original,logistic,error_rate,domain_moment,0.3166666666666667,0.00816107855902778
original,logistic,error_rate,mean_matching,0.6722222222222222,0.0035807291666666665
original,logistic,error_rate,random,0.45375000000000004,0.005713297526041668
original,logistic,error_rate,second_moment_mmd,0.7166666666666667,0.0026068793402777776
original,logistic,error_rate,target_a,0.7111111111111112,0.0028632269965277774
original,logistic,nll,domain_moment,0.38888888888888884,0.0241048728068614
original,logistic,nll,mean_matching,0.7555555555555555,0.013919492428426132
original,logistic,nll,random,0.4527777777777778,0.029053316269606028
original,logistic,nll,second_moment_mmd,0.7527777777777778,0.013348798335497084
original,logistic,nll,target_a,0.7611111111111111,0.010430913589508805
original,ridge,brier_score,domain_moment,0.2583333333333333,5.421864360420574e-05
original,ridge,brier_score,mean_matching,0.7833333333333333,1.1306870362308275e-05
original,ridge,brier_score,random,0.45152777777777775,4.538970544737441e-05
original,ridge,brier_score,second_moment_mmd,0.7722222222222221,7.670746618392165e-06
original,ridge,brier_score,target_a,0.775,1.2657665820224133e-05
original,ridge,error_rate,domain_moment,0.325,0.008619520399305554
original,ridge,error_rate,mean_matching,0.6777777777777777,0.0029215494791666667
original,ridge,error_rate,random,0.45625000000000004,0.005641004774305556
original,ridge,error_rate,second_moment_mmd,0.6833333333333335,0.0025227864583333335
original,ridge,error_rate,target_a,0.6833333333333332,0.0028157552083333333
original,ridge,nll,domain_moment,0.23611111111111113,0.0022041937855744277
original,ridge,nll,mean_matching,0.8055555555555555,0.00034812546706683
original,ridge,nll,random,0.4413888888888889,0.001742170383334167
original,ridge,nll,second_moment_mmd,0.7916666666666666,0.00026864565579118126
original,ridge,nll,target_a,0.8000000000000002,0.0003858789240041953
hash_partition,logistic,brier_score,domain_moment,0.3833333333333333,0.0014130026026812636
hash_partition,logistic,brier_score,mean_matching,0.5777777777777778,0.0006721248032289131
hash_partition,logistic,brier_score,random,0.45305555555555554,0.0008127359570038514
hash_partition,logistic,brier_score,second_moment_mmd,0.5499999999999999,0.000676302791499445
hash_partition,logistic,brier_score,target_a,0.5583333333333333,0.0007242704180367992
hash_partition,logistic,error_rate,domain_moment,0.5055555555555555,0.004188368055555555
hash_partition,logistic,error_rate,mean_matching,0.38611111111111107,0.005324978298611112
hash_partition,logistic,error_rate,random,0.45749999999999996,0.0038871256510416667
hash_partition,logistic,error_rate,second_moment_mmd,0.3527777777777778,0.005551486545138889
hash_partition,logistic,error_rate,target_a,0.41944444444444445,0.004823133680555556
hash_partition,logistic,nll,domain_moment,0.4277777777777778,0.012948151453273089
hash_partition,logistic,nll,mean_matching,0.5277777777777778,0.00868019869308202
hash_partition,logistic,nll,random,0.4476388888888889,0.00839546308875347
hash_partition,logistic,nll,second_moment_mmd,0.5194444444444444,0.00809545363985737
hash_partition,logistic,nll,target_a,0.5472222222222222,0.008326540320388006
hash_partition,ridge,brier_score,domain_moment,0.375,2.631128385345386e-05
hash_partition,ridge,brier_score,mean_matching,0.5805555555555554,1.3782383639280674e-05
hash_partition,ridge,brier_score,random,0.45763888888888893,1.708702140021402e-05
hash_partition,ridge,brier_score,second_moment_mmd,0.6027777777777777,1.0494034603801703e-05
hash_partition,ridge,brier_score,target_a,0.6444444444444445,1.2617502634749514e-05
hash_partition,ridge,error_rate,domain_moment,0.4666666666666666,0.0044854058159722225
hash_partition,ridge,error_rate,mean_matching,0.3638888888888889,0.005769856770833332
hash_partition,ridge,error_rate,random,0.45236111111111116,0.003951483832465278
hash_partition,ridge,error_rate,second_moment_mmd,0.37222222222222223,0.0051161024305555565
hash_partition,ridge,error_rate,target_a,0.40277777777777785,0.004960123697916667
hash_partition,ridge,nll,domain_moment,0.3666666666666667,0.0010462754134645345
hash_partition,ridge,nll,mean_matching,0.5555555555555556,0.0005785969198962398
hash_partition,ridge,nll,random,0.45861111111111114,0.0006754993768293191
hash_partition,ridge,nll,second_moment_mmd,0.5805555555555556,0.0004561195607520145
hash_partition,ridge,nll,target_a,0.65,0.000502946161985787
