construction,readout,metric,method,shortlist_size,absolute_gap_threshold,failure_rate,worst_domain_failure_rate,domain_count
original,logistic,error_rate,domain_moment,10,0.005,0.5,1.0,6
original,logistic,error_rate,domain_moment,10,0.01,0.5,1.0,6
original,logistic,error_rate,domain_moment,10,0.02,0.25,1.0,6
original,logistic,error_rate,domain_moment,25,0.005,0.5,1.0,6
original,logistic,error_rate,domain_moment,25,0.01,0.4166666666666667,1.0,6
original,logistic,error_rate,domain_moment,25,0.02,0.16666666666666666,1.0,6
original,logistic,error_rate,domain_moment,50,0.005,0.4166666666666667,1.0,6
original,logistic,error_rate,domain_moment,50,0.01,0.3333333333333333,1.0,6
original,logistic,error_rate,domain_moment,50,0.02,0.16666666666666666,1.0,6
original,logistic,error_rate,domain_moment,100,0.005,0.16666666666666666,0.5,6
original,logistic,error_rate,domain_moment,100,0.01,0.16666666666666666,0.5,6
original,logistic,error_rate,domain_moment,100,0.02,0.08333333333333333,0.5,6
original,logistic,error_rate,domain_moment,227,0.005,0.0,0.0,6
original,logistic,error_rate,domain_moment,227,0.01,0.0,0.0,6
original,logistic,error_rate,domain_moment,227,0.02,0.0,0.0,6
original,logistic,error_rate,exhaustive,455,0.005,0.0,0.0,6
original,logistic,error_rate,exhaustive,455,0.01,0.0,0.0,6
original,logistic,error_rate,exhaustive,455,0.02,0.0,0.0,6
original,logistic,error_rate,mean_matching,10,0.005,0.5833333333333334,1.0,6
original,logistic,error_rate,mean_matching,10,0.01,0.5833333333333334,1.0,6
original,logistic,error_rate,mean_matching,10,0.02,0.5,1.0,6
original,logistic,error_rate,mean_matching,25,0.005,0.4166666666666667,1.0,6
original,logistic,error_rate,mean_matching,25,0.01,0.3333333333333333,1.0,6
original,logistic,error_rate,mean_matching,25,0.02,0.25,1.0,6
original,logistic,error_rate,mean_matching,50,0.005,0.25,0.5,6
original,logistic,error_rate,mean_matching,50,0.01,0.16666666666666666,0.5,6
original,logistic,error_rate,mean_matching,50,0.02,0.08333333333333333,0.5,6
original,logistic,error_rate,mean_matching,100,0.005,0.25,0.5,6
original,logistic,error_rate,mean_matching,100,0.01,0.25,0.5,6
original,logistic,error_rate,mean_matching,100,0.02,0.08333333333333333,0.5,6
original,logistic,error_rate,mean_matching,227,0.005,0.08333333333333333,0.5,6
original,logistic,error_rate,mean_matching,227,0.01,0.08333333333333333,0.5,6
original,logistic,error_rate,mean_matching,227,0.02,0.0,0.0,6
original,logistic,error_rate,random,10,0.005,0.8624999999999999,0.95,6
original,logistic,error_rate,random,10,0.01,0.7875000000000001,0.95,6
original,logistic,error_rate,random,10,0.02,0.6333333333333334,0.95,6
original,logistic,error_rate,random,25,0.005,0.7541666666666665,0.9,6
original,logistic,error_rate,random,25,0.01,0.6708333333333334,0.9,6
original,logistic,error_rate,random,25,0.02,0.525,0.9,6
original,logistic,error_rate,random,50,0.005,0.6583333333333333,0.85,6
original,logistic,error_rate,random,50,0.01,0.5916666666666667,0.85,6
original,logistic,error_rate,random,50,0.02,0.43333333333333335,0.85,6
original,logistic,error_rate,random,100,0.005,0.5125000000000001,0.7250000000000001,6
original,logistic,error_rate,random,100,0.01,0.4708333333333334,0.7250000000000001,6
original,logistic,error_rate,random,100,0.02,0.31250000000000006,0.7250000000000001,6
original,logistic,error_rate,random,227,0.005,0.3166666666666667,0.45,6
original,logistic,error_rate,random,227,0.01,0.29583333333333334,0.45,6
original,logistic,error_rate,random,227,0.02,0.1541666666666667,0.45,6
original,logistic,error_rate,second_moment_mmd,10,0.005,0.5,1.0,6
original,logistic,error_rate,second_moment_mmd,10,0.01,0.5,1.0,6
original,logistic,error_rate,second_moment_mmd,10,0.02,0.3333333333333333,1.0,6
original,logistic,error_rate,second_moment_mmd,25,0.005,0.4166666666666667,1.0,6
original,logistic,error_rate,second_moment_mmd,25,0.01,0.3333333333333333,1.0,6
original,logistic,error_rate,second_moment_mmd,25,0.02,0.25,1.0,6
original,logistic,error_rate,second_moment_mmd,50,0.005,0.25,0.5,6
original,logistic,error_rate,second_moment_mmd,50,0.01,0.25,0.5,6
original,logistic,error_rate,second_moment_mmd,50,0.02,0.08333333333333333,0.5,6
original,logistic,error_rate,second_moment_mmd,100,0.005,0.0,0.0,6
original,logistic,error_rate,second_moment_mmd,100,0.01,0.0,0.0,6
original,logistic,error_rate,second_moment_mmd,100,0.02,0.0,0.0,6
original,logistic,error_rate,second_moment_mmd,227,0.005,0.0,0.0,6
original,logistic,error_rate,second_moment_mmd,227,0.01,0.0,0.0,6
original,logistic,error_rate,second_moment_mmd,227,0.02,0.0,0.0,6
original,logistic,error_rate,target_a,10,0.005,0.4166666666666667,0.5,6
original,logistic,error_rate,target_a,10,0.01,0.4166666666666667,0.5,6
original,logistic,error_rate,target_a,10,0.02,0.08333333333333333,0.5,6
original,logistic,error_rate,target_a,25,0.005,0.16666666666666666,0.5,6
original,logistic,error_rate,target_a,25,0.01,0.16666666666666666,0.5,6
original,logistic,error_rate,target_a,25,0.02,0.0,0.0,6
original,logistic,error_rate,target_a,50,0.005,0.16666666666666666,0.5,6
original,logistic,error_rate,target_a,50,0.01,0.16666666666666666,0.5,6
original,logistic,error_rate,target_a,50,0.02,0.0,0.0,6
original,logistic,error_rate,target_a,100,0.005,0.0,0.0,6
original,logistic,error_rate,target_a,100,0.01,0.0,0.0,6
original,logistic,error_rate,target_a,100,0.02,0.0,0.0,6
original,logistic,error_rate,target_a,227,0.005,0.0,0.0,6
original,logistic,error_rate,target_a,227,0.01,0.0,0.0,6
original,logistic,error_rate,target_a,227,0.02,0.0,0.0,6
original,logistic,nll,domain_moment,10,0.01,0.5833333333333334,1.0,6
original,logistic,nll,domain_moment,10,0.05,0.25,0.5,6
original,logistic,nll,domain_moment,10,0.1,0.08333333333333333,0.5,6
original,logistic,nll,domain_moment,25,0.01,0.4166666666666667,1.0,6
original,logistic,nll,domain_moment,25,0.05,0.16666666666666666,0.5,6
original,logistic,nll,domain_moment,25,0.1,0.08333333333333333,0.5,6
original,logistic,nll,domain_moment,50,0.01,0.25,0.5,6
original,logistic,nll,domain_moment,50,0.05,0.08333333333333333,0.5,6
original,logistic,nll,domain_moment,50,0.1,0.08333333333333333,0.5,6
original,logistic,nll,domain_moment,100,0.01,0.16666666666666666,0.5,6
original,logistic,nll,domain_moment,100,0.05,0.0,0.0,6
original,logistic,nll,domain_moment,100,0.1,0.0,0.0,6
original,logistic,nll,domain_moment,227,0.01,0.0,0.0,6
original,logistic,nll,domain_moment,227,0.05,0.0,0.0,6
original,logistic,nll,domain_moment,227,0.1,0.0,0.0,6
original,logistic,nll,exhaustive,455,0.01,0.0,0.0,6
original,logistic,nll,exhaustive,455,0.05,0.0,0.0,6
original,logistic,nll,exhaustive,455,0.1,0.0,0.0,6
original,logistic,nll,mean_matching,10,0.01,0.8333333333333334,1.0,6
original,logistic,nll,mean_matching,10,0.05,0.4166666666666667,1.0,6
original,logistic,nll,mean_matching,10,0.1,0.25,1.0,6
original,logistic,nll,mean_matching,25,0.01,0.75,1.0,6
original,logistic,nll,mean_matching,25,0.05,0.08333333333333333,0.5,6
original,logistic,nll,mean_matching,25,0.1,0.0,0.0,6
original,logistic,nll,mean_matching,50,0.01,0.3333333333333333,1.0,6
original,logistic,nll,mean_matching,50,0.05,0.0,0.0,6
original,logistic,nll,mean_matching,50,0.1,0.0,0.0,6
original,logistic,nll,mean_matching,100,0.01,0.0,0.0,6
original,logistic,nll,mean_matching,100,0.05,0.0,0.0,6
original,logistic,nll,mean_matching,100,0.1,0.0,0.0,6
original,logistic,nll,mean_matching,227,0.01,0.0,0.0,6
original,logistic,nll,mean_matching,227,0.05,0.0,0.0,6
original,logistic,nll,mean_matching,227,0.1,0.0,0.0,6
original,logistic,nll,random,10,0.01,0.9374999999999999,0.975,6
original,logistic,nll,random,10,0.05,0.8166666666666668,0.95,6
original,logistic,nll,random,10,0.1,0.5999999999999999,0.8999999999999999,6
original,logistic,nll,random,25,0.01,0.8833333333333334,0.975,6
original,logistic,nll,random,25,0.05,0.6208333333333333,0.8500000000000001,6
original,logistic,nll,random,25,0.1,0.3458333333333334,0.625,6
original,logistic,nll,random,50,0.01,0.7708333333333334,0.85,6
original,logistic,nll,random,50,0.05,0.41250000000000003,0.725,6
original,logistic,nll,random,50,0.1,0.20833333333333334,0.42500000000000004,6
original,logistic,nll,random,100,0.01,0.6416666666666667,0.775,6
original,logistic,nll,random,100,0.05,0.225,0.525,6
original,logistic,nll,random,100,0.1,0.08750000000000001,0.25,6
original,logistic,nll,random,227,0.01,0.33749999999999997,0.425,6
original,logistic,nll,random,227,0.05,0.04583333333333334,0.15000000000000002,6
original,logistic,nll,random,227,0.1,0.012500000000000002,0.05,6
original,logistic,nll,second_moment_mmd,10,0.01,0.8333333333333334,1.0,6
original,logistic,nll,second_moment_mmd,10,0.05,0.25,1.0,6
original,logistic,nll,second_moment_mmd,10,0.1,0.08333333333333333,0.5,6
original,logistic,nll,second_moment_mmd,25,0.01,0.4166666666666667,1.0,6
original,logistic,nll,second_moment_mmd,25,0.05,0.0,0.0,6
original,logistic,nll,second_moment_mmd,25,0.1,0.0,0.0,6
original,logistic,nll,second_moment_mmd,50,0.01,0.0,0.0,6
original,logistic,nll,second_moment_mmd,50,0.05,0.0,0.0,6
original,logistic,nll,second_moment_mmd,50,0.1,0.0,0.0,6
original,logistic,nll,second_moment_mmd,100,0.01,0.0,0.0,6
original,logistic,nll,second_moment_mmd,100,0.05,0.0,0.0,6
original,logistic,nll,second_moment_mmd,100,0.1,0.0,0.0,6
original,logistic,nll,second_moment_mmd,227,0.01,0.0,0.0,6
original,logistic,nll,second_moment_mmd,227,0.05,0.0,0.0,6
original,logistic,nll,second_moment_mmd,227,0.1,0.0,0.0,6
original,logistic,nll,target_a,10,0.01,0.5833333333333334,1.0,6
original,logistic,nll,target_a,10,0.05,0.25,0.5,6
original,logistic,nll,target_a,10,0.1,0.08333333333333333,0.5,6
original,logistic,nll,target_a,25,0.01,0.3333333333333333,1.0,6
original,logistic,nll,target_a,25,0.05,0.08333333333333333,0.5,6
original,logistic,nll,target_a,25,0.1,0.0,0.0,6
original,logistic,nll,target_a,50,0.01,0.3333333333333333,1.0,6
original,logistic,nll,target_a,50,0.05,0.08333333333333333,0.5,6
original,logistic,nll,target_a,50,0.1,0.0,0.0,6
original,logistic,nll,target_a,100,0.01,0.16666666666666666,1.0,6
original,logistic,nll,target_a,100,0.05,0.0,0.0,6
original,logistic,nll,target_a,100,0.1,0.0,0.0,6
original,logistic,nll,target_a,227,0.01,0.0,0.0,6
original,logistic,nll,target_a,227,0.05,0.0,0.0,6
original,logistic,nll,target_a,227,0.1,0.0,0.0,6
original,ridge,brier_score,domain_moment,10,0.001,0.0,0.0,6
original,ridge,brier_score,domain_moment,10,0.005,0.0,0.0,6
original,ridge,brier_score,domain_moment,10,0.01,0.0,0.0,6
original,ridge,brier_score,domain_moment,25,0.001,0.0,0.0,6
original,ridge,brier_score,domain_moment,25,0.005,0.0,0.0,6
original,ridge,brier_score,domain_moment,25,0.01,0.0,0.0,6
original,ridge,brier_score,domain_moment,50,0.001,0.0,0.0,6
original,ridge,brier_score,domain_moment,50,0.005,0.0,0.0,6
original,ridge,brier_score,domain_moment,50,0.01,0.0,0.0,6
original,ridge,brier_score,domain_moment,100,0.001,0.0,0.0,6
original,ridge,brier_score,domain_moment,100,0.005,0.0,0.0,6
original,ridge,brier_score,domain_moment,100,0.01,0.0,0.0,6
original,ridge,brier_score,domain_moment,227,0.001,0.0,0.0,6
original,ridge,brier_score,domain_moment,227,0.005,0.0,0.0,6
original,ridge,brier_score,domain_moment,227,0.01,0.0,0.0,6
original,ridge,brier_score,exhaustive,455,0.001,0.0,0.0,6
original,ridge,brier_score,exhaustive,455,0.005,0.0,0.0,6
original,ridge,brier_score,exhaustive,455,0.01,0.0,0.0,6
original,ridge,brier_score,mean_matching,10,0.001,0.0,0.0,6
original,ridge,brier_score,mean_matching,10,0.005,0.0,0.0,6
original,ridge,brier_score,mean_matching,10,0.01,0.0,0.0,6
original,ridge,brier_score,mean_matching,25,0.001,0.0,0.0,6
