encoder,source,source_domain,adapter_seed,target,validation_accuracy,validation_accuracy_std,validation_fold_accuracies,validation_partition_accuracies,validation_accuracy_std_across_partitions,validation_examples,unique_validation_examples,target_validation_protocol,target_cv_folds,target_cv_partitions,target_cv_seed,test_accuracy,source_samples,steps,width,batch_size,ridge,training_seconds,evaluation_seconds,device
resnet50,bloodmnist,medical,1,flowers102,0.6568627993265788,0.025313626675467996,0.7058824301|0.6666667461|0.6666667461|0.6078431606|0.6911765337|0.6421568990|0.6617647409|0.6617647409|0.6519608498|0.6715686321|0.6372549534|0.6813726425|0.6372549534|0.6519608498|0.6176471114,0.6676471233|0.6578431726|0.6450981021,0.009231664295937896,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6803999543190002,500,600,256,128,0.01,1.2065527308732271,0.13185291923582554,npu:6
resnet50,bloodmnist,medical,1,food101,0.39700002000729234,0.011595527437681715,0.3960396051|0.4118812084|0.3732673526|0.4039604068|0.3958333731|0.3900990188|0.4099010229|0.4069307148|0.3861386478|0.3947916925|0.3752475381|0.4039604068|0.4029703140|0.3940594196|0.4104166925,0.3962000194|0.3976000246|0.3972000160,0.000588785473682791,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.4381999969482422,500,600,256,128,0.01,1.2065527308732271,0.12610861100256443,npu:6
resnet50,bloodmnist,medical,1,gtsrb,0.6682666867176691,0.011286599529248468,0.6617503166|0.6805970073|0.6633366346|0.6820925474|0.6571719646|0.6863324046|0.6805970073|0.6683317423|0.6569416523|0.6480163336|0.6735496521|0.6736318469|0.6563436389|0.6760563850|0.6581892371,0.6690000138|0.6682000360|0.6676000103,0.0005734888293430265,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.5767999887466431,500,600,256,128,0.01,1.2065527308732271,0.11254293657839298,npu:6
resnet50,bloodmnist,medical,1,oxford_pets,0.9001811583135008,0.010258034244585833,0.8985114098|0.9008152485|0.8899456859|0.9074831009|0.8896457553|0.9228686690|0.8953804970|0.8858696222|0.9156463146|0.8896456957|0.9079836607|0.8913043737|0.8967391253|0.9034013748|0.9073569179,0.8972826204|0.9019021783|0.9013586763,0.002061551224094646,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.87953120470047,500,600,256,128,0.01,1.2065527308732271,0.09998627379536629,npu:6
resnet50,bloodmnist,medical,2,beans,0.8336557088399378,0.022093571294053507,0.8798077703|0.8309178352|0.8212560415|0.8252426982|0.8300971389|0.8173077106|0.7922705412|0.8164250851|0.8737864494|0.8446601629|0.8509616256|0.8115941286|0.8454105854|0.8349514604|0.8300970793,0.8375241926|0.8288201166|0.8346228173,0.0036186285302569213,3102,1034,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.890625,500,600,256,128,0.01,1.2031133119016886,0.09241926856338978,npu:6
resnet50,bloodmnist,medical,2,dtd,0.6153369188308716,0.014611258316207123,0.6422872543|0.6276596189|0.6117021441|0.5864362121|0.6329787374|0.6236702204|0.6023936272|0.6103724241|0.6143617630|0.6196808815|0.6303191781|0.5904255509|0.6117022038|0.6156915426|0.6103724241,0.6202127934|0.6140957832|0.6117021799,0.00358356884176959,11280,3760,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6164893507957458,500,600,256,128,0.01,1.2031133119016886,0.09322355128824711,npu:6
resnet50,bloodmnist,medical,2,eurosat,0.8984666448593139,0.007487010098740074,0.8916500807|0.8982036114|0.9099099636|0.8946840167|0.8975902796|0.8976142406|0.9101796150|0.8988988996|0.8936810493|0.8865461349|0.9125248194|0.9031935930|0.8918918967|0.8896690011|0.9006023407,0.8983999873|0.8973999715|0.8995999758,0.0008993838918454125,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.9044444561004639,500,600,256,128,0.01,1.2031133119016886,0.10411445796489716,npu:6
resnet50,bloodmnist,medical,2,flowers102,0.6473856925964355,0.027871826095626724,0.6519608498|0.6323530674|0.6372549534|0.6127451658|0.6813726425|0.6176471710|0.6862745881|0.6568627954|0.6617648005|0.6225490570|0.6470588446|0.7107844353|0.6274510622|0.6519608498|0.6127451062,0.6431373358|0.6490196824|0.6500000596,0.003030587028873171,3060,1020,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.6789999604225159,500,600,256,128,0.01,1.2031133119016886,0.1282751988619566,npu:6
resnet50,bloodmnist,medical,2,food101,0.3931333468953768,0.010634325178507128,0.3900990486|0.4009900987|0.3841584325|0.4069306850|0.3927083611|0.3861386180|0.4158416092|0.3861386180|0.4029703140|0.3729166985|0.3831683397|0.3960396051|0.3851485252|0.4009900987|0.3916666806,0.3950000148|0.3930000163|0.3914000096,0.00147271682628445,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.43039998412132263,500,600,256,128,0.01,1.2031133119016886,0.12945118360221386,npu:6
resnet50,bloodmnist,medical,2,gtsrb,0.6727999908367792,0.012085862245106781,0.6479842663|0.6875621676|0.6633366346|0.6800804734|0.6765005589|0.6617502570|0.6716417670|0.6763236523|0.7012071609|0.6622583866|0.6686332226|0.6776119471|0.6643356681|0.6780683994|0.6754832268,0.6709999977|0.6745999750|0.6727999998,0.0014696845940889546,15000,5000,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.58160001039505,500,600,256,128,0.01,1.2031133119016886,0.1123612467199564,npu:6
resnet50,bloodmnist,medical,2,oxford_pets,0.910054346659909,0.010300267209931609,0.9201623201|0.8953804374|0.9048913121|0.9074831009|0.9114440680|0.9201623201|0.9089674354|0.8885869980|0.9170068502|0.9087193012|0.9133963585|0.9279891253|0.9171196222|0.9142857790|0.8950953484,0.9078804313|0.9086956575|0.9135869512,0.0025200025702921806,11040,3680,repeated_stratified_5_fold,5,3,20260905|20260906|20260907,0.8871626853942871,500,600,256,128,0.01,1.2031133119016886,0.1092272438108921,npu:6
