dataset,encoder,target_domain,budget,combination,selected_sample_count,selected_sample_ids_sha256,target_test_count,ridge_regularization,ridge_solver,evaluation_seconds,target_a_proxy_estimate,target_a_proxy_first_half,target_a_proxy_second_half,target_a_proxy_half_relative_difference,squared_loss,brier_score,nll,accuracy,macro_f1,ece,brier_rank,target_a_proxy_rank,in_brier_top_q,normalized_brier_regret
pacs,dinov2_b14,art_painting,1,cartoon__block_00,596,b0f86f43776b9fcdda1ad2153e3a7fb233f177b4b908e0cb299f0fbc5deff6bd,1415,1.0,dual,0.07495498098433018,0.5627758198723324,0.5567837893811542,0.5687678503635106,0.02129455559244711,0.2735713766807909,0.6846443334468816,1.4634644801153018,0.9752650176678446,0.973936456265382,0.7391057738984735,3,1,1,0.012070814064623656
pacs,dinov2_b14,art_painting,1,cartoon__block_01,569,30cc0052be5a1acf771d81b70cfe2d8bc46ea21a57c6edb44466b0f33980c75f,1415,1.0,dual,0.044333603233098984,0.5703565115378894,0.5622646236175493,0.5784483994582295,0.028374841898522095,0.26023344483790867,0.6764786850213083,1.4436916423844757,0.9738515901060071,0.9738097879863128,0.7331221799711058,1,3,1,0.0
pacs,dinov2_b14,art_painting,1,cartoon__block_02,584,f6da1ce4c089a5f19569c47ba15b612e43cd91775044ee3ff6fda6000ba7ee99,1415,1.0,dual,0.04377611167728901,0.566249064112908,0.5580160809346538,0.5744820472911621,0.029079017344256605,0.2643685927721085,0.6773958506801959,1.4465133097579177,0.9703180212014134,0.9686084955668106,0.7299111940577587,2,2,1,0.0013557938767261744
pacs,dinov2_b14,art_painting,1,cartoon__block_03,595,f9f628d428eec6d6519650f8168db85b35af2d5ecb78dab0523059ff4203ae4e,1415,1.0,dual,0.0513899065554142,0.5706713339261512,0.5615269619711626,0.5798157058811397,0.032047770446349134,0.2689890473067626,0.685407827441301,1.4651434422096778,0.9802120141342756,0.9789579890816731,0.7445485561589448,4,4,1,0.013199443851969271
pacs,dinov2_b14,art_painting,1,photo__block_00,433,cc262b61aeab625164e76dac829392b22585e0cc42652fb900ca0c965c21e3b2,1415,1.0,dual,0.0321701243519783,0.6280995807311053,0.6117307273722238,0.6444684340899867,0.05212184138008232,0.36766329251047886,0.716389446887515,1.5530046069767938,0.8551236749116607,0.8632315198414796,0.6344491488744884,10,10,1,0.05899781138699093
pacs,dinov2_b14,art_painting,1,photo__block_01,415,48860612660737aebc7ae8b8f40446243a3ec939aa8720ec0ac4e262af8d14a5,1415,1.0,dual,0.03053065948188305,0.634230067545363,0.6201702584148163,0.6482898766759099,0.04433662120423249,0.3545113836304738,0.7144836683987246,1.5476023539547659,0.8621908127208481,0.8741617473420905,0.6408843045177308,9,11,1,0.05618060734052426
pacs,dinov2_b14,art_painting,1,photo__block_02,395,3eb8ad01ac4570e6423b78af100179402d569f187fa6bd8309224db6080bc14c,1415,1.0,dual,0.02986159548163414,0.6426759941083336,0.6276099633370882,0.6577420248795791,0.04688530740018846,0.3793863735566757,0.7212186473743889,1.5651306270683971,0.8530035335689046,0.8602386499648348,0.6351229517393409,11,12,0,0.06613654405337456
pacs,dinov2_b14,art_painting,1,photo__block_03,427,c599d6d348075a2382c24c3244f34028e265eb4971bb816fe5199f9c961ab390,1415,1.0,dual,0.031591981649398804,0.6251934707846276,0.6126780583296517,0.6377088832396035,0.04003692629505185,0.39078542442258235,0.7218303682933587,1.5675736395076783,0.8296819787985866,0.837096670052396,0.6114365030243043,12,9,0,0.06704081632760076
pacs,dinov2_b14,art_painting,1,sketch__block_00,1032,9cbf220bef3650f4f6aecdc464e393a7c7d5ed8cd6f12f56d4f83c74f8978dca,1415,1.0,primal,0.06439094617962837,0.5920228464580056,0.5813617940521835,0.6026838988638277,0.03601567902186805,0.36246964901848217,0.6994411056263172,1.503380148535134,0.934982332155477,0.937417679085401,0.7060169786967165,7,5,1,0.033944041569152594
pacs,dinov2_b14,art_painting,1,sketch__block_01,976,5859512888918069846e37dc905c6d8634fd89f0dcfa08be1508764ff757fc6e,1415,1.0,primal,0.04403125122189522,0.5966969625005292,0.5856099110655432,0.6077840139355151,0.03716141402337411,0.3457783279978447,0.6894242755507993,1.4793171638382687,0.930035335689046,0.9374571218579247,0.6952836139727203,5,6,1,0.019136730862530132
pacs,dinov2_b14,art_painting,1,sketch__block_02,963,0b9ecd8b6f6e215b99577067374268f12a2a3944518127671a4eb187d886d775,1415,1.0,primal,0.04686919040977955,0.604325732764899,0.5938746872565827,0.6147767782732152,0.034587458192458086,0.37241174669469523,0.7014931429810107,1.508772212169611,0.9335689045936396,0.9352253081812846,0.7057109521634499,8,7,1,0.036977451786104024
