method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,passing_encoders,passes_overall
dpp_subspace,3,28,4,28,0.4642857142857143,0.34056122448979587,0.002494365828377867,0.07091953065602112,-0.003666024122919353,0.8571428571428571,0,False
facility_subspace,3,28,4,28,0.14285714285714285,0.16666666666666666,0.006715046295097907,0.1681382231392212,0.0023718633822032314,0.8571428571428571,0,False
full_merged_rank,3,28,4,28,0.5,0.3473639455782313,0.0025584825447627535,0.07423167986628246,-0.003240274531500682,0.8571428571428571,0,False
kcenter_subspace,3,28,4,28,0.32142857142857145,0.24022108843537415,0.0031711865748678047,0.0907063240748087,-0.00018082048211779826,0.8571428571428571,0,False
pool_vendi_subspace,3,28,4,28,0.32142857142857145,0.24022108843537415,0.0031711865748678047,0.0907063240748087,-0.00018082048211779826,0.8571428571428571,0,False
random,3,2800,4,28,0.16535714285714287,0.14314200680272107,0.007684722578951301,0.205922577604129,0.004186409941741393,0.8571428571428571,0,False
rank_only,3,28,4,28,0.4642857142857143,0.3741496598639456,0.0030047646590641575,0.07685767339341014,-0.0020960045712334757,0.8571428571428571,0,False
dpp_subspace,5,28,4,28,0.5714285714285714,0.4685374149659864,0.001880593385015222,0.051612222579531485,-0.002293026873043611,0.7619047619047619,0,False
facility_subspace,5,28,4,28,0.25,0.25212585034013607,0.004916581298623774,0.11266253655891899,0.0009582617453166377,0.7619047619047619,0,False
full_merged_rank,5,28,4,28,0.6428571428571429,0.5399659863945578,0.0017544239759445207,0.04387329011651504,-0.0023040320192064556,0.7619047619047619,0,False
kcenter_subspace,5,28,4,28,0.39285714285714285,0.2810374149659864,0.0023626455238887345,0.07274272486502967,0.00021240285464694888,0.7619047619047619,0,False
pool_vendi_subspace,5,28,4,28,0.4642857142857143,0.3473639455782313,0.002002202613013137,0.06363605247825602,0.0006066973720277988,0.7619047619047619,0,False
random,5,2800,4,28,0.2639285714285714,0.24623299319727893,0.005232427235160565,0.13636180874234885,0.0025986473560333204,0.7619047619047618,0,False
rank_only,5,28,4,28,0.6428571428571429,0.5399659863945578,0.0017544239759445207,0.04387329011651504,-0.0023040320192064556,0.7619047619047619,0,False
dpp_subspace,10,28,4,28,0.75,0.6879251700680272,0.0009755279336656843,0.02279410439023125,-0.0013770678213664467,0.5238095238095238,1,False
facility_subspace,10,28,4,28,0.42857142857142855,0.46556122448979587,0.002871178516319836,0.06392670733431208,0.0026480304343359773,0.5238095238095238,0,False
full_merged_rank,10,28,4,28,0.7857142857142857,0.7155612244897959,0.0010418874876839798,0.02506457132529227,-0.0015952382768903448,0.5238095238095238,1,False
kcenter_subspace,10,28,4,28,0.6428571428571429,0.49447278911564624,0.0007455229759216356,0.025398884413984253,0.0010715646403176452,0.5238095238095238,0,False
pool_vendi_subspace,10,28,4,28,0.7142857142857143,0.5659013605442177,0.0007682068007332946,0.02901258640898449,0.00031132187162127053,0.5238095238095238,0,False
random,10,2800,4,28,0.5,0.47493197278911564,0.002611990741321026,0.06447317619613373,0.0012036037998540033,0.5238095238095238,0,False
rank_only,10,28,4,28,0.7857142857142857,0.711734693877551,0.0010418874876839798,0.02506457132529227,-0.0015952382768903448,0.5238095238095238,1,False
