shortlist_size,encoder_target_pairs,best_recall_delta_mean,validation_regret_delta_mean,shortlist_jaccard_mean,recall_wins,recall_ties,recall_losses,regret_wins,regret_ties,regret_losses
3,28,0.0,-0.0005103988306862908,0.625,1,26,1,5,19,4
5,28,-0.07142857142857142,0.0001261694090707013,0.6666666666666666,1,24,3,1,21,6
10,28,-0.03571428571428571,-6.635955401829549e-05,0.7803030303030303,0,27,1,1,26,1
