encoder,primary_method,configurations,selected_interval_coverage_rate,selected_absolute_log_error_mean,selected_absolute_log_error_max,selected_log_error_bound_mean,selected_log_error_bound_min,selected_log_error_bound_max,max_budget,max_budget_runs,certified_steps_total,evaluated_steps_total,all_steps_certified_run_rate,exact_greedy_prefix_match_rate
clip_b32,rank_l_gram,240,1.0,2.2562913539561595,2.635648992831815,5.075561209002617,5.038924762222903,5.135813632984521,10,60,0,600,0.0,nan
dinov2_b14,rank_l_gram,240,1.0,2.500361896941782,2.9447222867572167,6.1135437147741145,5.9591690302066755,6.227818995704268,10,60,0,600,0.0,nan
resnet50,rank_l_gram,240,1.0,2.9910828369889684,3.0589916747189343,6.581122341991038,5.919801772699373,7.033627223512395,10,60,0,600,0.0,nan
vit_b16,rank_l_gram,240,1.0,2.4850821767419555,2.943951393381367,6.003844588442464,5.91470860539873,6.127706116731149,10,60,0,600,0.0,nan
