encoder,primary_method,configurations,rank_reff_mean,primary_minus_rank_mean,primary_relative_gain_mean,primary_win_count,primary_tie_count,primary_loss_count,primary_win_rate,dpp_minus_rank_mean,dpp_relative_gain_mean,dpp_win_count,dpp_tie_count,dpp_loss_count,dpp_win_rate
clip_b32,rank_l_gram,240,268.1798976573169,-5.856412512896416,-0.021854159170290537,13,0,227,0.05416666666666667,7.579375775369796,0.03033630177338833,202,0,38,0.8416666666666667
dinov2_b14,rank_l_gram,240,586.7334584502152,16.840076008111037,0.033208956449502385,231,0,9,0.9625,20.944333017002215,0.040208867768920215,240,0,0,1.0
resnet50,rank_l_gram,240,855.3412952839822,36.3971078058477,0.05920710452052168,170,0,70,0.7083333333333334,61.606457670446616,0.09492678744949427,195,0,45,0.8125
vit_b16,rank_l_gram,240,554.7541859684844,4.959055776448315,0.013223936424026998,120,0,120,0.5,13.984435427324861,0.030626604465773123,200,0,40,0.8333333333333334
