shortlist_size,encoder_target_pairs,best_recall_delta_mean,validation_regret_delta_mean,shortlist_jaccard_mean,recall_wins,recall_ties,recall_losses,regret_wins,regret_ties,regret_losses
3,28,0.03571428571428571,-0.00020642431310094467,0.625,2,25,1,4,22,2
5,28,-0.03571428571428571,-0.00016986733973107078,0.6666666666666666,1,25,2,2,24,2
10,28,0.0,-1.9999719602727317e-05,0.7803030303030303,0,28,0,1,27,0
