encoder,overlap,budget,seeds,collapse_minus_rank_mean,collapse_minus_rank_std,collapse_win_count,collapse_tie_count,collapse_loss_count,collapse_win_rate,dpp_minus_rank_mean,dpp_minus_rank_std,dpp_win_count,dpp_tie_count,dpp_loss_count,dpp_win_rate
clip_b32,0.0,3,10,9.150012904934158,0.8928830692752748,10,0,0,1.0,7.674937836930502,0.8002024263194961,10,0,0,1.0
clip_b32,0.0,5,10,11.328159142035474,0.7969630941153157,10,0,0,1.0,11.03261874186374,1.0544625072663718,10,0,0,1.0
clip_b32,0.0,8,10,1.6687067213343822,0.5541253216838637,10,0,0,1.0,0.7788614421352179,0.6820885064974074,9,0,1,0.9
clip_b32,0.0,10,10,1.413049578525562,0.3442877287178528,10,0,0,1.0,0.8450411598593519,0.6339059125123409,9,0,1,0.9
clip_b32,0.1,3,10,9.801351549347896,1.5179443902682033,10,0,0,1.0,8.372061305011021,1.4236586775816256,10,0,0,1.0
clip_b32,0.1,5,10,11.885981490486921,0.763578953004901,10,0,0,1.0,11.758907195338935,0.8807547221621309,10,0,0,1.0
clip_b32,0.1,8,10,1.7588848709760954,0.42932129498804367,10,0,0,1.0,1.0423922773039522,0.6449741493954236,10,0,0,1.0
clip_b32,0.1,10,10,1.5460446705591209,0.2731786449027428,10,0,0,1.0,0.5822698935811218,0.8464607412148042,7,0,3,0.7
clip_b32,0.25,3,10,11.93072599207469,2.8798356942840213,10,0,0,1.0,10.300002827398975,3.1196085985255277,10,0,0,1.0
clip_b32,0.25,5,10,12.614031524019202,0.6063546601825254,10,0,0,1.0,12.605411116880413,0.9235755748405248,10,0,0,1.0
clip_b32,0.25,8,10,2.0588811608649222,0.44419178256142944,10,0,0,1.0,1.4522856828769477,0.7293034707773578,10,0,0,1.0
clip_b32,0.25,10,10,1.7063952742843582,0.3223317511703571,10,0,0,1.0,1.3149877965251164,0.6102794359731731,10,0,0,1.0
clip_b32,0.5,3,10,14.963447250036214,6.738047823492314,10,0,0,1.0,13.392931486943208,6.648544940788614,10,0,0,1.0
