shortlist_size,encoder_target_pairs,best_recall_delta_mean,validation_regret_delta_mean,shortlist_jaccard_mean,recall_wins,recall_ties,recall_losses,regret_wins,regret_ties,regret_losses
3,28,-0.03571428571428571,-0.0004637109623606258,0.625,2,23,3,4,20,4
5,28,-0.07142857142857142,-6.467711565472498e-05,0.75,1,24,3,2,23,3
