excluded_encoder,method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
clip_b32,dpp_subspace,3,21,3,21,0.7142857142857143,0.42857142857142855,0.0011036526361201855,0.04442419016664993,-0.002455321947733561,0.7,0.8571428571428571,0.7063492063492063,3.0,0.625,0,False
clip_b32,facility_subspace,3,21,3,21,0.19047619047619047,0.2698412698412698,0.004352509326939051,0.1514716981034618,0.0041273764201572955,0.7,0.23809523809523808,0.4603174603174603,3.0,0.625,0,False
clip_b32,full_merged_rank,3,21,3,21,0.8095238095238095,0.5238095238095238,0.0010440605610136087,0.038281351972901494,-0.0019374989327930231,0.7,0.9047619047619048,0.6984126984126984,3.0,0.625,0,False
clip_b32,kcenter_subspace,3,21,3,21,0.7142857142857143,0.3333333333333333,0.0005807531907017745,0.02641693374371176,-0.0002036577179318409,0.7,0.7142857142857143,0.40476190476190477,3.0,0.625,1,False
clip_b32,pool_vendi_subspace,3,21,3,21,0.7142857142857143,0.3333333333333333,0.0005807531907017745,0.02641693374371176,-0.0002036577179318409,0.7,0.7142857142857143,0.40476190476190477,3.0,0.625,1,False
clip_b32,rank_only,3,21,3,21,0.7619047619047619,0.5714285714285714,0.0017219339192676866,0.07095025069485503,-0.00021893013091315146,0.7,0.7619047619047619,0.5714285714285714,2.0,0.75,0,False
clip_b32,dpp_subspace,5,21,3,21,0.8095238095238095,0.6507936507936508,0.0008537068783203097,0.031925687466799225,-0.0016398798851739766,0.5,0.9047619047619048,0.8333333333333334,4.666666666666667,0.4166666666666667,0,False
clip_b32,facility_subspace,5,21,3,21,0.2857142857142857,0.38095238095238093,0.0032282554649076785,0.1156784920316009,0.0018177128973461344,0.5,0.3333333333333333,0.5714285714285714,5.0,0.375,0,False
clip_b32,full_merged_rank,5,21,3,21,0.9047619047619048,0.7936507936507937,0.0008903622931036806,0.033044560469964575,-0.0013392857142857176,0.5,0.9047619047619048,0.8015873015873015,4.0,0.5,1,True
clip_b32,kcenter_subspace,5,21,3,21,0.8571428571428571,0.492063492063492,4.379645464914179e-05,0.0021402728948791165,-0.0005093693733215274,0.5,0.8571428571428571,0.5634920634920635,5.0,0.375,1,False
clip_b32,pool_vendi_subspace,5,21,3,21,0.8571428571428571,0.492063492063492,4.379645464914179e-05,0.0021402728948791165,-0.0005093693733215274,0.5,0.8571428571428571,0.5634920634920635,5.0,0.375,1,False
clip_b32,rank_only,5,21,3,21,0.9047619047619048,0.7936507936507937,0.0008903622931036806,0.033044560469964575,-0.0013392857142857176,0.5,0.9047619047619048,0.8015873015873015,4.0,0.5,1,True
dinov2_b14,dpp_subspace,3,21,3,21,0.7619047619047619,0.47619047619047616,0.001402817995091264,0.05047884305048979,-0.0016760718254815864,0.7,0.8571428571428571,0.6587301587301587,3.0,0.625,0,False
dinov2_b14,facility_subspace,3,21,3,21,0.19047619047619047,0.36507936507936506,0.003563987711324461,0.13625133219133323,0.004748393240429109,0.7,0.19047619047619047,0.4523809523809524,3.0,0.625,0,False
dinov2_b14,full_merged_rank,3,21,3,21,0.7619047619047619,0.47619047619047616,0.001402817995091264,0.05047884305048979,-0.0016760718254815864,0.7,0.8571428571428571,0.6587301587301587,3.0,0.625,0,False
dinov2_b14,kcenter_subspace,3,21,3,21,0.47619047619047616,0.3492063492063492,0.002513639846647605,0.11814045609476273,0.0028315720104035926,0.7,0.47619047619047616,0.38095238095238093,3.0,0.625,1,False
dinov2_b14,pool_vendi_subspace,3,21,3,21,0.47619047619047616,0.3492063492063492,0.002513639846647605,0.11814045609476273,0.0028315720104035926,0.7,0.47619047619047616,0.38095238095238093,3.0,0.625,1,False
dinov2_b14,rank_only,3,21,3,21,0.7619047619047619,0.5714285714285714,0.00198193907682832,0.07203123161751664,-0.00023988485336303605,0.7,0.7619047619047619,0.5793650793650793,2.3333333333333335,0.7083333333333334,0,False
dinov2_b14,dpp_subspace,5,21,3,21,0.8095238095238095,0.5873015873015872,0.0009760579102325861,0.03182655412862815,-0.0015272623016720657,0.5,0.9523809523809523,0.8412698412698413,5.0,0.375,0,False
dinov2_b14,facility_subspace,5,21,3,21,0.3333333333333333,0.5079365079365079,0.0022968696901854067,0.09062238776397247,0.001443492230914889,0.5,0.3333333333333333,0.5952380952380952,5.0,0.375,0,False
