encoder,method,budget,configurations,merged_reff_mean,merged_reff_std,unique_lineages_mean,lineage_duplicate_count_mean,unique_datasets_mean,selected_alias_parent_pairs_mean,max_selected_sample_overlap_mean,selection_seconds_for_max_budget_mean,metric_seconds_mean
clip_b32,agglomerative_subspace,3,60,240.05207534908135,1.119304507288119,2.9833333333333334,0.016666666666666666,1.0,0.1,0.0016666666666666668,0.059632221578309934,0.04354784752552708
clip_b32,agglomerative_subspace,5,60,257.7614891062952,1.180434113404835,4.916666666666667,0.08333333333333333,1.75,0.25,0.008333333333333333,0.059632221578309934,0.039031048646817605
clip_b32,agglomerative_subspace,8,60,282.19880611116804,1.727682727208596,7.916666666666667,0.08333333333333333,3.0,0.25,0.008333333333333333,0.059632221578309934,0.04377928404137492
clip_b32,agglomerative_subspace,10,60,279.56913581768447,1.594093785960368,9.916666666666666,0.08333333333333333,5.0,0.25,0.008333333333333333,0.059632221578309934,0.049667486610511936
clip_b32,collapse_sketch,3,60,249.24111346540997,2.4981025787489206,2.8666666666666667,0.13333333333333333,1.0,0.21666666666666667,0.03406666666666667,0.5472851023388405,0.043687854614108804
clip_b32,collapse_sketch,5,60,276.3502905591305,0.9514431623864185,4.866666666666666,0.13333333333333333,2.6166666666666667,0.21666666666666667,0.03406666666666667,0.5472851023388405,0.03979321730633577
clip_b32,collapse_sketch,8,60,285.4997988617271,0.62563210490682,7.766666666666667,0.23333333333333334,3.0,0.4166666666666667,0.0498,0.5472851023388405,0.043412464981277786
clip_b32,collapse_sketch,10,60,287.1212160212366,1.0915439647438145,9.0,1.0,3.0,1.25,0.4166666666666667,0.5472851023388405,0.048334451392292976
clip_b32,dpp_subspace,3,60,258.5333949023083,1.0039140014655867,3.0,0.0,2.55,0.0,0.0,0.008588857793559631,0.04385863244533539
clip_b32,dpp_subspace,5,60,276.6626242893588,0.5229102706117514,5.0,0.0,3.0,0.016666666666666666,0.0,0.008588857793559631,0.04076955135290821
clip_b32,dpp_subspace,8,60,285.60433516833933,0.49694710517783197,7.966666666666667,0.03333333333333333,3.0,0.18333333333333332,0.0033333333333333335,0.008588857793559631,0.043475028065343695
clip_b32,dpp_subspace,10,60,287.4304569052067,0.6599190179182238,9.816666666666666,0.18333333333333332,3.0,0.4166666666666667,0.023266666666666665,0.008588857793559631,0.049786922770241895
clip_b32,facility_subspace,3,60,203.11071670706374,1.5443537143818904,3.0,0.0,3.0,0.0,0.0,0.001654218633969625,0.04378250020866593
clip_b32,facility_subspace,5,60,254.4350911066964,0.9278546558182387,5.0,0.0,5.0,0.0,0.0,0.001654218633969625,0.038762648279468216
clip_b32,facility_subspace,8,60,271.2333280081674,1.2842285472255581,8.0,0.0,5.0,0.1,0.0,0.001654218633969625,0.04359653936699033
clip_b32,facility_subspace,10,60,278.99728986350624,1.7206327062892042,9.933333333333334,0.06666666666666667,5.0,0.23333333333333334,0.006666666666666667,0.001654218633969625,0.04958406081423163
clip_b32,lineage_deduplicated_rank,3,60,250.02188180934553,0.897050240019029,3.0,0.0,1.0,0.08333333333333333,0.0,3.692787140607834e-05,0.04317894897734125
clip_b32,lineage_deduplicated_rank,5,60,272.43386737741776,2.8956231609510246,5.0,0.0,1.8333333333333333,0.16666666666666666,0.0,3.692787140607834e-05,0.038836162692556776
clip_b32,lineage_deduplicated_rank,8,60,283.87840938904714,0.7151902583729969,8.0,0.0,2.0,0.21666666666666667,0.0,3.692787140607834e-05,0.0448686683550477
clip_b32,lineage_deduplicated_rank,10,60,287.05968584231704,0.5873338182868082,10.0,0.0,2.8333333333333335,0.3333333333333333,0.0,3.692787140607834e-05,0.04929219884797931
clip_b32,rank_l_gram,3,60,257.3363490764012,0.6278646872349216,3.0,0.0,3.0,0.0,0.0,10.814606900544216,0.043623326191057764
clip_b32,rank_l_gram,5,60,276.5833873119109,0.6891180716679454,5.0,0.0,3.0,0.016666666666666666,0.0,10.814606900544216,0.03914832975715399
clip_b32,rank_l_gram,8,60,277.87816951964254,0.5715736962428668,8.0,0.0,5.0,0.05,0.0,10.814606900544216,0.044361809051285186
clip_b32,rank_l_gram,10,60,282.87994809452266,0.6648407552679689,10.0,0.0,5.0,0.08333333333333333,0.0,10.814606900544216,0.04953751054902871
