encoder,primary_method,overlap,budget,seeds,primary_minus_rank_mean,primary_minus_rank_std,primary_win_count,primary_tie_count,primary_loss_count,primary_win_rate,dpp_minus_rank_mean,dpp_minus_rank_std,dpp_win_count,dpp_tie_count,dpp_loss_count,dpp_win_rate
clip_b32,rank_l_gram,0.0,3,10,7.30580265856095,1.0359167601273755,10,0,0,1.0,8.406907301881555,0.8595686321364343,10,0,0,1.0
clip_b32,rank_l_gram,0.0,5,10,10.610648161811998,0.5368699446424126,10,0,0,1.0,10.653710109898526,0.5318806626291132,10,0,0,1.0
clip_b32,rank_l_gram,0.0,8,10,-6.0691574411147595,0.42161411168681695,0,0,10,0.0,1.68660152859469,0.22695612826669534,10,0,0,1.0
clip_b32,rank_l_gram,0.0,10,10,-3.48111257446119,0.4560504111901051,0,0,10,0.0,1.5731760239439496,0.3427759525308197,10,0,0,1.0
clip_b32,rank_l_gram,0.1,3,10,8.069283996020857,1.771092212705517,10,0,0,1.0,9.351230783583503,1.3400322712555395,10,0,0,1.0
clip_b32,rank_l_gram,0.1,5,10,11.066413507497543,0.5633397651811147,10,0,0,1.0,11.208999176931366,0.7302825740111761,10,0,0,1.0
clip_b32,rank_l_gram,0.1,8,10,-5.841836152122426,0.5923908269183341,0,0,10,0.0,1.8921168366728978,0.44009700494601833,10,0,0,1.0
clip_b32,rank_l_gram,0.1,10,10,-3.239858203816965,0.47300776562634583,0,0,10,0.0,1.643552484345065,0.35615426970023606,10,0,0,1.0
clip_b32,rank_l_gram,0.25,3,10,10.200102889593657,3.2290419533546295,10,0,0,1.0,11.247488939415504,2.7980699236675837,10,0,0,1.0
clip_b32,rank_l_gram,0.25,5,10,12.577560330672686,0.7687242235024119,10,0,0,1.0,12.723168542061535,0.7054001865028886,10,0,0,1.0
clip_b32,rank_l_gram,0.25,8,10,-5.133362867270728,0.692618578709033,0,0,10,0.0,2.5222967483551484,0.5226294871594662,10,0,0,1.0
clip_b32,rank_l_gram,0.25,10,10,-2.56416462047448,0.3843824865676004,0,0,10,0.0,1.8819827808330047,0.18173815775254015,10,0,0,1.0
clip_b32,rank_l_gram,0.5,3,10,15.68085827597875,5.170919405453971,10,0,0,1.0,16.809427809719743,5.519110032595419,10,0,0,1.0
clip_b32,rank_l_gram,0.5,5,10,14.358278786565204,0.5454821202962086,10,0,0,1.0,14.387975671764616,0.4178016230146375,10,0,0,1.0
clip_b32,rank_l_gram,0.5,8,10,-4.03299702140738,0.7639931680086364,0,0,10,0.0,3.598832324698401,0.9490432369281377,10,0,0,1.0
clip_b32,rank_l_gram,0.5,10,10,-1.6357892310861928,0.3417363044737631,0,0,10,0.0,2.6819287607591775,0.30728484023808966,10,0,0,1.0
clip_b32,rank_l_gram,0.75,3,10,16.610067160025643,9.223084593269485,10,0,0,1.0,18.004115365664425,10.604891694671906,10,0,0,1.0
clip_b32,rank_l_gram,0.75,5,10,16.221078671257793,0.409926632271572,10,0,0,1.0,16.374457212011656,0.28962522755907205,10,0,0,1.0
clip_b32,rank_l_gram,0.75,8,10,-3.3037519032701255,1.23389773493976,0,0,10,0.0,4.555915334028674,1.2117770714353213,10,0,0,1.0
clip_b32,rank_l_gram,0.75,10,10,-0.6971570086587349,0.4106091683713267,0,0,10,0.0,3.6960922750601752,0.3442124048132961,10,0,0,1.0
clip_b32,rank_l_gram,1.0,3,10,27.65878826959314,13.560993895117875,10,0,0,1.0,28.88800800495153,13.992454914015116,10,0,0,1.0
clip_b32,rank_l_gram,1.0,5,10,18.726846179698676,0.41309350871223355,10,0,0,1.0,18.687936789523718,0.43534275145876733,10,0,0,1.0
clip_b32,rank_l_gram,1.0,8,10,-1.7853719008974565,1.6652095996070249,3,0,7,0.3,5.934753833747453,1.8035871032771642,10,0,0,1.0
clip_b32,rank_l_gram,1.0,10,10,0.44841027656169674,0.3688595107100788,8,0,2,0.8,4.656649177226956,0.3419248696110336,10,0,0,1.0
dinov2_b14,rank_l_gram,0.0,3,10,8.604484490111588,1.8695268174939987,10,0,0,1.0,6.747292714242212,3.036749471712096,10,0,0,1.0
dinov2_b14,rank_l_gram,0.0,5,10,16.062776883309517,0.8982441304254162,10,0,0,1.0,16.219087900209946,0.8462236644541613,10,0,0,1.0
dinov2_b14,rank_l_gram,0.0,8,10,10.577634861122238,0.3661777777761133,10,0,0,1.0,10.092054030966926,0.28323497821279714,10,0,0,1.0
dinov2_b14,rank_l_gram,0.0,10,10,12.138293313173255,2.4548507122522762,10,0,0,1.0,12.88774125674082,1.4307640183423493,10,0,0,1.0
dinov2_b14,rank_l_gram,0.1,3,10,14.720824379536555,5.114320163114761,10,0,0,1.0,12.903829793316982,6.05355243039969,10,0,0,1.0
dinov2_b14,rank_l_gram,0.1,5,10,18.62993102181067,0.8959511247037601,10,0,0,1.0,18.35311089788861,1.2053352134288133,10,0,0,1.0
dinov2_b14,rank_l_gram,0.1,8,10,11.474098373429456,0.5980592148201079,10,0,0,1.0,10.345688484643755,0.41749923004674366,10,0,0,1.0
dinov2_b14,rank_l_gram,0.1,10,10,12.599298437637117,2.4285054081040425,10,0,0,1.0,13.705977945806307,1.1035069213638486,10,0,0,1.0
