encoder,overlap,seeds,alignment_global_lineage_auroc_mean,alignment_global_lineage_auroc_std,alignment_global_lineage_auprc_mean,alignment_global_lineage_auprc_std,alignment_parent_matched_auroc_mean,alignment_parent_matched_auroc_std,alignment_parent_matched_auprc_mean,alignment_parent_matched_auprc_std,alignment_parent_top1_accuracy_mean,alignment_parent_top1_accuracy_std,alignment_parent_mean_reciprocal_rank_mean,alignment_parent_mean_reciprocal_rank_std,alignment_zero_overlap_designated_parent_top1_accuracy_mean
clip_b32,0.0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27999999999999997
clip_b32,0.1,10,0.9562033898305085,0.00449938905843881,0.47633023040645,0.045573653098147794,0.7133333333333334,0.02897423291201176,0.6144194677871149,0.03120119070949337,1.0,0.0,1.0,0.0,nan
clip_b32,0.25,10,0.9898305084745763,0.004067796610169493,0.8091699964570809,0.06464065071642264,0.9333333333333333,0.039752319599996255,0.8908556998557,0.06276045027541713,1.0,0.0,1.0,0.0,nan
clip_b32,0.5,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
clip_b32,0.75,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
clip_b32,1.0,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
dinov2_b14,0.0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22000000000000003
dinov2_b14,0.1,10,0.9490847457627118,0.003297422186119073,0.4069065588227666,0.0735594022392077,0.6626666666666667,0.022705848487901865,0.5597667528549882,0.06770890240472523,1.0,0.0,1.0,0.0,nan
dinov2_b14,0.25,10,0.9732881355932204,0.002715628273138958,0.6821642710371363,0.009577092271584644,0.8226666666666667,0.025180827509716064,0.7712967032967032,0.01730588396855766,1.0,0.0,1.0,0.0,nan
dinov2_b14,0.5,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
dinov2_b14,0.75,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
dinov2_b14,1.0,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
resnet50,0.0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.34
resnet50,0.1,10,0.9578305084745763,0.0033641209610718145,0.3621969838683226,0.022792363568518898,0.7226666666666666,0.023349200953891005,0.5491381951381952,0.04929912423857068,1.0,0.0,1.0,0.0,nan
resnet50,0.25,10,0.9834576271186443,0.0032466955925094815,0.6134825349229374,0.04810302861104892,0.8879999999999999,0.023685177945731946,0.7675396825396825,0.049124099204982195,1.0,0.0,1.0,0.0,nan
resnet50,0.5,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
resnet50,0.75,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
resnet50,1.0,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
vit_b16,0.0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.28
vit_b16,0.1,10,0.9532881355932205,0.002605248865438129,0.3368396564240386,0.004449406541609171,0.692,0.02389276454349441,0.5051933899433899,0.011348315067630363,1.0,0.0,1.0,0.0,nan
vit_b16,0.25,10,0.980135593220339,0.00263642722406144,0.5346257834237373,0.05458545007553814,0.868,0.02126841975823181,0.71504329004329,0.04592072948671641,1.0,0.0,1.0,0.0,nan
vit_b16,0.5,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
vit_b16,0.75,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
vit_b16,1.0,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
