shortlist_size,encoder_target_pairs,best_recall_delta_mean,validation_regret_delta_mean,shortlist_jaccard_mean,recall_wins,recall_ties,recall_losses,regret_wins,regret_ties,regret_losses
3,28,-0.14285714285714285,0.00014902502298355064,0.625,1,22,5,3,20,5
5,28,-0.17857142857142858,0.00109612877879824,0.6666666666666666,1,21,6,2,19,7
10,28,0.0,0.0,0.7803030303030303,0,28,0,0,28,0
