encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,best_candidate_confidence_set_recall_mean,top3_candidate_recall_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,validation_regret_mean,normalized_validation_regret_mean,removed_fraction,selected_family_count_mean,removed_family_fraction_mean,passes_90pct_recall_at_50pct_removal,best_candidate_recall_tol_0_mean,best_candidate_recall_tol_0p001_mean,best_candidate_recall_tol_0p002_mean,best_candidate_recall_tol_0p005_mean
dinov2_b14,agglomerative_subspace,3,7,7,0.0,0.42857142857142855,0.0,0.0,0.23809523809523808,0.004265919312317711,0.19421178242324158,0.8571428571428572,3.0,0.8235294117647057,False,0.0,0.14285714285714285,0.2857142857142857,0.7142857142857143
dinov2_b14,agglomerative_subspace,5,7,7,0.0,0.42857142857142855,0.047619047619047616,0.0,0.2857142857142857,0.003501511074951304,0.15668998703289314,0.7619047619047619,5.0,0.7058823529411765,False,0.0,0.14285714285714285,0.2857142857142857,0.7142857142857143
dinov2_b14,agglomerative_subspace,10,7,7,0.0,0.42857142857142855,0.09523809523809523,0.14285714285714285,0.4523809523809523,0.003125240583439199,0.12894217745131695,0.5238095238095238,10.0,0.41176470588235287,False,0.0,0.2857142857142857,0.2857142857142857,0.7142857142857143
dinov2_b14,dpp_subspace,3,7,7,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,0.5238095238095237,0.0002683719244079682,0.030062433576228093,0.8571428571428572,3.0,0.8235294117647057,False,0.7142857142857143,0.8571428571428571,1.0,1.0
dinov2_b14,dpp_subspace,5,7,7,0.8571428571428571,1.0,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.00017500187279693793,0.01533491356795183,0.7619047619047619,4.0,0.7647058823529411,False,0.8571428571428571,0.8571428571428571,1.0,1.0
dinov2_b14,dpp_subspace,10,7,7,1.0,1.0,0.8095238095238095,1.0,0.8333333333333333,0.0,0.0,0.5238095238095238,8.0,0.5294117647058824,True,1.0,1.0,1.0,1.0
dinov2_b14,exact_merged_rank_greedy,3,7,7,0.8571428571428571,1.0,0.42857142857142855,0.8571428571428571,0.6666666666666666,0.00017500187279693793,0.01533491356795183,0.8571428571428572,3.0,0.8235294117647057,False,0.8571428571428571,0.8571428571428571,1.0,1.0
dinov2_b14,exact_merged_rank_greedy,5,7,7,0.8571428571428571,1.0,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.00017500187279693793,0.01533491356795183,0.7619047619047619,4.0,0.7647058823529411,False,0.8571428571428571,0.8571428571428571,1.0,1.0
dinov2_b14,exact_merged_rank_greedy,10,7,7,1.0,1.0,0.8571428571428571,1.0,0.8333333333333333,0.0,0.0,0.5238095238095238,7.0,0.5882352941176471,True,1.0,1.0,1.0,1.0
dinov2_b14,facility_subspace,3,7,7,0.0,0.5714285714285714,0.09523809523809523,0.14285714285714285,0.4047619047619047,0.0035134084284918882,0.15740300616818467,0.8571428571428572,3.0,0.8235294117647057,False,0.0,0.2857142857142857,0.42857142857142855,0.7142857142857143
