encoder,target,method,replicate,shortlist_size,candidate_count,removed_fraction,best_candidate_recall,best_candidate_confidence_set_recall,top3_candidate_recall,best_candidate_family_recall,top3_candidate_family_recall,oracle_source,oracle_sources,oracle_source_count,oracle_confidence_sources,oracle_confidence_source_count,oracle_source_family,oracle_source_families,selected_source,selected_source_family,shortlist,shortlist_families,candidate_family_count,selected_family_count,removed_family_fraction,oracle_validation_accuracy,selected_validation_accuracy,validation_regret,normalized_validation_regret,adapter_seeds,primary_tie_tolerance,oracle_validation_margin_to_second,stage2_evaluations,exhaustive_stage2_evaluations,best_candidate_recall_tol_0,best_candidate_recall_tol_0p001,best_candidate_recall_tol_0p002,best_candidate_recall_tol_0p005
dinov2_b14,eurosat,random,70,10,21,0.5238095238095238,0,1,0.0,0,0.3333333333333333,tiny_imagenet,tiny_imagenet,1,cifar100|organamnist|pathmnist|tiny_imagenet,4,tiny_imagenet,tiny_imagenet,organamnist,organmnist_views,breastmnist|cifar10|cifar100_coarse|fashion_mnist|mnist|octmnist|organamnist|rendered_sst2|retinamnist|stl10,breastmnist|cifar10|cifar100_shared_images|fashion_mnist|handwritten_digits|octmnist|organmnist_views|rendered_sst2|retinamnist|stl10,17,10,0.4117647058823529,0.9105466845361392,0.9089200190814335,0.0016266654547056891,0.12564351003124358,5,1e-12,0.0004666712641716586,10,21,0,0,1,1
dinov2_b14,eurosat,random,71,10,21,0.5238095238095238,0,1,0.3333333333333333,0,0.3333333333333333,tiny_imagenet,tiny_imagenet,1,cifar100|organamnist|pathmnist|tiny_imagenet,4,tiny_imagenet,tiny_imagenet,cifar100,cifar100_shared_images,bloodmnist|cifar10|cifar100|cifar100_coarse|organcmnist|organsmnist|pneumoniamnist|stl10|svhn|usps,bloodmnist|cifar10|cifar100_shared_images|handwritten_digits|organmnist_views|pneumoniamnist|stl10|svhn,17,8,0.5294117647058824,0.9105466845361392,0.9089333460704486,0.0016133384656905614,0.1246141344622447,5,1e-12,0.0004666712641716586,10,21,0,0,1,1
dinov2_b14,eurosat,random,72,10,21,0.5238095238095238,1,1,0.6666666666666666,1,0.6666666666666666,tiny_imagenet,tiny_imagenet,1,cifar100|organamnist|pathmnist|tiny_imagenet,4,tiny_imagenet,tiny_imagenet,tiny_imagenet,tiny_imagenet,breastmnist|cifar100|cifar100_coarse|dermamnist|organsmnist|rendered_sst2|stl10|tiny_imagenet|tissuemnist|usps,breastmnist|cifar100_shared_images|dermamnist|handwritten_digits|organmnist_views|rendered_sst2|stl10|tiny_imagenet|tissuemnist,17,9,0.47058823529411764,0.9105466845361392,0.9105466845361392,0.0,0.0,5,1e-12,0.0004666712641716586,10,21,1,1,1,1
dinov2_b14,eurosat,random,73,10,21,0.5238095238095238,1,1,0.6666666666666666,1,0.6666666666666666,tiny_imagenet,tiny_imagenet,1,cifar100|organamnist|pathmnist|tiny_imagenet,4,tiny_imagenet,tiny_imagenet,tiny_imagenet,tiny_imagenet,dermamnist|fashion_mnist|organamnist|organsmnist|pathmnist|pneumoniamnist|rendered_sst2|stl10|svhn|tiny_imagenet,dermamnist|fashion_mnist|organmnist_views|pathmnist|pneumoniamnist|rendered_sst2|stl10|svhn|tiny_imagenet,17,9,0.47058823529411764,0.9105466845361392,0.9105466845361392,0.0,0.0,5,1e-12,0.0004666712641716586,10,21,1,1,1,1
dinov2_b14,eurosat,random,74,10,21,0.5238095238095238,0,1,0.6666666666666666,0,0.6666666666666666,tiny_imagenet,tiny_imagenet,1,cifar100|organamnist|pathmnist|tiny_imagenet,4,tiny_imagenet,tiny_imagenet,pathmnist,pathmnist,cifar10|cifar100|cifar100_coarse|mnist|organamnist|pathmnist|pneumoniamnist|rendered_sst2|tissuemnist|usps,cifar10|cifar100_shared_images|handwritten_digits|organmnist_views|pathmnist|pneumoniamnist|rendered_sst2|tissuemnist,17,8,0.5294117647058824,0.9105466845361392,0.9100800132719675,0.0004666712641716586,0.03604565123801288,5,1e-12,0.0004666712641716586,10,21,0,1,1,1
dinov2_b14,eurosat,random,75,10,21,0.5238095238095238,0,1,0.3333333333333333,0,0.3333333333333333,tiny_imagenet,tiny_imagenet,1,cifar100|organamnist|pathmnist|tiny_imagenet,4,tiny_imagenet,tiny_imagenet,pathmnist,pathmnist,breastmnist|cifar10|dermamnist|fashion_mnist|octmnist|organcmnist|pathmnist|retinamnist|stl10|svhn,breastmnist|cifar10|dermamnist|fashion_mnist|octmnist|organmnist_views|pathmnist|retinamnist|stl10|svhn,17,10,0.4117647058823529,0.9105466845361392,0.9100800132719675,0.0004666712641716586,0.03604565123801288,5,1e-12,0.0004666712641716586,10,21,0,1,1,1
dinov2_b14,eurosat,random,76,10,21,0.5238095238095238,0,1,0.3333333333333333,0,0.3333333333333333,tiny_imagenet,tiny_imagenet,1,cifar100|organamnist|pathmnist|tiny_imagenet,4,tiny_imagenet,tiny_imagenet,cifar100,cifar100_shared_images,cifar10|cifar100|fashion_mnist|mnist|octmnist|organamnist|organcmnist|pneumoniamnist|stl10|usps,cifar10|cifar100_shared_images|fashion_mnist|handwritten_digits|octmnist|organmnist_views|pneumoniamnist|stl10,17,8,0.5294117647058824,0.9105466845361392,0.9089333460704486,0.0016133384656905614,0.1246141344622447,5,1e-12,0.0004666712641716586,10,21,0,0,1,1
dinov2_b14,eurosat,random,77,10,21,0.5238095238095238,0,1,0.6666666666666666,0,0.6666666666666666,tiny_imagenet,tiny_imagenet,1,cifar100|organamnist|pathmnist|tiny_imagenet,4,tiny_imagenet,tiny_imagenet,pathmnist,pathmnist,cifar10|cifar100|octmnist|organamnist|organsmnist|pathmnist|pneumoniamnist|retinamnist|stl10|svhn,cifar10|cifar100_shared_images|octmnist|organmnist_views|pathmnist|pneumoniamnist|retinamnist|stl10|svhn,17,9,0.47058823529411764,0.9105466845361392,0.9100800132719675,0.0004666712641716586,0.03604565123801288,5,1e-12,0.0004666712641716586,10,21,0,1,1,1
dinov2_b14,eurosat,random,78,10,21,0.5238095238095238,0,1,0.6666666666666666,0,0.6666666666666666,tiny_imagenet,tiny_imagenet,1,cifar100|organamnist|pathmnist|tiny_imagenet,4,tiny_imagenet,tiny_imagenet,pathmnist,pathmnist,breastmnist|cifar100|dermamnist|fashion_mnist|mnist|octmnist|pathmnist|pneumoniamnist|rendered_sst2|svhn,breastmnist|cifar100_shared_images|dermamnist|fashion_mnist|handwritten_digits|octmnist|pathmnist|pneumoniamnist|rendered_sst2|svhn,17,10,0.4117647058823529,0.9105466845361392,0.9100800132719675,0.0004666712641716586,0.03604565123801288,5,1e-12,0.0004666712641716586,10,21,0,1,1,1
dinov2_b14,eurosat,random,79,10,21,0.5238095238095238,0,1,0.3333333333333333,0,0.3333333333333333,tiny_imagenet,tiny_imagenet,1,cifar100|organamnist|pathmnist|tiny_imagenet,4,tiny_imagenet,tiny_imagenet,cifar100,cifar100_shared_images,breastmnist|cifar10|cifar100|cifar100_coarse|organamnist|organsmnist|pneumoniamnist|rendered_sst2|stl10|svhn,breastmnist|cifar10|cifar100_shared_images|organmnist_views|pneumoniamnist|rendered_sst2|stl10|svhn,17,8,0.5294117647058824,0.9105466845361392,0.9089333460704486,0.0016133384656905614,0.1246141344622447,5,1e-12,0.0004666712641716586,10,21,0,0,1,1
