shortlist_size,encoder_target_pairs,best_recall_delta_mean,validation_regret_delta_mean,shortlist_jaccard_mean,recall_wins,recall_ties,recall_losses,regret_wins,regret_ties,regret_losses
3,28,-0.10714285714285714,0.00035397069794791284,0.625,0,25,3,2,22,4
5,28,-0.17857142857142858,0.0010037754263196644,0.6666666666666666,0,23,5,0,23,5
10,28,0.0,1.7040542193817532e-05,0.7803030303030303,1,26,1,1,25,2
