encoder,target,shortlist_size,oracle_source_family,dpp_best_candidate_recall,rank_best_candidate_recall,dpp_validation_regret,rank_validation_regret,dpp_minus_rank_best_recall,dpp_minus_rank_top3_recall,dpp_minus_rank_validation_regret,dpp_minus_rank_normalized_validation_regret,dpp_minus_rank_test_regret,shortlist_jaccard,dpp_best_candidate_family_recall,rank_best_candidate_family_recall,dpp_minus_rank_best_family_recall
dinov2_b14,flowers102,3,handwritten_digits,0.0,0.0,0.001111104488372927,0.0010457436243694884,0.0,-0.3333333333333333,6.536086400343866e-05,0.00781270557594635,7.998943328857422e-05,0.2,0.0,0.0,0.0
dinov2_b14,flowers102,5,handwritten_digits,0.0,0.0,0.0010457436243694884,0.0010457436243694884,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
dinov2_b14,flowers102,8,handwritten_digits,0.0,0.0,0.0010457436243694884,0.0010457436243694884,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0
dinov2_b14,food101,3,fashion_mnist,1.0,0.0,0.0,0.0007466651519140166,1.0,0.0,-0.0007466651519140166,-0.029015487704985576,-0.0019999980926513894,0.2,1.0,0.0,1.0
dinov2_b14,food101,5,fashion_mnist,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
dinov2_b14,food101,8,fashion_mnist,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,1.0,0.0
dinov2_b14,gtsrb,3,bloodmnist,0.0,0.0,0.0029199995454152194,0.0024266709772745587,0.0,0.0,0.0004933285681406607,0.01948374658486543,0.00416001081466677,0.2,0.0,0.0,0.0
dinov2_b14,gtsrb,5,bloodmnist,0.0,0.0,0.0029199995454152194,0.0024266709772745587,0.0,-0.3333333333333333,0.0004933285681406607,0.01948374658486543,0.00416001081466677,0.6666666666666666,0.0,0.0,0.0
dinov2_b14,gtsrb,8,bloodmnist,0.0,0.0,0.0029199995454152194,0.0024266709772745587,0.0,-0.3333333333333333,0.0004933285681406607,0.01948374658486543,0.00416001081466677,0.7777777777777778,0.0,0.0,0.0
dinov2_b14,oxford_pets,3,organmnist_views,0.0,1.0,0.0011413102661785857,0.0,-1.0,0.0,0.0011413102661785857,0.08005124431308697,-0.0004906177520751509,0.2,1.0,1.0,0.0
dinov2_b14,oxford_pets,5,organmnist_views,0.0,1.0,0.0011413102661785857,0.0,-1.0,-0.3333333333333333,0.0011413102661785857,0.08005124431308697,-0.0004906177520751509,0.6666666666666666,1.0,1.0,0.0
dinov2_b14,oxford_pets,8,organmnist_views,0.0,1.0,0.0011413102661785857,0.0,-1.0,-0.3333333333333333,0.0011413102661785857,0.08005124431308697,-0.0004906177520751509,0.7777777777777778,1.0,1.0,0.0
resnet50,beans,3,rendered_sst2,0.0,0.0,0.015925201671804556,0.016054156697388078,0.0,0.3333333333333333,-0.00012895502558352145,-0.004090169160247625,-0.015625,0.2,0.0,0.0,0.0
resnet50,beans,5,rendered_sst2,0.0,0.0,0.015925201671804556,0.015925201671804556,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0
resnet50,beans,8,rendered_sst2,0.0,0.0,0.015925201671804556,0.015925201671804556,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
resnet50,dtd,3,fashion_mnist,1.0,0.0,0.0,0.0021453968683878832,1.0,0.3333333333333333,-0.0021453968683878832,-0.039555523137221126,0.00946807861328125,0.2,1.0,0.0,1.0
resnet50,dtd,5,fashion_mnist,1.0,1.0,0.0,0.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.42857142857142855,1.0,1.0,0.0
resnet50,dtd,8,fashion_mnist,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,0.0
resnet50,eurosat,3,dermamnist,0.0,0.0,0.004133332987626304,0.004133332987626304,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
resnet50,eurosat,5,dermamnist,0.0,0.0,0.0006400102877616165,0.004133332987626304,0.0,0.3333333333333333,-0.003493322699864687,-0.286337681273529,-0.002888906002044722,0.42857142857142855,0.0,0.0,0.0
resnet50,eurosat,8,dermamnist,0.0,0.0,0.0006400102877616165,0.0006400102877616165,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
