seed,target,accuracy,overlap,method,selected
2,food101,0.2673267424106598,0.0,oracle,stl10__overlap_000|cifar100|stl10
0,dtd,0.5574467778205872,0.0,random_0,bloodmnist|cifar100|mnist
0,eurosat,0.809999942779541,0.0,random_0,bloodmnist|cifar100|mnist
0,flowers102,0.6666667461395264,0.0,random_0,bloodmnist|cifar100|mnist
0,oxford_pets,0.8558559417724609,0.0,random_0,bloodmnist|cifar100|mnist
0,food101,0.2673267126083374,0.0,random_0,bloodmnist|cifar100|mnist
1,dtd,0.5148935914039612,0.0,random_0,bloodmnist|cifar100|mnist
1,eurosat,0.8649999499320984,0.0,random_0,bloodmnist|cifar100|mnist
1,flowers102,0.6274510622024536,0.0,random_0,bloodmnist|cifar100|mnist
1,oxford_pets,0.8648648858070374,0.0,random_0,bloodmnist|cifar100|mnist
1,food101,0.2227722704410553,0.0,random_0,bloodmnist|cifar100|mnist
2,dtd,0.5148935914039612,0.0,random_0,bloodmnist|cifar100|mnist
2,eurosat,0.8549999594688416,0.0,random_0,bloodmnist|cifar100|mnist
2,flowers102,0.6666667461395264,0.0,random_0,bloodmnist|cifar100|mnist
2,oxford_pets,0.8918919563293457,0.0,random_0,bloodmnist|cifar100|mnist
2,food101,0.25247523188591003,0.0,random_0,bloodmnist|cifar100|mnist
0,dtd,0.5574467778205872,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
0,eurosat,0.8199999332427979,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
0,flowers102,0.6764706969261169,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
0,oxford_pets,0.8558559417724609,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
0,food101,0.301980197429657,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
1,dtd,0.5234042406082153,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
1,eurosat,0.8649999499320984,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
1,flowers102,0.6764706373214722,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
1,oxford_pets,0.8558558821678162,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
1,food101,0.20792078971862793,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
2,dtd,0.5446808338165283,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
2,eurosat,0.8650000095367432,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
2,flowers102,0.6813726425170898,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
2,oxford_pets,0.8918919563293457,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
2,food101,0.2326732575893402,0.0,random_1,cifar100__overlap_000|stl10__overlap_000|svhn
0,dtd,0.5744680166244507,0.0,random_2,cifar100__overlap_000|mnist|stl10
0,eurosat,0.7999999523162842,0.0,random_2,cifar100__overlap_000|mnist|stl10
0,flowers102,0.6911765336990356,0.0,random_2,cifar100__overlap_000|mnist|stl10
0,oxford_pets,0.8603604435920715,0.0,random_2,cifar100__overlap_000|mnist|stl10
0,food101,0.28217822313308716,0.0,random_2,cifar100__overlap_000|mnist|stl10
1,dtd,0.5106382966041565,0.0,random_2,cifar100__overlap_000|mnist|stl10
1,eurosat,0.8550000190734863,0.0,random_2,cifar100__overlap_000|mnist|stl10
1,flowers102,0.6274510622024536,0.0,random_2,cifar100__overlap_000|mnist|stl10
1,oxford_pets,0.8648648858070374,0.0,random_2,cifar100__overlap_000|mnist|stl10
1,food101,0.2227722704410553,0.0,random_2,cifar100__overlap_000|mnist|stl10
2,dtd,0.5404255390167236,0.0,random_2,cifar100__overlap_000|mnist|stl10
2,eurosat,0.8700000047683716,0.0,random_2,cifar100__overlap_000|mnist|stl10
2,flowers102,0.6862745881080627,0.0,random_2,cifar100__overlap_000|mnist|stl10
2,oxford_pets,0.8873874545097351,0.0,random_2,cifar100__overlap_000|mnist|stl10
2,food101,0.2673267126083374,0.0,random_2,cifar100__overlap_000|mnist|stl10
0,dtd,0.5234042406082153,0.0,random_3,bloodmnist|mnist|stl10
0,eurosat,0.8149999976158142,0.0,random_3,bloodmnist|mnist|stl10
0,flowers102,0.6960785388946533,0.0,random_3,bloodmnist|mnist|stl10
0,oxford_pets,0.846846878528595,0.0,random_3,bloodmnist|mnist|stl10
0,food101,0.24257424473762512,0.0,random_3,bloodmnist|mnist|stl10
1,dtd,0.5191489458084106,0.0,random_3,bloodmnist|mnist|stl10
1,eurosat,0.8650000095367432,0.0,random_3,bloodmnist|mnist|stl10
1,flowers102,0.6568628549575806,0.0,random_3,bloodmnist|mnist|stl10
1,oxford_pets,0.8603603839874268,0.0,random_3,bloodmnist|mnist|stl10
1,food101,0.19801980257034302,0.0,random_3,bloodmnist|mnist|stl10
2,dtd,0.5361701846122742,0.0,random_3,bloodmnist|mnist|stl10
2,eurosat,0.8749999403953552,0.0,random_3,bloodmnist|mnist|stl10
2,flowers102,0.6862745881080627,0.0,random_3,bloodmnist|mnist|stl10
2,oxford_pets,0.8918919563293457,0.0,random_3,bloodmnist|mnist|stl10
2,food101,0.2871286869049072,0.0,random_3,bloodmnist|mnist|stl10
0,dtd,0.5446808338165283,0.0,random_4,bloodmnist|stl10|stl10__overlap_000
0,eurosat,0.824999988079071,0.0,random_4,bloodmnist|stl10|stl10__overlap_000
0,flowers102,0.6764706373214722,0.0,random_4,bloodmnist|stl10|stl10__overlap_000
0,oxford_pets,0.8738739490509033,0.0,random_4,bloodmnist|stl10|stl10__overlap_000
