dataset,encoder,target_domain,budget,method,repeat,selected,selected_sample_count,selected_sample_ids_sha256,target_test_count,ridge_regularization,ridge_solver,evaluation_seconds,evaluation_cache_hit,squared_loss,brier_score,nll,accuracy,macro_f1,ece
pacs,dinov2_b14,art_painting,1,random,10,sketch__block_02,963,0b9ecd8b6f6e215b99577067374268f12a2a3944518127671a4eb187d886d775,1415,1.0,primal,0.07325400784611702,1,0.37241174669469507,0.7014931429810107,1.508772212169611,0.9335689045936396,0.9352253081812846,0.70571095216345
pacs,dinov2_b14,art_painting,1,random,11,cartoon__block_00,596,b0f86f43776b9fcdda1ad2153e3a7fb233f177b4b908e0cb299f0fbc5deff6bd,1415,1.0,dual,0.052353596314787865,0,0.27357137668079096,0.6846443334468816,1.4634644801153018,0.9752650176678446,0.973936456265382,0.7391057738984735
pacs,dinov2_b14,art_painting,1,random,12,sketch__block_01,976,5859512888918069846e37dc905c6d8634fd89f0dcfa08be1508764ff757fc6e,1415,1.0,primal,0.07329212687909603,0,0.34577832799784464,0.6894242755507993,1.4793171638382683,0.930035335689046,0.9374571218579247,0.6952836139727203
pacs,dinov2_b14,art_painting,1,random,13,cartoon__block_01,569,30cc0052be5a1acf771d81b70cfe2d8bc46ea21a57c6edb44466b0f33980c75f,1415,1.0,dual,0.049692096188664436,1,0.26023344483790867,0.6764786850213084,1.4436916423844757,0.9738515901060071,0.9738097879863128,0.7331221799711058
pacs,dinov2_b14,art_painting,1,random,14,photo__block_01,415,48860612660737aebc7ae8b8f40446243a3ec939aa8720ec0ac4e262af8d14a5,1415,1.0,dual,0.03399020619690418,1,0.3545113836304738,0.7144836683987246,1.5476023539547659,0.8621908127208481,0.8741617473420905,0.6408843045177308
pacs,dinov2_b14,art_painting,1,random,15,cartoon__block_03,595,f9f628d428eec6d6519650f8168db85b35af2d5ecb78dab0523059ff4203ae4e,1415,1.0,dual,0.051972704008221626,1,0.2689890473067626,0.685407827441301,1.4651434422096778,0.9802120141342756,0.9789579890816731,0.7445485561589448
pacs,dinov2_b14,art_painting,1,random,16,photo__block_02,395,3eb8ad01ac4570e6423b78af100179402d569f187fa6bd8309224db6080bc14c,1415,1.0,dual,0.031211404129862785,0,0.3793863735566757,0.7212186473743889,1.5651306270683971,0.8530035335689046,0.8602386499648348,0.6351229517393409
pacs,dinov2_b14,art_painting,1,random,17,cartoon__block_01,569,30cc0052be5a1acf771d81b70cfe2d8bc46ea21a57c6edb44466b0f33980c75f,1415,1.0,dual,0.049692096188664436,1,0.26023344483790867,0.6764786850213084,1.4436916423844757,0.9738515901060071,0.9738097879863128,0.7331221799711058
pacs,dinov2_b14,art_painting,1,random,18,sketch__block_01,976,5859512888918069846e37dc905c6d8634fd89f0dcfa08be1508764ff757fc6e,1415,1.0,primal,0.07329212687909603,1,0.34577832799784464,0.6894242755507993,1.4793171638382683,0.930035335689046,0.9374571218579247,0.6952836139727203
pacs,dinov2_b14,art_painting,1,random,19,cartoon__block_01,569,30cc0052be5a1acf771d81b70cfe2d8bc46ea21a57c6edb44466b0f33980c75f,1415,1.0,dual,0.049692096188664436,1,0.26023344483790867,0.6764786850213084,1.4436916423844757,0.9738515901060071,0.9738097879863128,0.7331221799711058
