shortlist_size,encoder_target_pairs,best_recall_delta_mean,validation_regret_delta_mean,shortlist_jaccard_mean,recall_wins,recall_ties,recall_losses,regret_wins,regret_ties,regret_losses
3,28,0.0,-3.5904633936386813e-06,0.625,1,26,1,2,22,4
5,28,-0.03571428571428571,0.0001228400576664877,0.6666666666666666,1,25,2,1,23,4
10,28,-0.03571428571428571,-1.356127504964896e-05,0.7803030303030303,0,27,1,1,26,1
