shortlist_size,encoder_target_pairs,best_recall_delta_mean,validation_regret_delta_mean,shortlist_jaccard_mean,recall_wins,recall_ties,recall_losses,regret_wins,regret_ties,regret_losses
3,28,0.0,-0.0004637109623606258,0.625,2,24,2,4,20,4
5,28,-0.07142857142857142,-4.578587771212577e-05,0.6666666666666666,1,24,3,2,22,4
10,28,0.0,4.768632798769966e-06,0.7803030303030303,0,28,0,1,26,1
