excluded_encoder,method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
clip_b32,dpp_subspace,3,21,3,21,0.6666666666666666,0.38095238095238093,0.0011493674827614832,0.048123462574211594,-0.002331864266168506,0.8571428571428571,0.7619047619047619,0.6190476190476191,3.0,0.8235294117647058,0,False
clip_b32,facility_subspace,3,21,3,21,0.09523809523809523,0.30158730158730157,0.00487054790932101,0.15631773083302777,0.0018779805728367344,0.8571428571428571,0.14285714285714285,0.3412698412698412,3.0,0.8235294117647058,0,False
clip_b32,full_merged_rank,3,21,3,21,0.7142857142857143,0.47619047619047616,0.0010897754076549064,0.04198712230614883,-0.0018140412512279687,0.8571428571428571,0.8095238095238095,0.6349206349206349,3.0,0.8235294117647058,0,False
clip_b32,kcenter_subspace,3,21,3,21,0.6190476190476191,0.31746031746031744,0.0008413831297712861,0.05061538131146818,0.00044063329696654376,0.8571428571428571,0.6190476190476191,0.3412698412698412,3.0,0.8235294117647058,0,False
clip_b32,pool_vendi_subspace,3,21,3,21,0.6190476190476191,0.31746031746031744,0.0008413831297712861,0.05061538131146818,0.00044063329696654376,0.8571428571428571,0.6190476190476191,0.3412698412698412,3.0,0.8235294117647058,0,False
clip_b32,rank_only,3,21,3,21,0.6666666666666666,0.5238095238095238,0.0017676487659089844,0.07152221368688517,-9.547244934809698e-05,0.8571428571428571,0.6666666666666666,0.5238095238095238,2.0,0.8823529411764705,0,False
clip_b32,dpp_subspace,5,21,3,21,0.7142857142857143,0.44444444444444436,0.0009246100422184064,0.037180054272215476,-0.0008323402631850454,0.7619047619047619,0.8095238095238095,0.7222222222222222,5.0,0.7058823529411764,0,False
clip_b32,facility_subspace,5,21,3,21,0.23809523809523808,0.39682539682539675,0.00306944611541238,0.10292755117245382,0.002908634571802042,0.7619047619047619,0.2857142857142857,0.43650793650793646,5.0,0.7058823529411764,0,False
clip_b32,full_merged_rank,5,21,3,21,0.8095238095238095,0.6825396825396824,0.0009360771397449783,0.036758001203581116,-0.001215828032720663,0.7619047619047619,0.8095238095238095,0.6825396825396824,4.0,0.7647058823529411,1,False
clip_b32,kcenter_subspace,5,21,3,21,0.6190476190476191,0.31746031746031744,0.0007308555335182281,0.044470287311767345,0.0021519428207760656,0.7619047619047619,0.6190476190476191,0.3412698412698412,5.0,0.7058823529411764,0,False
