method,shortlist_size,rows,encoders,encoder_target_pairs,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_vs_exhaustive_validation_selection_mean,removed_fraction_mean,best_candidate_family_recall_mean,top3_candidate_family_recall_mean,selected_family_count_mean,removed_family_fraction_mean,passing_encoders,passes_overall
dpp_subspace,3,28,4,28,0.6785714285714286,0.41666666666666663,0.0011886603475138116,0.046185378038563256,-0.0013296135834285172,0.8571428571428571,0.75,0.6011904761904762,3.0,0.8235294117647058,0,False
facility_subspace,3,28,4,28,0.10714285714285714,0.2857142857142857,0.004474666096606396,0.15498663108099023,0.002726309640066958,0.8571428571428571,0.14285714285714285,0.34523809523809523,3.0,0.8235294117647058,0,False
full_merged_rank,3,28,4,28,0.7142857142857143,0.4880952380952381,0.0011439662911838788,0.04158312283751618,-0.000941246322223114,0.8571428571428571,0.7857142857142857,0.613095238095238,3.0,0.8235294117647058,0,False
kcenter_subspace,3,28,4,28,0.4642857142857143,0.29761904761904756,0.002160347315148759,0.0895558217360409,0.002569065775190078,0.8571428571428571,0.4642857142857143,0.3154761904761904,3.0,0.8235294117647058,0,False
pool_vendi_subspace,3,28,4,28,0.4642857142857143,0.29761904761904756,0.002160347315148759,0.0895558217360409,0.002569065775190078,0.8571428571428571,0.4642857142857143,0.3154761904761904,3.0,0.8235294117647058,0,False
random,3,2800,4,28,0.13857142857142857,0.1394047619047619,0.00709684720756203,0.24219815981073095,0.006450550537024222,0.8571428571428571,0.15392857142857144,0.18863095238095237,2.9392857142857145,0.8271008403361345,0,False
rank_only,3,28,4,28,0.6785714285714286,0.5238095238095238,0.0016523713098744372,0.06373444137306844,0.0003476802791867898,0.8571428571428571,0.6785714285714286,0.5297619047619048,2.25,0.8676470588235293,0,False
dpp_subspace,5,28,4,28,0.75,0.4880952380952381,0.0008381821221015559,0.030649443042791682,-0.0006513991526194954,0.7619047619047619,0.8571428571428571,0.755952380952381,5.0,0.7058823529411764,0,False
facility_subspace,5,28,4,28,0.21428571428571427,0.41666666666666663,0.0029221502146685313,0.10307582982269481,0.0035867788961955432,0.7619047619047619,0.25,0.47619047619047616,5.0,0.7058823529411764,0,False
full_merged_rank,5,28,4,28,0.8214285714285714,0.7142857142857143,0.0008839679998136816,0.03489687967196032,-0.0004654424531119234,0.7619047619047619,0.8214285714285714,0.7142857142857143,4.0,0.7647058823529411,1,False
kcenter_subspace,5,28,4,28,0.4642857142857143,0.3095238095238095,0.002077451617958966,0.08494700123626528,0.0038525479180472194,0.7619047619047619,0.4642857142857143,0.35119047619047616,5.0,0.7058823529411764,0,False
pool_vendi_subspace,5,28,4,28,0.5714285714285714,0.4047619047619047,0.0016236645275225067,0.06172664075951707,0.0021566569805145314,0.7619047619047619,0.5714285714285714,0.42261904761904756,5.0,0.7058823529411764,0,False
random,5,2800,4,28,0.24785714285714286,0.24476190476190474,0.004958274582517505,0.16723895443662953,0.004389870965055055,0.7619047619047618,0.27285714285714285,0.3135119047619047,4.771428571428571,0.719327731092437,0,False
rank_only,5,28,4,28,0.8214285714285714,0.7142857142857143,0.0008839679998136816,0.03489687967196032,-0.0004654424531119234,0.7619047619047619,0.8214285714285714,0.7142857142857143,4.0,0.7647058823529411,1,False
dpp_subspace,10,28,4,28,0.8571428571428571,0.7976190476190476,0.0006469571900018076,0.025406855787238,-0.0007103170667375877,0.5238095238095238,0.8571428571428571,0.8273809523809524,8.5,0.5,2,False
facility_subspace,10,28,4,28,0.2857142857142857,0.5357142857142857,0.0024530969679997772,0.08255907629801351,0.002946436405181881,0.5238095238095238,0.32142857142857145,0.6071428571428571,10.0,0.4117647058823529,0,False
full_merged_rank,10,28,4,28,0.8571428571428571,0.8452380952380952,0.0005638982140995944,0.02221459783675723,-0.00018642459596906628,0.5238095238095238,0.8571428571428571,0.8511904761904762,8.25,0.5147058823529412,2,False
kcenter_subspace,10,28,4,28,0.6071428571428571,0.5357142857142857,0.0007126919528967728,0.033317663888573726,0.002098673156329562,0.5238095238095238,0.6428571428571429,0.5892857142857143,9.75,0.4264705882352941,0,False
pool_vendi_subspace,10,28,4,28,0.75,0.5714285714285714,0.0004192610602302257,0.017530278553123838,0.0011126548051834126,0.5238095238095238,0.7857142857142857,0.6011904761904762,9.75,0.4264705882352941,0,False
random,10,2800,4,28,0.46714285714285714,0.47035714285714286,0.0026922247439934354,0.08812156633479647,0.0022977239127670007,0.5238095238095238,0.5021428571428571,0.5684523809523809,9.006428571428572,0.4702100840336134,0,False
rank_only,10,28,4,28,0.8571428571428571,0.7976190476190476,0.0006421885572030375,0.02462868038055781,-0.0004654424531119234,0.5238095238095238,0.8571428571428571,0.8035714285714286,7.25,0.5735294117647058,2,False
