method,shortlist_size,unit_count,mean_shortlist_reduction,mean_true_top_q_recall,recall_ci_low,recall_ci_high,mean_selected_normalized_regret,regret_ci_low,regret_ci_high,mean_best_shortlist_normalized_regret,mean_screen_spearman_vs_test_brier,passes_reduction_gate,passes_recall_gate,passes_regret_gate,passes_all_gates
bayesian_d,10,6,0.978021978021978,0.13333333333333333,0.041666666666666664,0.26666666666666666,0.00021359234192754297,0.00011104911547781253,0.0003028472612056864,0.00020950012256631782,0.4996116816949184,1,0,1,0
bayesian_d,25,6,0.9450549450549451,0.27499999999999997,0.10833333333333332,0.4666666666666666,0.0001362372031658937,6.960356359092735e-05,0.00019416348283739294,0.00013477838174030343,0.4996116816949184,1,0,1,0
bayesian_d,50,6,0.8901098901098902,0.40833333333333327,0.17500000000000002,0.6666666666666666,8.807572064417045e-05,4.159483893707262e-05,0.00014054006417641202,8.706028656992207e-05,0.4996116816949184,1,0,1,0
bayesian_d,100,6,0.7802197802197802,0.5666666666666667,0.2916666666666667,0.8250000000000001,5.1822845113240795e-05,1.603764766854231e-05,9.124649810293002e-05,4.5699766484114694e-05,0.4996116816949184,1,0,1,0
bayesian_d,227,6,0.5010989010989011,0.8250000000000001,0.4916666666666667,1.0,2.6577204822006547e-05,2.5359725943624757e-06,5.707003872130661e-05,1.5364265265363773e-05,0.4996116816949184,1,0,1,0
domain_balance,10,6,0.978021978021978,0.0,0.0,0.0,0.0004203191698835842,0.00028449602940179526,0.0005469935378492821,0.00041367786283701943,0.06805308552642196,1,0,1,0
domain_balance,25,6,0.9450549450549451,0.0,0.0,0.0,0.0003883763728247459,0.0002648422305427999,0.0004993531154601173,0.0003793782923713943,0.06805308552642196,1,0,1,0
domain_balance,50,6,0.8901098901098902,0.025000000000000005,0.0,0.05833333333333333,0.00021062595012726797,0.00015255904755978014,0.0002668943926328534,0.00020402242559280174,0.06805308552642196,1,0,1,0
domain_balance,100,6,0.7802197802197802,0.09999999999999999,0.041666666666666664,0.16666666666666666,0.00013872486505647077,0.00010155004801003238,0.00018098245925536792,0.00013125833960374441,0.06805308552642196,1,0,1,0
domain_balance,227,6,0.5010989010989011,0.24999999999999997,0.17500000000000002,0.3333333333333333,0.00012083120520894586,7.677227441050078e-05,0.00016241093714233678,0.00011010873910421168,0.06805308552642196,1,0,1,0
dpp_subspace,10,6,0.978021978021978,0.016666666666666666,0.0,0.05000000000000001,0.0006492692376750404,0.00043849680438998894,0.0008801971947656356,0.0006488824769244301,-0.06334296644695439,1,0,1,0
dpp_subspace,25,6,0.9450549450549451,0.016666666666666666,0.0,0.05000000000000001,0.0005268063891256075,0.000368235129078056,0.0006782527311587488,0.000521360361876257,-0.06334296644695439,1,0,1,0
dpp_subspace,50,6,0.8901098901098902,0.041666666666666664,0.0,0.10833333333333334,0.00041597739657597696,0.0002786998508600143,0.0005580051501051388,0.00041597739657597696,-0.06334296644695439,1,0,1,0
dpp_subspace,100,6,0.7802197802197802,0.08333333333333333,0.008333333333333333,0.21666666666666665,0.00023931683687081605,0.0001519945284005232,0.00033089443635889176,0.00023668416261918607,-0.06334296644695439,1,0,1,0
dpp_subspace,227,6,0.5010989010989011,0.275,0.125,0.44999999999999996,9.066908842920367e-05,6.48342075248938e-05,0.00012040446174027768,8.911615594107458e-05,-0.06334296644695439,1,0,1,0
merged_effective_rank,10,6,0.978021978021978,0.13333333333333333,0.041666666666666664,0.26666666666666666,0.0002266029747824049,0.00012398470425846266,0.00031078870399260644,0.00022251075542117972,0.49511312167236116,1,0,1,0
merged_effective_rank,25,6,0.9450549450549451,0.26666666666666666,0.10833333333333332,0.44166666666666665,0.0001362372031658937,6.960356359092735e-05,0.00019416348283739294,0.00013478038343143993,0.49511312167236116,1,0,1,0
merged_effective_rank,50,6,0.8901098901098902,0.39999999999999997,0.17500000000000002,0.6416666666666667,9.075388261399645e-05,4.159483893707262e-05,0.00014857455008589,8.896916292299849e-05,0.49511312167236116,1,0,1,0
merged_effective_rank,100,6,0.7802197802197802,0.5583333333333333,0.2833333333333334,0.8166666666666668,5.1822845113240795e-05,1.603764766854231e-05,9.124649810293002e-05,4.687773940536339e-05,0.49511312167236116,1,0,1,0
merged_effective_rank,227,6,0.5010989010989011,0.8166666666666668,0.48333333333333334,0.9916666666666667,2.9090940160631432e-05,2.5359725943624757e-06,6.417033042176549e-05,1.598080745547289e-05,0.49511312167236116,1,0,1,0
random,10,6,0.978021978021978,0.022500000000000003,0.017916666666666668,0.02666666666666666,0.0003190204009855346,0.0002126774758602507,0.0004215321357055177,0.0003134465580161608,0.001644050506646148,1,0,1,0
random,25,6,0.9450549450549451,0.05291666666666667,0.04791666666666666,0.05791666666666667,0.00020015392341142668,0.00014642518390935072,0.0002470280118139698,0.0001921148162383942,0.001644050506646148,1,0,1,0
random,50,6,0.8901098901098902,0.10416666666666669,0.09541666666666669,0.1129166666666667,0.00013345967199858934,9.789675569178348e-05,0.00016649093927010702,0.00012657664137237054,0.001644050506646148,1,0,1,0
random,100,6,0.7802197802197802,0.2133333333333333,0.1920833333333333,0.23500000000000001,8.416298966209759e-05,6.403777815072845e-05,0.00010428820117346673,7.406681085665137e-05,0.001644050506646148,1,0,1,0
random,227,6,0.5010989010989011,0.4895833333333333,0.4695833333333333,0.5095833333333334,3.8994550708482675e-05,2.706437944492386e-05,5.252238410082068e-05,2.91387611400692e-05,0.001644050506646148,1,0,1,0
second_moment_mmd,10,6,0.978021978021978,0.275,0.15833333333333333,0.4000000000000001,6.207925185171559e-05,2.221466735259728e-05,0.00012289534460400802,5.373708497797263e-05,0.6902034504254537,1,0,1,0
second_moment_mmd,25,6,0.9450549450549451,0.47500000000000003,0.35833333333333334,0.6083333333333334,2.6272994697049607e-05,7.5968141008533964e-06,4.700735109840275e-05,1.584225242599206e-05,0.6902034504254537,1,0,1,0
second_moment_mmd,50,6,0.8901098901098902,0.7083333333333334,0.5833333333333334,0.85,1.3342655576992969e-05,2.8934583364748784e-06,2.9670600633336e-05,1.2330604040430122e-06,0.6902034504254537,1,0,1,0
second_moment_mmd,100,6,0.7802197802197802,0.8666666666666667,0.8166666666666668,0.9250000000000002,1.418241619615906e-05,3.5606682283336204e-06,3.0373624567959266e-05,0.0,0.6902034504254537,1,0,1,0
second_moment_mmd,227,6,0.5010989010989011,0.9833333333333334,0.9666666666666667,1.0,1.311320985254453e-05,2.2843903488936408e-06,3.0314599509689923e-05,0.0,0.6902034504254537,1,1,1,1
target_a,10,6,0.978021978021978,0.2416666666666667,0.13333333333333333,0.3666666666666667,7.897222576007641e-05,3.7374159918798844e-05,0.00012562396335743977,7.897222576007641e-05,0.744317641358564,1,0,1,0
target_a,25,6,0.9450549450549451,0.45,0.2833333333333333,0.6333333333333332,5.087669443250732e-05,2.009242322023553e-05,8.119781407362573e-05,4.7969468573212215e-05,0.744317641358564,1,0,1,0
target_a,50,6,0.8901098901098902,0.6333333333333333,0.4583333333333333,0.8166666666666668,2.3436834138702782e-05,7.022262778525046e-06,4.099783959908883e-05,1.2524485327031319e-05,0.744317641358564,1,0,1,0
target_a,100,6,0.7802197802197802,0.7999999999999999,0.6833333333333332,0.9249999999999999,2.3436834138702782e-05,7.022262778525046e-06,4.0766263813512135e-05,1.2396445309367356e-05,0.744317641358564,1,0,1,0
target_a,227,6,0.5010989010989011,0.9833333333333334,0.9666666666666667,1.0,1.311320985254453e-05,2.2843903488936408e-06,3.0314599509689923e-05,0.0,0.744317641358564,1,1,1,1
target_energy,10,6,0.978021978021978,0.049999999999999996,0.0,0.15,0.0007678618267886956,0.0003952086175532203,0.0010856814988205114,0.0007678618267886956,-0.039850611364059096,1,0,1,0
target_energy,25,6,0.9450549450549451,0.08333333333333333,0.0,0.25,0.0006014452162247656,0.0002715692245837059,0.0009313212078658255,0.0005947283606957941,-0.039850611364059096,1,0,1,0
target_energy,50,6,0.8901098901098902,0.1416666666666667,0.0,0.42500000000000004,0.00040051366407227944,0.0001963057265501702,0.000612301574790338,0.00039017379007481493,-0.039850611364059096,1,0,1,0
target_energy,100,6,0.7802197802197802,0.20833333333333334,0.016666666666666666,0.5083333333333333,0.0002252605427039502,8.577452709714051e-05,0.00037283858093772773,0.0002189566578224088,-0.039850611364059096,1,0,1,0
target_energy,227,6,0.5010989010989011,0.4666666666666666,0.225,0.7166666666666667,9.346823955841241e-05,1.819773556983799e-05,0.00019019603863055143,8.693735368781547e-05,-0.039850611364059096,1,0,1,0
