encoder,target_domain,method,shortlist_size,shortlist_reduction,true_top_q_recall,selected_normalized_regret,best_shortlist_normalized_regret,screen_spearman_vs_test_brier
dinov2_b14,clipart,bayesian_d,10,0.978021978021978,0.0,0.0005911526583862577,0.0005911526583862577,0.4906062173393497
dinov2_b14,clipart,bayesian_d,25,0.945054945054945,0.1,0.0002143451304115019,0.0002143451304115019,0.4906062173393497
dinov2_b14,clipart,bayesian_d,50,0.8901098901098901,0.1,0.0002143451304115019,0.0002143451304115019,0.4906062173393497
dinov2_b14,clipart,bayesian_d,100,0.7802197802197802,0.3,0.00015852862499754456,0.00015852862499754456,0.4906062173393497
dinov2_b14,clipart,bayesian_d,227,0.5010989010989011,1.0,0.0,0.0,0.4906062173393497
dinov2_b14,clipart,domain_balance,10,0.978021978021978,0.0,0.0006050611143375409,0.0006050611143375409,-0.11472828122491929
dinov2_b14,clipart,domain_balance,25,0.945054945054945,0.0,0.0006050611143375409,0.0006050611143375409,-0.11472828122491929
dinov2_b14,clipart,domain_balance,50,0.8901098901098901,0.0,0.0003317554709787421,0.0003317554709787421,-0.11472828122491929
dinov2_b14,clipart,domain_balance,100,0.7802197802197802,0.0,0.0003317554709787421,0.0003317554709787421,-0.11472828122491929
dinov2_b14,clipart,domain_balance,227,0.5010989010989011,0.1,0.00025447817472788644,0.00025447817472788644,-0.11472828122491929
dinov2_b14,clipart,dpp_subspace,10,0.978021978021978,0.0,0.0010105598968776757,0.0010105598968776757,-0.07660777664255522
dinov2_b14,clipart,dpp_subspace,25,0.945054945054945,0.0,0.0009374742176327959,0.0009374742176327959,-0.07660777664255522
dinov2_b14,clipart,dpp_subspace,50,0.8901098901098901,0.0,0.0008668888408811088,0.0008668888408811088,-0.07660777664255522
dinov2_b14,clipart,dpp_subspace,100,0.7802197802197802,0.0,0.0008164963929966454,0.0008164963929966454,-0.07660777664255522
dinov2_b14,clipart,dpp_subspace,227,0.5010989010989011,0.2,0.0002143451304115019,0.0002143451304115019,-0.07660777664255522
dinov2_b14,clipart,merged_effective_rank,10,0.978021978021978,0.0,0.0005911526583862577,0.0005911526583862577,0.48683815604752306
dinov2_b14,clipart,merged_effective_rank,25,0.945054945054945,0.1,0.0002143451304115019,0.0002143451304115019,0.48683815604752306
dinov2_b14,clipart,merged_effective_rank,50,0.8901098901098901,0.1,0.0002143451304115019,0.0002143451304115019,0.48683815604752306
dinov2_b14,clipart,merged_effective_rank,100,0.7802197802197802,0.2,0.00015852862499754456,0.00015852862499754456,0.48683815604752306
dinov2_b14,clipart,merged_effective_rank,227,0.5010989010989011,1.0,0.0,0.0,0.48683815604752306
dinov2_b14,clipart,random,10,0.9780219780219779,0.025,0.0005383836338323045,0.0005299280517082533,0.011487988014767518
dinov2_b14,clipart,random,25,0.945054945054945,0.049999999999999996,0.00037296814297525175,0.0003694956364891749,0.011487988014767518
dinov2_b14,clipart,random,50,0.8901098901098902,0.09500000000000001,0.00025447575836524955,0.0002482923794889163,0.011487988014767518
dinov2_b14,clipart,random,100,0.7802197802197803,0.18,0.00015425674525824763,0.00015150247258416625,0.011487988014767518
dinov2_b14,clipart,random,227,0.5010989010989011,0.49000000000000005,6.986877590111865e-05,6.645983251917152e-05,0.011487988014767518
dinov2_b14,clipart,second_moment_mmd,10,0.978021978021978,0.1,0.00028938566874709846,0.00028938566874709846,0.5469998700580662
dinov2_b14,clipart,second_moment_mmd,25,0.945054945054945,0.4,0.0,0.0,0.5469998700580662
dinov2_b14,clipart,second_moment_mmd,50,0.8901098901098901,0.5,0.0,0.0,0.5469998700580662
dinov2_b14,clipart,second_moment_mmd,100,0.7802197802197802,0.9,0.0,0.0,0.5469998700580662
dinov2_b14,clipart,second_moment_mmd,227,0.5010989010989011,1.0,0.0,0.0,0.5469998700580662
dinov2_b14,clipart,target_a,10,0.978021978021978,0.2,0.00015852862499754456,0.00015852862499754456,0.633841083562855
dinov2_b14,clipart,target_a,25,0.945054945054945,0.3,0.00015852862499754456,0.00015852862499754456,0.633841083562855
dinov2_b14,clipart,target_a,50,0.8901098901098901,0.4,0.0,0.0,0.633841083562855
dinov2_b14,clipart,target_a,100,0.7802197802197802,0.8,0.0,0.0,0.633841083562855
dinov2_b14,clipart,target_a,227,0.5010989010989011,1.0,0.0,0.0,0.633841083562855
dinov2_b14,clipart,target_energy,10,0.978021978021978,0.0,0.0008584055792902786,0.0008584055792902786,-0.38295709623091956
dinov2_b14,clipart,target_energy,25,0.945054945054945,0.0,0.0008584055792902786,0.0008584055792902786,-0.38295709623091956
dinov2_b14,clipart,target_energy,50,0.8901098901098901,0.0,0.00030186467453320793,0.00030186467453320793,-0.38295709623091956
dinov2_b14,clipart,target_energy,100,0.7802197802197802,0.0,0.00030186467453320793,0.00030186467453320793,-0.38295709623091956
dinov2_b14,clipart,target_energy,227,0.5010989010989011,0.2,0.00024654969110336777,0.00024654969110336777,-0.38295709623091956
dinov2_b14,infograph,bayesian_d,10,0.978021978021978,0.0,0.00022384602013558492,0.00022384602013558492,0.48054960342231384
dinov2_b14,infograph,bayesian_d,25,0.945054945054945,0.0,0.0001832991171828497,0.0001832991171828497,0.48054960342231384
dinov2_b14,infograph,bayesian_d,50,0.8901098901098901,0.0,0.0001832991171828497,0.0001832991171828497,0.48054960342231384
