encoder,method,shortlist_size,rows,targets,best_candidate_recall_mean,top3_candidate_recall_mean,validation_regret_mean,normalized_validation_regret_mean,test_regret_mean,removed_fraction,passes_90pct_recall_at_50pct_removal
resnet50,dpp_subspace,3,7,7,0.7142857142857143,0.3333333333333333,0.004140802359545408,0.13016076368512605,-0.00425165380750384,0.8571428571428572,False
resnet50,dpp_subspace,5,7,7,0.7142857142857143,0.3333333333333333,0.003339474514365432,0.10835620866697589,-0.0024659395217895602,0.7619047619047619,False
resnet50,dpp_subspace,10,7,7,0.7142857142857143,0.619047619047619,0.0030641743301792,0.09460110511378653,-0.001659723690577922,0.5238095238095238,False
resnet50,facility_subspace,3,7,7,0.0,0.19047619047619047,0.00856416278582425,0.24098234581789502,-0.0006032807486398006,0.8571428571428572,False
resnet50,facility_subspace,5,7,7,0.14285714285714285,0.23809523809523808,0.004723322132444545,0.13647103768563368,0.0016288621085030566,0.7619047619047619,False
resnet50,facility_subspace,10,7,7,0.2857142857142857,0.5238095238095238,0.0030090367458140816,0.06495825232577215,-0.0005296536854335303,0.5238095238095238,False
resnet50,full_merged_rank,3,7,7,0.7142857142857143,0.3333333333333333,0.004140802359545408,0.13016076368512605,-0.00425165380750384,0.8571428571428572,False
resnet50,full_merged_rank,5,7,7,0.7142857142857143,0.5238095238095237,0.003339474514365432,0.10835620866697589,-0.0024659395217895602,0.7619047619047619,False
resnet50,full_merged_rank,10,7,7,0.7142857142857143,0.619047619047619,0.002897365133652352,0.09632617829453384,-0.000903439521789554,0.5238095238095238,False
resnet50,kcenter_subspace,3,7,7,0.8571428571428571,0.3333333333333333,0.0003828584017072486,0.027905118537285827,-1.0582378932414268e-05,0.8571428571428572,False
resnet50,kcenter_subspace,5,7,7,0.8571428571428571,0.3333333333333333,0.0003828584017072486,0.027905118537285827,-1.0582378932414268e-05,0.7619047619047619,False
resnet50,kcenter_subspace,10,7,7,0.8571428571428571,0.5714285714285714,0.0002457168793678236,0.017909385336185142,0.00034920488085064615,0.5238095238095238,False
resnet50,pool_vendi_subspace,3,7,7,0.8571428571428571,0.3333333333333333,0.0003828584017072486,0.027905118537285827,-1.0582378932414268e-05,0.8571428571428572,False
resnet50,pool_vendi_subspace,5,7,7,0.8571428571428571,0.3333333333333333,0.0003828584017072486,0.027905118537285827,-1.0582378932414268e-05,0.7619047619047619,False
resnet50,pool_vendi_subspace,10,7,7,0.8571428571428571,0.5714285714285714,0.0002457168793678236,0.017909385336185142,0.00034920488085064615,0.5238095238095238,False
resnet50,random,3,700,7,0.13857142857142857,0.14857142857142855,0.010567208983538202,0.26415943333317615,0.004448736080101549,0.8571428571428572,False
resnet50,random,5,700,7,0.23142857142857143,0.2466666666666667,0.007926651891128702,0.19650636445192496,0.0024106577038764897,0.7619047619047619,False
resnet50,random,10,700,7,0.42857142857142855,0.4776190476190476,0.004675757586899903,0.11617275524089687,0.0005874062691416038,0.5238095238095238,False
resnet50,rank_only,3,7,7,0.7142857142857143,0.47619047619047616,0.004223699055086952,0.13241642666954717,-0.0022427252360752714,0.8571428571428572,False
resnet50,rank_only,5,7,7,0.7142857142857143,0.5238095238095237,0.003339474514365432,0.10835620866697589,-0.0024659395217895602,0.7619047619047619,False
resnet50,rank_only,10,7,7,0.7142857142857143,0.5714285714285714,0.0032013158525186253,0.10459683831488722,-0.0020195109503609826,0.5238095238095238,False
