encoder,overlap,seeds,alignment_global_lineage_auroc_mean,alignment_global_lineage_auroc_std,alignment_global_lineage_auprc_mean,alignment_global_lineage_auprc_std,alignment_parent_matched_auroc_mean,alignment_parent_matched_auroc_std,alignment_parent_matched_auprc_mean,alignment_parent_matched_auprc_std,alignment_parent_top1_accuracy_mean,alignment_parent_top1_accuracy_std,alignment_parent_mean_reciprocal_rank_mean,alignment_parent_mean_reciprocal_rank_std,alignment_zero_overlap_designated_parent_top1_accuracy_mean
clip_b32,0.0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22000000000000003
clip_b32,0.1,10,0.9457627118644065,0.0047939442792308455,0.32551556316565505,0.10437613291892496,0.6546666666666666,0.02305120440869324,0.5277207482060423,0.07832131116560243,0.8800000000000001,0.1398411797560202,0.9400000000000001,0.06992058987801009,nan
clip_b32,0.25,10,0.9648135593220338,0.005098036615922981,0.5235465003222584,0.06477413974618734,0.764,0.03082407268337725,0.6644942557442557,0.04754969972031857,1.0,0.0,1.0,0.0,nan
clip_b32,0.5,10,0.9968135593220339,0.004130712442038933,0.9281168831168832,0.08135125884088709,0.9826666666666668,0.02814424924264456,0.9722222222222221,0.04482858680337112,1.0,0.0,1.0,0.0,nan
clip_b32,0.75,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
clip_b32,1.0,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
dinov2_b14,0.0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22000000000000006
dinov2_b14,0.1,10,0.9416271186440678,0.003234876493970962,0.3282950450729394,0.0888432235056529,0.6253333333333333,0.026997942308422136,0.5068461473167356,0.056814375812298056,0.72,0.19321835661585918,0.8483333333333334,0.10612419930916957,nan
dinov2_b14,0.25,10,0.952949152542373,0.003354999965630844,0.4907417872865912,0.030181047974776106,0.6906666666666668,0.022487307805641808,0.6164851455733807,0.026297320711905887,1.0,0.0,1.0,0.0,nan
dinov2_b14,0.5,10,0.9855593220338983,0.00324433521735739,0.8256316380881599,0.046135318801554415,0.9026666666666667,0.026703678019199636,0.8750378787878788,0.03338802618180817,1.0,0.0,1.0,0.0,nan
dinov2_b14,0.75,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
dinov2_b14,1.0,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
resnet50,0.0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27999999999999997
resnet50,0.1,10,0.9446779661016951,0.005912099375071063,0.31870791260289044,0.08681601258237312,0.636,0.03667676628582711,0.48906412000452254,0.07361891113858621,0.8,0.13333333333333336,0.89,0.07378647873726217,nan
resnet50,0.25,10,0.9622372881355933,0.0038358211911916854,0.4920869104142593,0.05125172560506077,0.7546666666666667,0.020073937405575507,0.6269502164502164,0.03693396858779205,0.9800000000000001,0.06324555320336758,0.99,0.031622776601683784,nan
resnet50,0.5,10,0.9957288135593221,0.0035881711317334694,0.8980207336523126,0.06286069316546844,0.976,0.02498394546232035,0.953015873015873,0.044414199837713185,1.0,0.0,1.0,0.0,nan
resnet50,0.75,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
resnet50,1.0,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
vit_b16,0.0,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.36
vit_b16,0.1,10,0.9435254237288137,0.005153830743870166,0.2653304984591063,0.06510444406393257,0.6346666666666667,0.03454108307151192,0.45945961340001595,0.040907646548607686,0.8600000000000001,0.18973665961010275,0.9266666666666665,0.09660917830792959,nan
vit_b16,0.25,10,0.9640677966101695,0.005796951565369797,0.4571202111684138,0.07874433829654998,0.768,0.0417872329725979,0.6252567432567433,0.06589414905332232,1.0,0.0,1.0,0.0,nan
vit_b16,0.5,10,0.9960677966101695,0.003160611749070664,0.8871439671439673,0.08334143634175667,0.9720000000000001,0.026256098644874545,0.9390238095238095,0.057512631846138716,1.0,0.0,1.0,0.0,nan
vit_b16,0.75,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
vit_b16,1.0,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,nan
